Gene name	Mouse gene name	Mouse homology type	%id. target Mouse gene identical to query gene	%id. query gene identical to target Mouse gene	Mouse Gene-order conservation score	Mouse Whole-genome alignment coverage	Mouse orthology confidence [0 low, 1 high]
MT-TF							
MT-RNR1							
MT-TV							
MT-RNR2							
MT-TL1							
MT-ND1	mt-Nd1	ortholog_one2one	77.044	77.044	50	100.00	1
MT-TI							
MT-TQ							
MT-TM							
MT-ND2	mt-Nd2	ortholog_one2one	57.0605	57.3913	75	100.00	1
MT-TW							
MT-TA							
MT-TN							
MT-TC							
MT-TY							
MT-CO1	mt-Co1	ortholog_one2one	90.8382	90.6615	100	100.00	1
MT-TS1							
MT-TD							
MT-CO2	mt-Co2	ortholog_one2one	71.3656	71.3656	100	100.00	1
MT-TK							
MT-ATP8	mt-Atp8	ortholog_one2one	45.5882	46.2687	100	100.00	0
MT-ATP6	mt-Atp6	ortholog_one2one	75.6637	75.6637	100	100.00	1
MT-CO3	mt-Co3	ortholog_one2one	86.9732	86.9732	100	100.00	1
MT-TG							
MT-ND3	mt-Nd3	ortholog_one2one	66.087	66.087	100	100.00	1
MT-TR							
MT-ND4L	mt-Nd4l	ortholog_one2one	66.3265	66.3265	100	100.00	1
MT-ND4	mt-Nd4	ortholog_one2one	66.8845	66.8845	100	100.00	1
MT-TH							
MT-TS2							
MT-TL2							
MT-ND5	mt-Nd5	ortholog_one2one	63.8474	63.4267	100	100.00	1
MT-ND6	mt-Nd6	ortholog_one2one	52.2989	52.907	75	100.00	1
MT-TE							
MT-CYB	mt-Cytb	ortholog_one2one	78.1579	77.9528	50	100.00	1
MT-TT							
MT-TP							
							
							
5S_rRNA							
							
							
							
							
							
							
							
							
							
							
							
							
5_8S_rRNA							
RNA5-8SN5							
							
							
5_8S_rRNA							
							
	Prodh	ortholog_one2many	81.8333	81.9699	25	100.00	1
							
							
							
							
							
							
							
							
U6	Gm23503	ortholog_one2many	79.2453	78.5047		0.00	0
							
							
							
							
	Dgcr6	ortholog_one2many	83.1818	78.5408	25	100.00	1
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
Y_RNA							
							
							
							
							
							
							
							
							
							
U6							
							
							
							
							
							
							
U1							
							
							
							
U2							
							
							
							
							
							
							
							
U1							
							
							
U1							
							
							
							
							
							
							
	Frg1	ortholog_one2many	78.8618	37.5969	0	68.23	0
							
							
							
							
							
							
							
							
U2							
							
							
							
							
	Gm56421	ortholog_one2many	91.3043	90		100.00	1
	Mrpl23	ortholog_one2many	81.6993	85.6164	0	100.00	1
	Gm56420	ortholog_one2many	91.5493	91.5493		100.00	1
							
							
							
							
							
							
							
							
							
							
							
							
							
							
MAFIP	Tekt4	ortholog_one2many	62.0155	17.8971	0	93.23	0
							
							
							
RNA5-8SN4							
5_8S_rRNA							
							
							
							
							
							
							
							
							
							
							
Y_RNA							
							
							
							
							
							
	Ighv2-2	ortholog_many2many	57.265	57.7586	25	0.00	0
	Ighv2-3	ortholog_many2many	59.8291	60.8696	25	0.00	0
	Ighv12-3	ortholog_many2many	61.5385	61.5385	25	0.00	0
	Ighv3-1	ortholog_many2many	65.812	66.3793	25	0.00	0
	Ighv3-3	ortholog_many2many	66.6667	67.2414	0	0.00	0
	Ighv3-8	ortholog_many2many	64.9573	58.0153	25	0.00	0
	Ighv2-9	ortholog_many2many	61.5385	62.069	25	27.84	0
	Ighv2-5	ortholog_many2many	56.4103	56.8966	25	0.00	0
	Ighv2-6	ortholog_many2many	60.6838	61.2069	25	0.00	0
	Ighv3-6	ortholog_many2many	67.5214	68.1034	25	0.00	0
	Ighv3-4	ortholog_many2many	63.2479	63.2479	25	0.00	0
	Ighv2-6-8	ortholog_many2many	58.9744	59.4828	25	0.00	0
	Ighv2-9-1	ortholog_many2many	59.8291	60.3448	25	0.00	0
	Ighv2-7	ortholog_many2many	59.8291	60.3448	25	0.00	0
	Ighv3-5	ortholog_many2many	63.2479	63.2479	25	0.00	0
	Ighv2-4	ortholog_many2many	57.265	57.7586	25	0.00	0
	Ighv5-6	ortholog_many2many	74.4898	62.3932	25	0.00	0
	Ighv6-5	ortholog_many2many	65.3061	53.7815	25	0.00	0
	Ighv6-6	ortholog_many2many	71.4286	58.8235	25	0.00	0
	Ighv11-1	ortholog_many2many	58.1633	48.7179	25	0.00	0
	Ighv6-3	ortholog_many2many	69.3878	57.6271	25	0.00	0
	Ighv5-4	ortholog_many2many	73.4694	61.5385	25	0.00	0
	Ighv5-12	ortholog_many2many	75.5102	63.2479	25	0.00	0
	Ighv6-7	ortholog_many2many	64.2857	52.9412	25	0.00	0
	Ighv5-2	ortholog_many2many	63.2653	52.9915	25	0.00	0
	Ighv10-1	ortholog_many2many	72.449	59.6639	0	0.00	0
