zebrafish gene name,frog gene name,correlation,identical_scores,orthology confidence,combo_score
actb2,actb,0.99138105,98.9333,1.0,1.9691275184975292
eif1axb,eif1ax,0.9982478,93.95965,1.0,1.9327130913330142
rap1aa,rap1a,0.99140036,95.1351,1.0,1.9293812846882883
GNG4,gng4,0.9965218,93.3333,1.0,1.9222075845712248
prkar1ab,prkar1a,0.9952215,92.63225,1.0,1.911892208902572
tuba5,tuba5,0.996712,90.84514999999999,1.0,1.896576049276124
tubb2b,tubb4b,0.9587076,97.7528,1.0,1.8821037949930888
hpcal4,hpcal4,0.9935439,90.0524,1.0,1.8810322146937994
DIP2C,dip2c,0.98697436,88.9725,1.0,1.8547080995613179
gnpda2,gnpda2,0.9872908,87.56784999999999,1.0,1.8407158780613688
dnm2a,dnm2,0.9942124,86.055,1.0,1.8406824963530752
cadpsa,cadps,0.9948815,85.4119,1.0,1.8354741602268234
C1QL3,c1ql3,0.9921814,85.5273,1.0,1.8305135528357996
nt5c2b,nt5c2,0.98892367,84.9208,1.0,1.8167160948544376
GRIK1,grik1,0.99428225,83.7133,1.0,1.8163101953616647
TEAD1,tead1,0.9870341,85.28175,1.0,1.816179903508981
ITPR1,itpr1,0.9942795,83.5615,1.0,1.8147136384996336
BTBD3,btbd3,0.983617,85.68235,1.0,1.8125687846181326
TENT5A,tent5a,0.98320603,85.29395,1.0,1.8075608246859045
pde11a,pde11a,0.9947006,82.64285,1.0,1.806051946998784
ube2l3a,ube2l3,0.98754245,83.8445,1.0,1.8022846625534608
guca1aa,guca1al,0.98680705,83.82024999999999,1.0,1.800350276445183
SPTBN1,sptbn1,0.9822275,84.4567,1.0,1.7965538262362304
ATP9A,atp9a,0.9866815,83.30205000000001,1.0,1.7946346834759246
nlgn4xa,nlgn4x,0.99407625,81.3871,1.0,1.7914699750067784
EIF3B,eif3b,0.9875174,82.22210000000001,1.0,1.7852309862781337
oxsr1b,gal3st4.3,0.9887124,81.45585,1.0,1.7799341641689326
ONECUT2,onecut2,0.99404246,80.27565,1.0,1.7797490961243188
bmpr1ba,bmpr1b,0.9901848,80.41460000000001,1.0,1.7723902528755278
myo1eb,myo1e.2,0.9935457,79.6712,1.0,1.772281748428646
pou3f1,pou3f1,0.9853829,81.37535,1.0,1.7714831496247985
slc6a4b,slc6a4l,0.9938343,79.25489999999999,1.0,1.7685799763527523
A1CF,a1cf,0.98915374,79.69555,1.0,1.7625015028848905
PLXNA1,plxna1,0.9831017,80.96125,1.0,1.7619326015603303
DGKH,dgkh,0.9763883,82.264,1.0,1.76024067610226
twist1b,twist1,0.9836782,80.6035,1.0,1.759502038148513
LINGO1,lingo1,0.9935512,78.37615,1.0,1.7587272310549196
fem1b,fem1b,0.99343103,77.98345,1.0,1.7543386826665786
GAD1,gad1.1,0.98829377,78.98875000000001,1.0,1.7531320145856006
ADCY6,adcy6,0.99235326,77.57624999999999,1.0,1.747610177891549
KSR2,ksr2,0.97486234,80.70985,1.0,1.740472513932448
GABRB2,gabrb2,0.986971,78.06445,1.0,1.7404265051929309
AK6,ak6,0.9772765,79.4263,1.0,1.7325421009689221
cacna1da,cacna1d,0.9903897,76.46629999999999,1.0,1.731495616061048
MYO3B,myo3b,0.9898598,76.254,1.0,1.7280607516603643
myl4,myl4,0.98138225,77.989,1.0,1.7268661578277409
rlbp1b,rlbp1,0.9875671,76.62225000000001,1.0,1.726679910459255
EFR3B,efr3b,0.9928955,75.2309,1.0,1.7242790190821415
PDE4B,pde4b,0.9912441,75.5437,1.0,1.7237826058390218
ywhaqa,ywhaq,0.98638135,76.57875,1.0,1.7235148392264803
MYO5A,myo5a,0.98230666,77.3923,1.0,1.7227272796459376
MYH9,myh9,0.9946068,74.69415000000001,1.0,1.7225661753398702
BTAF1,btaf1,0.98562944,76.61654999999999,1.0,1.722192771399547
AMPD2,ampd2,0.99260616,74.8995,1.0,1.7201461138671714
SNTG1,sntg1,0.9815782,77.23405,1.0,1.7194049524202384
TRPC6,trpc6,0.9866333,76.0881,1.0,1.718950425640661
atp5md,atp5mk,0.97437775,78.6382,1.0,1.7176624272683396
TTC28,ttc28,0.98052424,77.009,1.0,1.7146390751151743
XKR6,xkr6,0.9897142,74.72895,1.0,1.711751475767072
ptpn11b,ptpn11b,0.9872355,74.80449999999999,1.0,1.7068792798367993
OLFM3,olfm3,0.9899333,74.12395000000001,1.0,1.7059140590744661
KCNMA1,kcnma1,0.9357996,85.89795000000001,1.0,1.7055678299517698
foxf2a,foxf2,0.991424,73.5607,1.0,1.7034195420095415
SLC43A2,slc43a2,0.9886178,74.02674999999999,1.0,1.7018899506187992
dtnbb,dtnb,0.9695277,77.98965000000001,1.0,1.6997861027899255
IQSEC1,iqsec1,0.98526293,74.52285,1.0,1.6994214915479462
CPS1,cps1,0.98785406,73.9259,1.0,1.699088339557778
PXDN,pxdn,0.98358214,74.73525000000001,1.0,1.6978061227854329
HAPLN1,hapln1,0.9795191,75.39255,1.0,1.695408290709147
ISCU,iscu,0.9783516,75.57730000000001,1.0,1.694676091322117
srsf2b,srsf2,0.98446935,74.0909,1.0,1.693083058481026
DPYD,dpyd,0.96399933,78.2446,1.0,1.6898250260393468
VPS50,vps50,0.93872446,83.56665000000001,1.0,1.6878279899479187
GABRR1,gabrr1,0.98989093,72.25745,1.0,1.68626358961988
SGSM1,sgsm1,0.98593783,72.99225,1.0,1.684928861609618
SLC4A5,slc4a5,0.9925854,71.47985,1.0,1.6842740536825287
GOLGA7B,golga7b,0.9854292,72.9639,1.0,1.6834696779420806
CSMD3,csmd3,0.9684154,76.60485,1.0,1.6827372554244429
rxfp3,rxfp3,0.98930216,71.9016,1.0,1.6811903657567198
tdh,tdh,0.95389307,79.56075,1.0,1.6805210192205515
SVOP,svop,0.9831247,73.14055,1.0,1.6800546521017377
hnrnph1l,hnrnph1,0.9694846,76.06569999999999,1.0,1.6795321128914065
ARHGAP42,arhgap42,0.98431265,72.63485,1.0,1.6774712713172277
SGCZ,sgcz,0.9799593,73.24495,1.0,1.6739156277191027
SRL,srl,0.94837046,79.91755,1.0,1.6716400953561767
bet1,bet1,0.9733377,74.3363,1.0,1.6702188098342612
ALDH1L2,aldh1l2,0.9290086,83.94245000000001,1.0,1.669564812596297
PPP2R5A,ppp2r5a,0.9857108,71.563,1.0,1.6694371347485535
pcyt1ba,pcyt1b,0.9691788,75.00545,1.0,1.6677260858709877
LRFN2,lrfn2,0.99009097,70.42734999999999,1.0,1.6675483413744416
hoxa2b,hoxa2,0.98515683,71.2088,1.0,1.664460712168336
KLHL29,klhl29,0.9787011,72.5686,1.0,1.663955207656138
NAMPT,nampt,0.9207951,85.1687,1.0,1.6636438353128007
ube2q1,ube2q2,0.9193946,85.40790000000001,1.0,1.6629496704167954
zgc:86609,tmem111,0.95991004,76.43594999999999,1.0,1.661533654312854
slc7a11,slc7a11,0.98658913,70.4616,1.0,1.6599056747703482
CHD5,chd5,0.96835804,74.42115,1.0,1.6597295131443301
KPNA1,kpna1,0.95071393,78.2385,1.0,1.6594048594350648
pck2,pck2,0.9899319,69.55160000000001,1.0,1.6580104247682481
CNKSR2,cnksr2,0.9826663,71.08590000000001,1.0,1.657482501706538
NPAS3,npas3,0.9854741,70.28055,1.0,1.655461205325809
PLA2G4A,pla2g4a,0.9856247,70.20335,1.0,1.65499656080023
mao,maob,0.978763,71.66655,1.0,1.6546466712613146
KIF1A,kif1a,0.93814814,80.48275,1.0,1.6542038653029723
DYM,dym,0.9890324,69.2752,1.0,1.6530595301915711
hnrnpa3,hnrnpa3,0.9722862,72.92295,1.0,1.6530097935547556
gabrb1,gabrb1,0.9852365,69.90360000000001,1.0,1.6509693358475568
WDR48,wdr48,0.95833415,75.7378,1.0,1.650618954394544
KCNK12,kcnk12,0.974696,72.11410000000001,1.0,1.6500424270564127
TRIM67,trim67,0.9843274,69.83539999999999,1.0,1.6481776317258627
PDE8B,pde8b,0.97889143,70.9956,1.0,1.6479111802360626
rbmx,rbmx,0.96397907,74.243,1.0,1.6478575368912178
NF1,nf1,0.90931743,86.12549999999999,1.0,1.64744165749432
mxd1,mxd1,0.98675823,69.2308,1.0,1.6473980625821545
DGKB,dgkb,0.9772154,71.226,1.0,1.6464952577152032
GALNT3,galnt3,0.98883414,68.64,1.0,1.6459520949578221
dhrs12,dhrs12,0.98001754,70.5191,1.0,1.6454924015048258
ERBB4,erbb4,0.98200643,69.98025,1.0,1.644391832767161
MARK2,mark2,0.9713218,72.27895000000001,1.0,1.644059589219843
ssna1,ssna1,0.9689545,72.72864999999999,1.0,1.6433615709911042
cplx2a,cplx1,0.97490084,71.4286,1.0,1.6433291004582258
GAS2,gas2,0.9801368,70.2348,1.0,1.6427865450452739
wnt11f2,wnt11b,0.9802579,69.9717,1.0,1.6403069863677455
TOM1L2,tom1l2,0.969278,71.9924,1.0,1.6363877121488173
SRP72,srp72,0.98140246,69.1411,1.0,1.6342207745951018
slc41a3,slc41a3,0.9615507,73.26825,1.0,1.63209728477181
CLUH,cluh,0.972127,70.89515,1.0,1.6314025789336897
GARRE1,garre1,0.98794115,67.3571,1.0,1.630471871942536
cry-dash,cry-dash,0.97145677,70.8834,1.0,1.6297480533332245
sncb,sncb,0.95862925,73.61619999999999,1.0,1.6290671263041294
ZPLD1,zpld1,0.97200996,70.4696,1.0,1.6266770422195662
SLC4A10,slc4a10,0.96194094,72.60145,1.0,1.626003488171513
lck,lck,0.9806544,68.3897,1.0,1.624639758815336
scdb,scd,0.97805226,68.88525,1.0,1.6238854762646233
USH1G,ush1g,0.98035395,68.3069,1.0,1.6230858285945615
COL5A1,col5a1,0.95838875,73.0655,1.0,1.6227484066388158
dnajc3a,dnajc3,0.96827626,70.8333,1.0,1.6219559448107905
ctsla,ctsv,0.9639297,71.72685,1.0,1.6213852689122508
tpte,tpte2,0.9751701,69.21594999999999,1.0,1.6207643799800682
GCN1,gcn1,0.97548324,69.064,1.0,1.6198880395072295
GRAMD4,gramd4,0.9750255,68.99785,1.0,1.6181491392245577
CORO2B,coro2b,0.9240869,80.0053,1.0,1.6170730416802475
OSBPL11,osbpl11,0.9867212,66.33940000000001,1.0,1.6170228309169523
GRXCR1,grxcr1,0.9791995,67.90960000000001,1.0,1.616285828555048
KCNB2,kcnb2,0.98391056,66.74175,1.0,1.6148157662980074
CRAT,crata,0.94985557,74.14595,1.0,1.6145695650083418
LARS1,lars1,0.97667915,68.18335,1.0,1.6133948298581013
NETO2,neto2,0.9661937,69.99504999999999,1.0,1.6084158345536599
NACC1,nacc1,0.97858745,67.1917,1.0,1.607366536290312
MAGI1,magi1,0.9796664,66.68725,1.0,1.6045471928341584
CACNA1B,CACNA1B,0.98278475,65.9754,1.0,1.604214998870324
zgc:113531,vwc2l.2,0.9731797,68.02355,1.0,1.6037247353622248
SLC5A7,slc5a7,0.9707975,68.53450000000001,1.0,1.6036343332716705
NTRK2,ntrk2,0.98554945,65.0813,1.0,1.6011654671906828
KCNIP4,kcnip4,0.97695315,66.9345,1.0,1.6009378134867291
angptl2b,angptl2,0.9283057,77.52154999999999,1.0,1.6006926864295643
trpm1b,trpm1,0.9847677,65.1344,1.0,1.5999355013951777
pvalb3,ocm4.3,0.95935774,70.60125,1.0,1.5991467341008052
STK39,stk39,0.97416407,67.36915,1.0,1.5991183903545982
atg9b,atg9b,0.95909697,70.52285,1.0,1.5977295649397547
SWAP70,swap70,0.9719473,67.6322,1.0,1.5968089575628515
scn1laa,scn1a,0.9782385,66.16929999999999,1.0,1.5958584350797234
SLC35F4,slc35f4,0.95625097,70.94945,1.0,1.5956957506889264
NEK6,ereg,0.9334887,75.88695000000001,1.0,1.595411252217112
NPFFR2,npffr2,0.97307205,66.98265,1.0,1.5925741807189908
ANO5,ano5,0.9896052,63.26955,1.0,1.5914524984637932
ATP11B,atp11b,0.94369525,73.2767,1.0,1.5913872828605307
HECW1,hecw1,0.9585346,69.74969999999999,1.0,1.5883449831937368
celf5a,celf5,0.956599,70.14005,1.0,1.588011613930036
RAPGEF1,rapgef1,0.982507,64.4199,1.0,1.5872847714386848
NTNG2,ntng2,0.96445197,68.2603,1.0,1.586262666949084
CRTAC1,crtac1,0.98449075,63.84995,1.0,1.5858466511610887
DGKZ,dgkz,0.9781615,65.2272,1.0,1.5858129531988958
drd6b,drd1c,0.96668726,67.69425000000001,1.0,1.5854401557969624
HTR3A,htr3a,0.97865385,65.07375,1.0,1.5853303815876176
ITPR2,itpr2,0.978781,64.99025,1.0,1.584746155874912
prkag3b,prkag3,0.98399276,63.702,1.0,1.5831588365965799
CNGA3,cnga3,0.9603831,68.7658,1.0,1.5822612404140064
HTRA3,htra3,0.96699226,67.2733,1.0,1.5817271427336532
frzb,frzb,0.97697437,64.9868,1.0,1.580581982963448
PHIP,phip,0.9787717,64.50985,1.0,1.5796921833917856
DIAPH2,diaph2,0.9509586,70.4298,1.0,1.5781591246030542
lims2,lims1,0.9356307,73.74075,1.0,1.57782175648317
oxct1a,oxct1,0.92360616,76.2332,1.0,1.5764576530534482
acss2l,acss2.2,0.9646448,66.81385,1.0,1.571550103414053
CASZ1,casz1,0.9809835,63.20365,1.0,1.5710621073203244
MYO1H,myo1h,0.97608835,64.1842,1.0,1.5701493609241717
si:dkey-246g23.2,slc66a2.2,0.97155833,65.13825,1.0,1.5697932956050293
TMTC2,tmtc2,0.95579636,68.57294999999999,1.0,1.5697605246237356
SGIP1,sgip1,0.9776608,63.7491,1.0,1.5691841505386974
ppa1a,ppa2,0.9699215,65.3979,1.0,1.568773368675589
ABCB6,abcb6,0.9459314,70.4639,1.0,1.567029539635997
cdh6,cdh6,0.9825458,62.4213,1.0,1.566435876124932
ACVR1C,acvr1c,0.9739138,64.1362,1.0,1.5646778044500191
PTPRK,ptprk,0.9193051,75.94065,1.0,1.56356522917944
SYT2,syt2,0.943199,70.62975,1.0,1.5625236485578742
WDR7,wdr7,0.9805285,62.38074999999999,1.0,1.561401672533848
CHRM2,chrm2,0.9347085,72.1728,1.0,1.559288575773874
TTYH3,ttyh3,0.9642838,65.67294999999999,1.0,1.5587730498732473
CPEB2,cpeb2,0.951647,68.37895,1.0,1.5582471457472913
si:dkey-13p1.4,tmem151b,0.9807193,61.99245,1.0,1.5577697649537232
ADARB2,adarb2,0.97364765,63.5206,1.0,1.5576205767756954
WASF1,wasf1,0.95876724,66.69255,1.0,1.5568495146747252
ACSS3,acss3,0.9764381,62.764399999999995,1.0,1.556074537530119
DLG5,dlg5,0.9641682,65.42615,1.0,1.5559234078857902
wnt2,wnt2,0.96766263,64.64385,1.0,1.5557124900511223
DNAJC6,dnajc6,0.98434013,60.86275,1.0,1.5542082626323679
FBN2,fbn2,0.96990424,63.95225,1.0,1.5535891442406071
SP5,sp5,0.9355017,71.31360000000001,1.0,1.5520999128788153
prtfdc1b,prtfdc1,0.9720791,63.251999999999995,1.0,1.5512226607448514
DGKI,dgki,0.9763825,62.2266,1.0,1.5503134439655024
COL12A1,col12a1,0.97201705,62.962650000000004,1.0,1.548049618550635
