crab_eating_macaque gene name,mice gene name,correlation
RPS27,Rps27rt,1.0000024
DYNLL1,Dynll1,1.0000021
HOXC6,Hoxc6,1.0000012
HOXC8,Hoxc8,1.0000012
MAB21L1,Mab21l1,1.0000007
RHOB,Rhob,1.0000005
RRAGA,Rraga,1.0
H2AC8,H2ac11,0.99999994
ZNF664,Zfp664,0.9999998
OTP,Otp,0.99999976
ZMAT2,Zmat2,0.9999997
RAB10,Rab10,0.99999964
EMC6,Emc6,0.9999995
PHF5A,Phf5a,0.9999995
UBA52,Gm11808,0.9999995
DAD1,Dad1,0.99999946
ROMO1,Romo1,0.9999994
H2BC26,H2bu1-ps,0.99999934
RAP2C,Rap2c,0.99999934
H3C8,H3c1,0.9999992
H2AC20,H2ac20,0.99999917
SERP1,Serp1,0.99999905
LSM6,Lsm6,0.9999988
RAP2B,Rap2b,0.99999875
SPCS3,Spcs3,0.99999875
ERH,Gm10131,0.99999845
PCBP1,Pcbp1,0.9999984
NUTF2,Nutf2-ps1,0.9999976
GPR85,Gpr85,0.99995935
FOXB1,Foxb1,0.99992937
SMC3,Smc3,0.99992836
LRRC3B,Lrrc3b,0.9999176
MAB21L2,Mab21l2,0.99990827
KCND2,Kcnd2,0.99990666
HOXC5,Hoxc5,0.99990404
SIAH1,Siah1a,0.99988514
RIMS4,Rims4,0.9998616
HAS2,Has2,0.9998584
FEM1C,Fem1c,0.99983865
HDAC1,Hdac1,0.99982435
RAB39B,Rab39b,0.9998167
NXPH1,Nxph1,0.99981326
CHMP4B,Chmp4b,0.99980724
ENC1,Enc1,0.9998038
SIX1,Six1,0.9997912
SF3B4,Sf3b4,0.9997894
KCND3,Kcnd3,0.9997893
HNRNPH2,Hnrnph2,0.99977374
SLC32A1,Slc32a1,0.9997717
MYL9,Myl9,0.9997708
ZIC1,Zic1,0.9997628
TFAP2D,Tfap2d,0.9997575
LHX5,Lhx5,0.99975365
TAF13,Taf13,0.9997362
EIF2S1,Eif2s1,0.9997318
NIPA1,Nipa1,0.9997287
TAFA1,Tafa1,0.99972135
POU4F1,Pou4f1,0.99971575
MTA2,Mta2,0.99971294
MACROH2A2,Macroh2a2,0.9997079
HYPK,Hypk,0.9997066
TMEM60,Tmem60,0.999701
TAGLN3,Tagln3,0.99969965
TLX3,Tlx3,0.9996952
KCNA1,Kcna1,0.99969065
BRINP1,Brinp1,0.99967825
CACNG2,Cacng2,0.999676
FUT9,Fut9,0.99967474
FZD3,Fzd3,0.9996728
H2BC12,H2bc4,0.9996655
GPR173,Gpr173,0.99966514
WNT4,Wnt4,0.999662
ARMH3,Armh3,0.99965495
PANK3,Pank3,0.9996457
ZBTB14,Zbtb14,0.99963945
NALCN,Nalcn,0.9996317
NCKAP1,Nckap1,0.99962825
KCNJ10,Kcnj10,0.99962515
LPAR4,Lpar4,0.9996198
GLRA2,Glra2,0.9996158
POU3F4,Pou3f4,0.99961513
DIRAS2,Diras2,0.999615
ONECUT1,Onecut1,0.99961305
CYRIA,Cyria,0.99960166
PSMB3,Psmb3,0.9995946
H2AC6,H2aw,0.9995861
GRID1,Grid1,0.999572
FZD2,Fzd2,0.99956894
SLITRK2,Slitrk2,0.9995659
PPP2R3C,Ppp2r3c,0.9995616
SNRNP200,Snrnp200,0.9995543
PDP1,Pdp1,0.99955326
PRPF8,Prpf8,0.99954665
MOB3B,Mob3b,0.99954295
DR1,Dr1,0.999537
ARHGAP35,Arhgap35,0.999536
SSTR1,Sstr1,0.9995326
ACVR2A,Acvr2a,0.999509
FBXL7,Fbxl7,0.9994994
ORMDL3,Ormdl3,0.99949884
KPNB1,Kpnb1,0.9994973
LRP4,Lrp4,0.99947494
POLR2D,Polr2d,0.9994713
FAM20B,Fam20b,0.99944454
DENND5A,Dennd5a,0.9994427
ST8SIA3,St8sia3,0.99943656
RAB5A,Rab5a,0.9994333
MAFK,Mafk,0.99943256
MB21D2,Mb21d2,0.99941826
PLCXD3,Plcxd3,0.99941665
EIF4H,Eif4h,0.9993989
SF3A1,Sf3a1,0.9993972
ETF1,Etf1,0.99939686
MEOX2,Meox2,0.99939257
HOXC13,Hoxc13,0.99939114
XPO7,Xpo7,0.9993876
KCNIP4,Kcnip4,0.99938685
KAT2A,Kat2a,0.99937004
PTEN,Pten,0.9993623
H2BC17,H2bc18,0.99934715
NEUROD1,Neurod1,0.9993355
SP9,Sp9,0.99932945
OLIG3,Olig3,0.9993186
RPL19,Rpl19,0.9993181
NXT1,Nxt1,0.9993169
NEUROD6,Neurod6,0.9993164
H2AC12,H2ac12,0.99931294
SNW1,Snw1,0.999308
SFRP2,Sfrp2,0.99930406
RBM24,Rbm24,0.99930185
NAA50,Naa50,0.9992983
VCPIP1,Vcpip1,0.9992896
DLX3,Dlx3,0.99928623
TAF5,Taf5,0.9992832
GJB1,Gjb1,0.99927306
GJD2,Gjd2,0.9992655
GRIK3,Grik3,0.9992623
KLHL9,Klhl9,0.9992476
MYL12A,Gm49909,0.99924165
TRPC5,Trpc5,0.999235
UBE2Z,Ube2z,0.9992317
DAAM1,Daam1,0.99922585
FLRT1,Flrt1,0.99922293
CHST11,Chst11,0.99921983
SNRPN,Snrpn,0.99921554
UBL3,Ubl3,0.9992125
ACTBL2,Actbl2,0.9992113
GID8,Gid8,0.99920756
FLRT2,Flrt2,0.99920624
TUBG2,Tubg2,0.99920624
RBM46,Rbm46,0.99920565
FMNL3,Fmnl3,0.9991988
MGAT5,Mgat5,0.99919695
POU4F2,Pou4f2,0.9991945
TMEM203,Tmem203,0.99918336
GRIK1,Grik1,0.99917156
ARF5,Arf5,0.9991686
CDH20,Cdh20,0.99916667
VCP,Vcp,0.9991655
RUNX1T1,Runx1t1,0.9991586
HMBOX1,Hmbox1,0.9991421
TGFB3,Tgfb3,0.9991405
H2AX,H2ax,0.99913365
CACNB3,Cacnb3,0.99912757
GNAZ,Gnaz,0.9991247
RTF1,Rtf1,0.99911445
WASF1,Wasf1,0.9991127
GRIA2,Gria2,0.9991117
RPL35A,Rpl35a,0.9991091
TAX1BP3,Tax1bp3,0.99910533
SV2C,Sv2c,0.999103
VPS26B,Vps26b,0.99909425
COPB2,Copb2,0.999087
KPNA3,Kpna3,0.9990784
BSX,Bsx,0.99907476
TRAPPC13,Trappc13,0.9990683
LINGO1,Lingo1,0.9990619
SRP72,Srp72,0.99905825
TOP1,Top1,0.9990551
FBN1,Fbn1,0.9990549
PLK2,Plk2,0.9990489
STAT5B,Stat5b,0.9990442
PPP2R5B,Ppp2r5b,0.99904376
DUSP6,Dusp6,0.99903995
LHFPL6,Lhfp,0.9990341
PPP1R8,Ppp1r8,0.9990316
MED13,Med13,0.9990176
TUBGCP4,Tubgcp4,0.9990126
SPRY2,Spry2,0.9990042
CELF1,Celf1,0.999004
TUBG1,Tubg1,0.9990009
RNF152,Rnf152,0.9989958
C1QL1,C1ql1,0.99899
FLNB,Flnb,0.9989848
GNGT1,Gngt1,0.99897504
TOP2A,Top2a,0.99897444
TMEM168,Tmem168,0.9989689
EHD4,Ehd4,0.9989633
KCTD21,Kctd21,0.99896073
SESN1,Sesn1,0.998957
HOXA13,Hoxa13,0.99895686
NPAS4,Npas4,0.99895656
AGO2,Ago2,0.9989559
FGF14,Fgf14,0.9989519
GABPA,Gabpa,0.99895155
MCTS1,Mcts1,0.99894774
TNMD,Tnmd,0.9989451
CGGBP1,Cggbp1,0.99893457
UHMK1,Uhmk1,0.99892783
H2AJ,H2aj,0.99892175
HOXB6,Hoxb6,0.9989199
COPB1,Copb1,0.9989186
OTOF,Otof,0.99891174
CALB1,Calb1,0.9989054
WNT1,Wnt1,0.99889386
PRRX1,Prrx1,0.99888813
STRN3,Strn3,0.9988763
TMEM47,Tmem47,0.99886674
LMNB1,Lmnb1,0.9988433
HMGN2,Gm10282,0.9988411
TECTA,Tecta,0.99884063
COPG2,Copg2,0.99882466
H2AC21,H2ac21,0.99882406
CLVS1,Clvs1,0.9988107
BCL9,Bcl9,0.9987998
IRF6,Irf6,0.99879384
PRPF38A,Prpf38a,0.9987843
SFN,Sfn,0.99877965
ATP2A2,Atp2a2,0.9987754
PAF1,Paf1,0.9987698
SLC9A5,Slc9a5,0.9987692
TLE4,Tle4,0.99876034
LMX1A,Lmx1a,0.99875903
IGSF3,Igsf3,0.99875844
PIK3CA,Pik3ca,0.998756
RAC1,Rac1,0.99875325
CHD5,Chd5,0.9987525
GNB3,Gnb3,0.99875015
TENT5C,Tent5c,0.9987488
ONECUT2,Onecut2,0.99873894
EZR,Ezr,0.9987356
CRNKL1,Crnkl1,0.9987352
INTS5,Ints5,0.9987249
TFAP2B,Tfap2b,0.99872065
PRKAA2,Prkaa2,0.99871844
VPS39,Vps39,0.9987132
GIT1,Git1,0.9987017
DRP2,Drp2,0.9986985
CNGA2,Cnga2,0.99869615
FAM120A,Fam120a,0.99869317
NFIX,Nfix,0.9986897
HOXB4,Hoxb4,0.9986862
RAB33A,Rab33a,0.9986855
KCTD6,Kctd6,0.9986829
AMPD2,Ampd2,0.9986743
HNRNPA1,Hnrnpa1,0.99865633
AP1S2,Ap1s2,0.9986518
SEMA5A,Sema5a,0.99864054
NAE1,Nae1,0.99863774
CPS1,Cps1,0.998633
LRRN1,Lrrn1,0.99862325
