Gene name	Pig gene name	Pig homology type	%id. target Pig gene identical to query gene	%id. query gene identical to target Pig gene	Pig Gene-order conservation score	Pig Whole-genome alignment coverage	Pig orthology confidence [0 low, 1 high]
mt-Tf							
mt-Rnr1							
mt-Tv							
mt-Rnr2							
mt-Tl1							
mt-Nd1	ND1	ortholog_one2one	78.3019	78.3019	50	100.00	1
mt-Ti							
mt-Tq							
mt-Tm							
mt-Nd2	ND2	ortholog_one2one	54.4928	54.1787	75	100.00	1
mt-Tw							
mt-Ta							
mt-Tn							
mt-Tc							
mt-Ty							
mt-Co1	COX1	ortholog_one2one	94.1634	94.1634	100	100.00	1
mt-Ts1							
mt-Td							
mt-Co2	COX2	ortholog_one2one	90.7489	89.9563	100	100.00	1
mt-Tk							
mt-Atp8	ATP8	ortholog_one2one	64.1791	64.1791	100	100.00	1
mt-Atp6		ortholog_one2many	33.6283	87.3563	0	0.00	0
mt-Atp6	ATP6	ortholog_one2many	80.0885	80.0885	100	100.00	1
mt-Atp6		ortholog_one2many	33.1858	86.2069	0	0.00	0
mt-Atp6		ortholog_one2many	33.1858	86.2069	0	0.00	0
mt-Co3	COX3	ortholog_one2one	86.2069	86.2069	100	100.00	1
mt-Tg							
mt-Nd3	ND3	ortholog_one2one	68.6957	68.6957	100	100.00	1
mt-Tr							
mt-Nd4l	ND4L	ortholog_one2many	66.3265	66.3265	100	100.00	1
mt-Nd4l		ortholog_one2many	62.2449	62.2449	0	0.00	0
mt-Nd4l		ortholog_one2many	59.1837	59.1837	0	0.00	0
mt-Nd4	ND4	ortholog_one2one	72.549	72.549	100	100.00	1
mt-Th							
mt-Ts2							
mt-Tl2							
mt-Nd5	ND5	ortholog_one2one	65.8979	66.0066	100	100.00	1
mt-Nd6	ND6	ortholog_one2one	56.3953	55.4286	75	100.00	1
mt-Te							
mt-Cytb	CYTB	ortholog_one2one	85.5643	86.0158	50	100.00	1
mt-Tt							
mt-Tp							
							
							
							
							
Vmn1r186		ortholog_many2many	37.3333	36.246	0	0.00	0
Vmn1r186		ortholog_many2many	33.3333	34.7222	0	0.00	0
Vmn1r186		ortholog_many2many	37	35.9223	0	0.00	0
Vmn1r186		ortholog_many2many	37.3333	35.5556	0	0.00	0
Vmn1r186		ortholog_many2many	38	35.625	0	0.00	0
		ortholog_many2many	33.8877	34.5339	0	0.00	0
		ortholog_many2many	33.4719	32.3944	0	0.00	0
		ortholog_many2many	8.93971	39.0909	0	0.00	0
		ortholog_many2many	34.0956	34.238	0	0.00	0
		ortholog_many2many	34.3035	33.8809	0	0.00	0
		ortholog_many2many	32.2245	34.9099	0	0.00	0
		ortholog_many2many	35.1351	34.004	0	0.00	0
		ortholog_many2many	31.3929	33.6303	0	0.00	0
		ortholog_many2many	33.6798	32.7935	0	0.00	0
		ortholog_many2many	33.8877	32.4701	0	0.00	0
		ortholog_many2many	34.0956	34.238	0	0.00	0
		ortholog_many2many	37.5921	32.4153	0	0.00	0
		ortholog_many2many	37.5921	30.7847	0	0.00	0
		ortholog_many2many	10.8108	40	0	0.00	0
		ortholog_many2many	38.5749	32.7766	0	0.00	0
		ortholog_many2many	38.3292	32.0329	0	0.00	0
		ortholog_many2many	35.1351	32.2072	0	0.00	0
		ortholog_many2many	40.0491	32.7968	0	0.00	0
		ortholog_many2many	35.3808	32.0713	0	0.00	0
		ortholog_many2many	37.5921	30.9717	0	0.00	0
		ortholog_many2many	37.5921	30.4781	0	0.00	0
		ortholog_many2many	38.5749	32.7766	0	0.00	0
		ortholog_many2many	34.2365	29.4492	0	0.00	0
		ortholog_many2many	33.0049	26.9618	0	0.00	0
		ortholog_many2many	10.0985	37.2727	0	0.00	0
		ortholog_many2many	35.2217	29.8539	0	0.00	0
		ortholog_many2many	36.2069	30.1848	0	0.00	0
		ortholog_many2many	32.7586	29.955	0	0.00	0
		ortholog_many2many	35.7143	29.1751	0	0.00	0
		ortholog_many2many	31.2808	28.2851	0	0.00	0
		ortholog_many2many	33.4975	27.5304	0	0.00	0
		ortholog_many2many	33.0049	26.6932	0	0.00	0
		ortholog_many2many	35.2217	29.8539	0	0.00	0
							
	SP110	ortholog_one2many	58.6777	10.6129	0	0.00	0
							
		ortholog_many2many	35.376	26.9068	0	0.00	0
		ortholog_many2many	34.2618	24.7485	0	0.00	0
		ortholog_many2many	12.2563	40	0	0.00	0
		ortholog_many2many	32.5905	24.4259	0	0.00	0
		ortholog_many2many	36.2117	26.694	0	0.00	0
		ortholog_many2many	34.2618	27.7027	0	0.00	0
		ortholog_many2many	34.5404	24.9497	0	0.00	0
		ortholog_many2many	29.805	23.8307	0	0.00	0
		ortholog_many2many	35.376	25.7085	0	0.00	0
		ortholog_many2many	34.2618	24.502	0	0.00	0
		ortholog_many2many	32.5905	24.4259	0	0.00	0
