A	B	source
MIR583	ptr-mir-583	only_in_union
LANCL1	LANCL1	only_in_union
MIR520F	ptr-mir-520f	only_in_union
OCRL	OCRL	only_in_union
MIR4255	MIR4255	only_in_union
VASP	VASP	only_in_union
MIR627	ptr-mir-627	only_in_union
TUBGCP6	TUBGCP6	only_in_union
TRPC1	TRPC1	only_in_union
MIR5010	MIR5010	only_in_union
CFAP107	CFAP107	only_in_union
CPT1A	CPT1A	only_in_union
SMAGP	SMAGP	only_in_union
LMBR1L	LMBR1L	only_in_union
KRT72	KRT72	only_in_union
CTSH	CTSH	only_in_union
HADHA	HADHA	only_in_union
SNORA49	SNORA49	only_in_union
DUOXA2	DUOXA2	only_in_union
SNORD121B	SNORD121B	only_in_union
C2orf42	C2AH2orf42	only_in_union
ENTPD7	ENTPD7	only_in_union
BID	BID	only_in_union
FBXL22	FBXL22	only_in_union
LHX1	LHX1	only_in_union
MIR490	ptr-mir-490	only_in_union
FPR1	FPR1	only_in_union
MRPS9	MRPS9	only_in_union
ARHGEF15	ARHGEF15	only_in_union
MIR7152	MIR7152	only_in_union
SNORD24	SNORD24	only_in_union
PLEKHG2	PLEKHG2	only_in_union
AMDHD1	AMDHD1	only_in_union
TXNDC15	TXNDC15	only_in_union
ARK2C	ARK2C	only_in_union
CARD8	CARD8	only_in_union
PPP1R3E	PPP1R3E	only_in_union
MIR3121	MIR3121	only_in_union
CYP4A22	CYP4A22	only_in_union
GCNT3	GCNT3	only_in_union
MSI2	MSI2	only_in_union
ACSBG1	ACSBG1	only_in_union
SPMIP8	SPMIP8	only_in_union
MIR517A	ptr-mir-517a	only_in_union
ZNF142	ZNF142	only_in_union
MIR424	ptr-mir-424	only_in_union
MIR6745	MIR6745	only_in_union
SERPINB4	SERPINB4	only_in_union
MIR152	MIR152	only_in_union
PSMD3	PSMD3	only_in_union
MIR887	ptr-mir-887	only_in_union
PITPNC1	PITPNC1	only_in_union
GNA11	GNA11	only_in_union
MIR6738	MIR6738	only_in_union
DYNLT5	DYNLT5	only_in_union
MIR1247	ptr-mir-1247	only_in_union
MIR4707	MIR4707	only_in_union
THAP8	THAP8	only_in_union
MYO1F	MYO1F	only_in_union
SURF1	SURF1	only_in_union
MIR200A	ptr-mir-200a	only_in_union
MIR3606	MIR3606	only_in_union
CHN1	CHN1	only_in_union
SLC25A40	SLC25A40	only_in_union
SLC2A3	SLC2A3	only_in_union
RNU5B-6P	U5	only_in_union
MIR28	ptr-mir-28	only_in_union
MIR506	MIR506	only_in_union
REEP6	REEP6	only_in_union
C20orf204	C20orf204	only_in_union
MIR548AZ	MIR548AZ	only_in_union
SLFN11	SLFN11	only_in_union
C11orf91	CD59	only_in_union
