microcebus gene name,human gene name,correlation
MARCHF5,MARCHF5,1.0000025
PPIL1,PPIL1,1.0000018
UBE2R2,UBE2R2,1.0000018
FOXB1,FOXB1,1.0000017
ASF1A,ASF1A,1.0000015
PFDN2,PFDN2,1.0000014
RPS12,RPS12,1.0000012
CTXND1,CTXND1,1.0000011
PCNA,PCNA,1.0000011
CABP7,CABP7,1.000001
CAMK2N2,CAMK2N2,1.000001
HPCA,HPCA,1.000001
TIMM10,TIMM10,1.000001
PI15,PI15,1.0000008
RAC1,RAC1,1.0000008
CWC15,CWC15,1.0000007
MAB21L1,MAB21L1,1.0000007
TMSB4X,TMSB4X,1.0000007
YPEL5,YPEL5,1.0000007
H2AC7,H2AC7,1.0000006
H2BC21,H2BC21,1.0000006
FAM168B,FAM168B,1.0000005
RHOB,RHOB,1.0000005
H2AC6,H2AC6,1.0000004
WNT7A,WNT7A,1.0000004
BTG1,BTG1,1.0000002
CTXN1,CTXN1,1.0000002
RAB1B,RAB1B,1.0000002
TMSB10,TMSB10,1.0000002
MAB21L2,MAB21L2,1.0000001
TFAP2D,TFAP2D,1.0000001
LASP1NB,LINC00672,1.0
H2BC5,H2BC5,0.99999994
RBX1,RBX1,0.9999999
RPS28,RPS28,0.9999998
ZNF664,ZNF664,0.9999998
GNG12,GNG12,0.99999976
OTP,OTP,0.99999976
PKIA,PKIA,0.99999976
SEC61G,SEC61G,0.99999976
LMO4,LMO4,0.99999964
CDC42SE1,CDC42SE1,0.9999996
CKS2,CKS2,0.9999996
NDFIP1,NDFIP1,0.9999996
OST4,OST4,0.9999996
TUBG2,TUBG2,0.9999996
EIF1B,EIF1B,0.9999995
POLR2L,POLR2L,0.9999995
RAB10,RAB10,0.9999995
YWHAG,YWHAG,0.9999995
NRARP,NRARP,0.99999946
GNG3,GNG3,0.9999994
H2AC25,H2AW,0.9999994
RMND5A,RMND5A,0.9999994
RPS4X,RPS4X,0.9999994
CTNNBIP1,CTNNBIP1,0.99999934
ANAPC13,ANAPC13,0.9999992
BCAS2,BCAS2,0.9999991
CAMK2N1,CAMK2N1,0.9999991
H2AC20,H2AC20,0.9999991
RAB39B,RAB39B,0.9999991
PELI1,PELI1,0.9999989
TAX1BP3,TAX1BP3,0.9999989
RAB39A,RAB39A,0.99999887
CRIPT,CRIPT,0.9999988
LIN7C,LIN7C,0.9999988
LSM6,LSM6,0.9999988
POLE3,POLE3,0.99999875
RAP2B,RAP2B,0.99999875
SF3B6,SF3B6,0.99999875
SOX14,SOX14,0.99999875
SPCS3,SPCS3,0.99999875
DYNLL2,DYNLL2,0.9999986
ID4,ID4,0.9999986
CDK5,CDK5,0.9999985
H2AC11,H2AC11,0.9999985
PCBP1,PCBP1,0.9999985
SPIN1,SPIN1,0.99999845
DPY30,DPY30,0.9999984
NFYA,NFYA,0.9999982
ARF1,ARF1,0.99999815
FGF9,FGF9,0.9999981
SF3B5,SF3B5,0.9999979
RBM8A,RBM8A,0.99995184
FEM1C,FEM1C,0.99995166
DDX6,DDX6,0.99994314
SP9,SP9,0.99994296
MIB1,MIB1,0.99993855
