A	B	source
Erf	ERF	only_in_union
Mir490	ssc-mir-490-1	only_in_union
Ptpn14	PTPN14	only_in_union
Or2c1	OR2C1	only_in_union
Qki	QKI	only_in_union
Dph2	DPH2	only_in_union
Ube2ql1	UBE2QL1	only_in_union
Mc5r	MC5R	only_in_union
Syt2	SYT2	only_in_union
H2az1	H2AZ1	only_in_union
Adcy6	ADCY6	only_in_union
Spmip11	SPMIP11	only_in_union
Mir1306	ssc-mir-1306	only_in_union
Msh5	MSH5	only_in_union
Rell1	RELL1	only_in_union
Zfp771	ZNF771	only_in_union
Srpra	SRPRA	only_in_union
Sgsh	SGSH	only_in_union
Rbfox1	RBFOX1	only_in_union
Gpr19	GPR19	only_in_union
Napa	NAPA	only_in_union
Snord73b	SNORD73	only_in_union
Drgx	DRGX	only_in_union
Tanc2	TANC2	only_in_union
Csnk1d	CSNK1D	only_in_union
Adam17	ADAM17	only_in_union
Ccdc40	CCDC40	only_in_union
Tex14	TEX14	only_in_union
Mir1251	MIR1251	only_in_union
Cilk1	CILK1	only_in_union
Wtip	WTIP	only_in_union
Zfp46	ZNF436	only_in_union
Padi6	PADI6	only_in_union
Med8	MED8	only_in_union
Fyb1	FYB1	only_in_union
Mapk1	MAPK1	only_in_union
Pdgfb	PDGFB	only_in_union
Gm25632	SNORD62	only_in_union
Abhd12	ABHD12	only_in_union
Lin7b	LIN7B	only_in_union
Tlk2	TLK2	only_in_union
Ttll12	TTLL12	only_in_union
Krt17	KRT17	only_in_union
Dpcd	DPCD	only_in_union
Elp5	ELP5	only_in_union
Lss	LSS	only_in_union
Rarb	RARB	only_in_union
Sp1	SP1	only_in_union
Zfp382	ZNF382	only_in_union
Irx2	IRX2	only_in_union
Adgrf3	ADGRF3	only_in_union
Plag1	PLAG1	only_in_union
Pycr1	PYCR1	only_in_union
Cplx2	CPLX2	only_in_union
Gm23008	SNORD105B	only_in_union
Mid1	MID1	only_in_union
Dennd1a	DENND1A	only_in_union
Tmem125	TMEM125	only_in_union
Riok1	RIOK1	only_in_union
Ciao2b	CIAO2B	only_in_union
Hpcal4	HPCAL4	only_in_union
Tvp23a	TVP23A	only_in_union
Abhd15	ABHD15	only_in_union
Rps6kb1	RPS6KB1	only_in_union
Ppil1	PPIL1	only_in_union
Gpr15lg	GPR15LG	only_in_union
Ptar1	PTAR1	only_in_union
Itga9	ITGA9	only_in_union
Cyth4	CYTH4	only_in_union
Gimap6	GIMAP6	only_in_union
Eif4a2	EIF4A2	only_in_union
Mob1b	MOB1B	only_in_union
Pdgfra	PDGFRA	only_in_union
P4ha2	P4HA2	only_in_union
Ccdc198	CCDC198	only_in_union
Spp2	SPP2	only_in_union
Mpg	MPG	only_in_union
Myh11	MYH11	only_in_union
Arhgap39	ARHGAP39	only_in_union
Vars1	VARS1	only_in_union
Slco1a5	SLCO1A2	only_in_union
Diaph3	DIAPH3	only_in_union
Inca1	INCA1	only_in_union
Cacna1c	CACNA1C	only_in_union
Cnot8	CNOT8	only_in_union
Zfp513	ZNF513	only_in_union
Cnn1	CNN1	only_in_union
Zfp74	ZNF569	only_in_union
Mir195a	ssc-mir-195	only_in_union
Hepacam	HEPACAM	only_in_union
Cyp4f39	CYP4F22	only_in_union
Piwil2	PIWIL2	only_in_union
Mir3618	MIR3618	only_in_union
Bhlhb9	GPRASP3	only_in_union
H3f3a	H3-3A	only_in_union
Bltp2	BLTP2	only_in_union
Hexd	HEXD	only_in_union
Bmp1	BMP1	only_in_union
Afp	AFP	only_in_union
Tubb5	TUBB	only_in_union
Mir365-1	MIR365A	only_in_union
Or51e1	OR51E1	only_in_union
Snora5c	SNORA5C	only_in_union
Duox2	DUOX2	only_in_union
Gm24241	SNORA79	only_in_union
Ren1	REN	only_in_union
Crat	CRAT	only_in_union
Calm3	CALM3	only_in_union
Tmem250	TMEM250	only_in_union
Ltbp2	LTBP2	only_in_union
Alg14	ALG14	only_in_union
Isoc2b	ISOC2	only_in_union
Mtmr2	MTMR2	only_in_union
Prdx1	PRDX1	only_in_union
Idnk	IDNK	only_in_union
Serpinc1	SERPINC1	only_in_union
Ilkap	ILKAP	only_in_union
Gm22953	MIR1282	only_in_union
Mvd	MVD	only_in_union
Mir10b	MIR10B	only_in_union
Mir708	ssc-mir-708	only_in_union
Snora31	SNORA31	only_in_union
Snora43	SNORA17B	only_in_union
Stk25	STK25	only_in_union
Zfp61	ZNF226	only_in_union
Has2	HAS2	only_in_union
Zfp280d	ZNF280D	only_in_union
Gtf3c2	GTF3C2	only_in_union
Cfap210	CFAP210	only_in_union
Zfp606	ZNF606	only_in_union
Kctd5	KCTD5	only_in_union
B4galt4	B4GALT4	only_in_union
Usp22	USP22	only_in_union
Tbc1d19	TBC1D19	only_in_union
Mir370	ssc-mir-370	only_in_union
Tmem52b	TMEM52B	only_in_union
Rab8b	RAB8B	only_in_union
Pcnx1	PCNX1	only_in_union
Pdgfc	PDGFC	only_in_union
Pla2g2d	PLA2G2D	only_in_union
Garin2	GARIN2	only_in_union
Gm11437	C17orf78	only_in_union
Zfy2	ZNF773	only_in_union
Capn5	CAPN5	only_in_union
Gm22888	SNORD121B	only_in_union
Ly86	LY86	only_in_union
Pkp3	PKP3	only_in_union
Tpm4	TPM4	only_in_union
Sntb1	SNTB1	only_in_union
Scn8a	SCN8A	only_in_union
Or8k21	OR8K5	only_in_union
Dpysl3	DPYSL3	only_in_union
Tmem217rt	TMEM271	only_in_union
Plekhj1	PLEKHJ1	only_in_union
Mir326	ssc-mir-326	only_in_union
Ube2d2a	UBE2D2	only_in_union
Or5ap2	OR5AP2	only_in_union
Gm23650	SNORD56B	only_in_union
Slco2b1	SLCO2B1	only_in_union
Mettl8	METTL8	only_in_union
Tmed4	TMED4	only_in_union
Ahcyl2	AHCYL2	only_in_union
Mcm3ap	MCM3AP	only_in_union
Psmb9	PSMB9	only_in_union
Reln	RELN	only_in_union
Nupr1	NUPR1	only_in_union
Gm25296	SNORD95	only_in_union
Slc9b2	SLC9B2	only_in_union
Ldaf1	LDAF1	only_in_union
Tpp1	TPP1	only_in_union
Rdh1	RDH16	only_in_union
Mir122	ssc-mir-122	only_in_union
Adgrl4	ADGRL4	only_in_union
Nkiras1	NKIRAS1	only_in_union
Faxdc2	FAXDC2	only_in_union
Cep41	CEP41	only_in_union
Reep3	REEP3	only_in_union
Hoxc9	HOXC9	only_in_union
Slc43a3	SLC43A3	only_in_union
Exoc3	EXOC3	only_in_union
Hprt1	HPRT1	only_in_union
Maml2	MAML2	only_in_union
Banf1	BANF1	only_in_union
H2bc21	H2BC11	only_in_union
Tmem198	TMEM198	only_in_union
Tmem217b	TMEM217B	only_in_union
Ccr5	CCR5	only_in_union
Zfp943	ZNF34	only_in_union
Tcp11	TCP11	only_in_union
Insig1	INSIG1	only_in_union
Gsdmc2	GSDMC	only_in_union
Mir28a	ssc-mir-28	only_in_union
Mir105	ssc-mir-105-2	only_in_union
Alox15	ALOX15	only_in_union
Rbsn	RBSN	only_in_union
Fam210a	FAM210A	only_in_union
Ahrr	AHRR	only_in_union
Rmc1	RMC1	only_in_union
Gm22744	SNORD29	only_in_union
Sema7a	SEMA7A	only_in_union
Sema6a	SEMA6A	only_in_union
Or5b21	OR5B21	only_in_union
Mrpl35	MRPL35	only_in_union
Scn2a	SCN2A	only_in_union
Tmt1b	TMT1B	only_in_union
Mob1a	MOB1A	only_in_union
Zfp57	ZFP57	only_in_union
2210016L21Rik	C12orf43	only_in_union
Adam22	ADAM22	only_in_union
Gpat4	GPAT4	only_in_union
Fcgr1	FCGR1A	only_in_union
Rasa2	RASA2	only_in_union
Vkorc1	VKORC1	only_in_union
Deaf1	DEAF1	only_in_union
A430033K04Rik	ZNF713	only_in_union
Snord65	SNORD65	only_in_union
Pde4b	PDE4B	only_in_union
Anapc1	ANAPC1	only_in_union
Or4e1	OR4E1	only_in_union
Nhsl3	NHSL3	only_in_union
Notch1	NOTCH1	only_in_union
Brix1	BRIX1	only_in_union
Uevld	UEVLD	only_in_union
Engase	ENGASE	only_in_union
Rps18	RPS18	only_in_union
1700016H13Rik	C4orf36	only_in_union
Mark1	MARK1	only_in_union
Gfer	GFER	only_in_union
Zfp667	ZNF667	only_in_union
Mir339	ssc-mir-339-1	only_in_union
Tes	TES	only_in_union
Zeb1	ZEB1	only_in_union
Atp5po	ATP5PO	only_in_union
Uhrf2	UHRF2	only_in_union
Ermard	ERMARD	only_in_union
St14	ST14	only_in_union
Mir450-2	ssc-mir-450c	only_in_union
Pcmtd2	PCMTD2	only_in_union
Mrps34	MRPS34	only_in_union
Rbm28	RBM28	only_in_union
Cenpt	CENPT	only_in_union
Ak3	AK3	only_in_union
Aldoa	ALDOA	only_in_union
Mcm2	MCM2	only_in_union
Clcn4	CLCN4	only_in_union
Stx11	STX11	only_in_union
Dram1	DRAM1	only_in_union
Mettl15	METTL15	only_in_union
Rnf182	RNF182	only_in_union
Rrp9	RRP9	only_in_union
Ccnyl1	CCNYL1	only_in_union
Mirlet7d	ssc-let-7d	only_in_union
Akap8	AKAP8	only_in_union
Ect2	ECT2	only_in_union
Mctp2	MCTP2	only_in_union
