rhesus_macaque gene name,commonmarmoset gene name
DPH3,DPH3
SERP1,SERP1
mml-mir-29b-2,cja-mir-29b-1
mml-mir-30c-1,MIR30C1
CDC42,CDC42
GREM2,GREM2
AIDA,AIDA
TOMM20,TOMM20
PBX1,PBX1
LMX1A,LMX1A
HPCAL4,HPCAL4
SPSB1,SPSB1
MIR29C,MIR29C
mml-mir-708,cja-mir-708
RGS17,RGS17
CFL2,CFL2
TMEM258,TMEM258
HIKESHI,HIKESHI
RRAGA,RRAGA
MYL9,MYL9
SRP54,SRP54
MIR196B,cja-mir-196b
PPIH,PPIH
ABCE1,ABCE1
UBE2H,UBE2H
ANAPC13,ANAPC13
PSMA5,PSMA5
FCER1G,FCER1G
EIF4A2,EIF4A2
CKS1B,CKS1B
FGF12,FGF12
NFIA,NFIA
H2AC20,HIST2H2AC
MBNL1,MBNL1
H2BC26,H2BC26
FAM78B,FAM78B
LYPLA2,LYPLA2
RPL15,RPL15
RUVBL1,RUVBL1
SEC61A1,SEC61A1
NFYA,NFYA
BUD31,BUD31
EMX2,EMX2
H2BC12,HIST1H2BK
H2BC11,HIST1H2BJ
PHLDA3,PHLDA3
CTXN2,CTXN2
mml-mir-181a-1,MIR181A1
H2AC6,H2AC6
mml-mir-25,MIR25
MED30,MED30
RBM8A,RBM8A
SIAH2,SIAH2
KHDRBS1,KHDRBS1
EIF3I,EIF3I
FHL3,FHL3
EIF5A2,EIF5A2
PSMB2,PSMB2
CAMK2N1,CAMK2N1
AKT3,AKT3
AGO3,AGO3
PRPF38A,PRPF38A
PDIK1L,PDIK1L
RPL30,RPL30
mml-mir-181b-2,cja-mir-181b-2
DYNLT1,DYNLT1
CTNNA2,CTNNA2
CACNG3,CACNG3
LIN7A,LIN7A
CDK2AP2,CDK2AP2
RPL27,RPL27
EMC4,EMC4
SEPHS1,SEPHS1
WDR82,WDR82
DUSP6,DUSP6
SF3B6,SF3B14
RDH10,RDH10
MIR99B,MIR99B
HOXC4,HOXC4
EBF2,EBF2
DNAJC5,DNAJC5
SEC61B,SEC61B
MIR1251,cja-mir-1251
PSMC3,PSMC3
CNFN,CNFN
mml-mir-9-2,cja-mir-9-2
CSTF1,CSTF1
ERG28,C14orf1
POLR2J,POLR2J
H2AX,H2AFX
HDAC3,HDAC3
RAB11A,RAB11A
YWHAG,YWHAG
PSMA6,PSMA6
MIR3074,cja-mir-3074-1
PSENEN,PSENEN
DEXI,DEXI
PHB1,PHB1
HNRNPK,HNRNPK
MIR5047,MIR5047
SLC32A1,SLC32A1
SUPT4H1,SUPT4H1
NUTF2,NUTF2
ARF5,ARF5
PHYHIPL,PHYHIPL
GLTP,GLTP
CSTF3,CSTF3
TMEM167A,TMEM167A
EFTUD2,EFTUD2
SNN,SNN
RAB4B,RAB4B
LDB1,LDB1
Y_RNA,Y_RNA
GPR173,GPR173
SMIM15,SMIM15
SPCS3,SPCS3
GNAO1,GNAO1
MCTS1,MCTS1
SNW1,SNW1
PSMA7,PSMA7
LRRC3B,LRRC3B
EIF4A1,EIF4A1
HOXC9,HOXC9
NR2F1,NR2F1
RPS25,RPS25
LAPTM4A,LAPTM4A
FUT9,FUT9
RPRD1B,RPRD1B
TMEM127,TMEM127
PPP2CB,PPP2CB
RPS23,RPS23
mml-mir-204,MIR204
MIR32,cja-mir-32
AP1G1,AP1G1
TM9SF3,TM9SF3
TAX1BP3,TAX1BP3
MID1,MID1
PIP4K2B,PIP4K2B
RPL38,RPL38
FAM32A,FAM32A
MXD1,MXD1
