A	B	source
RPL27A	RPL27A	only_in_union
RAET1G	RAET1G	only_in_union
RPL31	RPL31	only_in_union
ITGB1BP1	ITGB1BP1	only_in_union
ABCG2	ABCG2	only_in_union
NUDT4	NUDT4B	only_in_union
RPE	RPEL1	only_in_union
DHRS4	DHRS4	only_in_union
DNAJC7	DNAJC7	only_in_union
MAGED1	MAGED1	only_in_union
NOP2	NOP2	only_in_union
PPP1R7	PPP1R7	only_in_union
RPL17	C18orf32	only_in_union
IFT25	HSPB11	only_in_union
HSPA8	HSPA1B	only_in_union
IGLV8-61	IGLV8-61	only_in_union
B9D1	B9D1	only_in_union
SERINC2	SERINC2	only_in_union
PPP4R2	PPP4R2	only_in_union
CCDC168	CCDC168	only_in_union
DDT	DDT	only_in_union
FXYD5	FXYD5	only_in_union
COL15A1	COL15A1	only_in_union
CSNK2A1	CSNK2A3	only_in_union
SLURP2	LYNX1	only_in_union
RPS3A	RPS3A	only_in_union
GNG3	GNG2	only_in_union
TPM1	TPM4	only_in_union
TSPY2	TSPY2	only_in_union
PRM1	PRM1	only_in_union
TMIE	TMIE	only_in_union
SUCLA2	SUCLA2	only_in_union
FGA	FGA	only_in_union
GPR89A	GPR89A	only_in_union
CFL1	CFL1	only_in_union
RHCE	RHD	only_in_union
C7H15orf40	ZNF273	only_in_union
ANKRD18B	ANKRD18A	only_in_union
C3H7orf50	C7orf50	only_in_union
OR7A17	OR7A17	only_in_union
DEFB4	DEFB4A	only_in_union
CFAP184	CCDC96	only_in_union
HMGA2	HMGA2	only_in_union
KIR3DL0	KIR2DS3	only_in_union
BCAS4	BCAS4	only_in_union
IGHV3OR16-10	IGHV3-48	only_in_union
POLR1D	POLR1D	only_in_union
HBE1	HBE1	only_in_union
RPS3	RPS3	only_in_union
GGN	GGN	only_in_union
PTGES3	PTGES3	only_in_union
SMN1	SMN1	only_in_union
RPS4X	RPS4X	only_in_union
RNASE9	RNASE9	only_in_union
DIO2	DIO3	only_in_union
GTF2H2	GTF2H2C	only_in_union
KCNQ2	KCNQ2	only_in_union
TMEM161B	TMEM161B	only_in_union
NUDT17	NUDT17	only_in_union
TBC1D31	TBC1D31	only_in_union
NOM1	NOM1	only_in_union
LORICRIN	LORICRIN	only_in_union
RABL2B	RABL2A	only_in_union
CMC4	HEPN1	only_in_union
KRTAP4-6	KRTAP4-6	only_in_union
RNASEH2B	RNASEH2B	only_in_union
SPCS2	SPCS2	only_in_union
RPL13A	RPL13A	only_in_union
TSTD3	TSTD3	only_in_union
PTEN	PTEN	only_in_union
TUBA3D	TUBA3C	only_in_union
CCDC25	CCDC25	only_in_union
TRAJ38	TRAJ38	only_in_union
DNAJC8	DNAJC8	only_in_union
TMEM42	TMEM42	only_in_union
KRTAP10-6	KRTAP10-1	only_in_union
GRAP	GRAP	only_in_union
NUDT3	NUDT3	only_in_union
HTR1F	HTR1F	only_in_union
RAC1	RAC1	only_in_union
AEBP1	AEBP1	only_in_union
EEF1A1	EEF1A1	only_in_union
RPL4	RPL4	only_in_union
PRSS21	PRSS41	only_in_union
GNG12	MTRNR2L4	only_in_union
ST13	ST13	only_in_union
CCL4L1	CCL3L1	only_in_union
H2BC4	H2BC10	only_in_union
PITPNC1	PITPNC1	only_in_union
DEFB119	DEFB119	only_in_union
C1H1orf35	C1orf35	only_in_union
GSG1	GSG1	only_in_union
RPS24	RPS24	only_in_union
RPL37A	RPL37A	only_in_union
NME1	NME2	only_in_union
CDC14B	CDC14B	only_in_union
B3GNTL1	B3GNTL1	only_in_union
BOLA2B	BOLA2B	only_in_union
ZNF273	ZNF732	only_in_union
RABGEF1	RABGEF1	only_in_union
MRPL20	MRPL20	only_in_union
FAAP20	TP53TG3C	only_in_union
ALDH3B1	ALDH3B1	only_in_union
NOP16	NOP16	only_in_union
H3C1	H3C1	only_in_union
PPIP5K1	PPIP5K1	only_in_union
YBX1	YBX1	only_in_union
PPIL3	PPIL3	only_in_union
RPS20	RPS20	only_in_union
MTCL3	SOGA3	only_in_union
RTD1A	SPAG11B	only_in_union
H2BC9	H2BC9	only_in_union
BRD4	BRD4	only_in_union
ATG9A	ATG9A	only_in_union
TEX56P	NPIPA9	only_in_union
NUDT16	NUDT16	only_in_union
TDRD12	NUDT19	only_in_union
NLRP9	NLRP9	only_in_union
RPS29	RPS29	only_in_union
CAP1	CAP1	only_in_union
SULT1A3	SULT1A2	only_in_union
PRSS2	PRSS3	only_in_union
CCL24	CCL24	only_in_union
SNRPE	SNRPE	only_in_union
FHL1	FHL1	only_in_union
RAB32	IFITM10	only_in_union
RNF11	RNF11	only_in_union
OR2J1	OR2J1	only_in_union
RBP5	ENDOV	only_in_union
RPS8	RPS8	only_in_union
CCL25	CCL25	only_in_union
PPP1CC	PPP1CC	only_in_union
DHRS4L1	DHRS4L2	only_in_union
RPL23A	RPL23A	only_in_union
DUSP13B	DUSP13	only_in_union
POLD3	POLD3	only_in_union
MCRIP2	BBC3	only_in_union
FUNDC2	FUNDC2	only_in_union
MRPL33	MRPL33	only_in_union
FGF13	FGF13	only_in_union
JPT1	JPT1	only_in_union
HNRNPA1	HNRNPA1P48	only_in_union
CES1	CES1	only_in_union
EWSR1	EWSR1	only_in_union
H3-3B	H3-3B	only_in_union
SRP14	SRP14	only_in_union
ANAPC11	ANAPC11	only_in_union
HNRNPA1L3	HNRNPA1L2	only_in_union
FBP2	FBP2	only_in_union
BRI3	BRI3	only_in_union
AMY2B	AMY1C	only_in_union
DMKN	DMKN	only_in_union
GSTT1	GSTT1	only_in_union
RPS5	RPS5	only_in_union
OSTC	OSTC	only_in_union
CBX3	CBX3	only_in_union
EIF3C	EIF3CL	only_in_union
BCCIP	BCCIP	only_in_union
FUNDC1	FUNDC1	only_in_union
DTWD2	DTWD2	only_in_union
FCN2	FCN2	only_in_union
SPANXN	SPANXN1	only_in_union
PGA4	PGA3	only_in_union
CEACAM5	PSG11	only_in_union
