crab_eating_macaque gene name,mice gene name
ACTA1,Acta1
RHOB,Rhob
RPS23,Rps23
PPIH,Ppih
H2BC26,H2bc26
AHCYL1,Ahcyl1
BCAS2,Bcas2
ARF1,Arf1
NR2F2,Nr2f2
PPP2CB,Ppp2cb
EMC6,Emc6
HOXC8,Hoxc8
HOXC6,Hoxc6
U4,Gm24265
DYNLL1,Dynll1
MAB21L1,Mab21l1
DCAF7,Dcaf7
POLR2I,Polr2i
CNIH2,Cnih2
ZNF664,Zfp664
MIR124-3,Mir124a-3
SRSF3,Srsf3
RPS18,Rps18
MIR196B,Mir196b
CBX3,Cbx3
TMEM178B,Tmem178b
ACTG2,Actg2
ARL5B,Arl5b
MARCHF5,Marchf5
RPL27,Rpl27
VCP,Vcp
RPL37A,Rpl37a
SUPT4H1,Supt4a
HNRNPK,Hnrnpk
SMARCB1,Smarcb1
BTG1,Btg1
UBE2N,Ube2n
RPS25,Rps25
HRAS,Hras
TMEM258,Tmem258
SF3B6,Sf3b6
YPEL5,Ypel5
BLCAP,Blcap
RAB14,Rab14
RPL39,Rpl39
RAP2C,Rap2c
GABARAPL2,Gabarapl2
PCBP1,Pcbp1
TXNL4A,Txnl4a
RPS28,Rps28
DYNLL2,Dynll2
RRAGA,Rraga
RAP2A,Rap2a
UBA52,Uba52
SMU1,Smu1
SNRPD1,Snrpd1
PHF5A,Phf5a
STMN2,Stmn2
ANAPC16,Anapc16
ZMAT2,Zmat2
EBF3,Ebf3
TUBB4A,Tubb4a
COPS2,Cops2
QKI,Qki
LSM6,Lsm6
SNX3,Snx3
SNRPD3,Snrpd3
RPS9,Rps9
CALM3,Calm3
NUTF2,Nutf2
RND3,Rnd3
ATAD1,Atad1
RAP1B,Rap1b
ACTA2,Acta2
RPL24,Rpl24
RAP2B,Rap2b
MAGOH,Magoh
RAP1A,Rap1a
MIR101-1,Mir101a
SERP1,Serp1
WDR82,Wdr82
TRA2B,Tra2b
RAB6B,Rab6b
ERH,Erh
PSMA5,Psma5
CDC73,Cdc73
RPL15,Rpl15
ARL8B,Arl8b
POLR2J,Polr2j
AGO1,Ago1
BUD31,Bud31
RPL10A,Rpl10a
TNNC1,Tnnc1
MFSD14A,Mfsd14a
ARL4A,Arl4a
HPCA,Hpca
RBBP4,Rbbp4
EIF1B,Eif1b
TMA7,Tma7
OTP,Otp
TSPAN5,Tspan5
ETF1,Etf1
UBE2K,Ube2k
GNG5,Gng5
LSM5,Lsm5
ARF5,Arf5
LSM8,Lsm8
TBPL1,Tbpl1
DAD1,Dad1
RMND5A,Rmnd5a
ROMO1,Romo1
B3GALT1,B3galt1
PBX1,Pbx1
FAM78B,Fam78b
LMO4,Lmo4
LSM3,Lsm3
C6orf62,BC005537
ACTC1,Actc1
SF3B1,Sf3b1
SF3B3,Sf3b3
EBF1,Ebf1
AP2B1,Ap2b1
STAT3,Stat3
HNRNPA3,Hnrnpa3
PRPS1,Prps1
SMC1A,Smc1a
SMC3,Smc3
ABCE1,Abce1
CNOT2,Cnot2
PPP2R5E,Ppp2r5e
RUVBL1,Ruvbl1
TUBB4B,Tubb4b
SRSF2,Srsf2
FBXL20,Fbxl20
PBX3,Pbx3
PSMC2,Psmc2
HDAC3,Hdac3
SMAD3,Smad3
PSMC4,Psmc4
CTNNB1,Ctnnb1
GPR85,Gpr85
RPS6KA3,Rps6ka3
SSBP2,Ssbp2
MAB21L2,Mab21l2
CNBP,Cnbp
OGT,Ogt
NFYA,Nfya
RNF2,Rnf2
DOK6,Dok6
FOXB1,Foxb1
BRMS1L,Brms1l
CYRIA,Cyria
CRK,Crk
GRIA2,Gria2
MPPED2,Mpped2
TM9SF3,Tm9sf3
SIAH1,Siah1a
CLTC,Cltc
NXPH1,Nxph1
OTUB1,Otub1
RIMS4,Rims4
SNRNP200,Snrnp200
ZBTB18,Zbtb18
EMC3,Emc3
VANGL2,Vangl2
KPNA3,Kpna3
LRRC3B,Lrrc3b
EMX2,Emx2
MARCHF3,Marchf3
ACTR1A,Actr1a
KCNIP4,Kcnip4
YWHAZ,Ywhaz
PRRX1,Prrx1
SATB2,Satb2
SOX14,Sox14
AKT3,Akt3
PSMA2,Psma2
LIN7A,Lin7a
SNRPB,Snrpb
GID8,Gid8
DDB1,Ddb1
PRPF3,Prpf3
NUDT21,Nudt21
TFAP2D,Tfap2d
CHMP4B,Chmp4b
TMEM147,Tmem147
HOXC5,Hoxc5
CSTF1,Cstf1
RAB4B,Rab4b
SF3B4,Sf3b4
KCND2,Kcnd2
FGF9,Fgf9
RAB6A,Rab6a
UBE2E3,Ube2e3
RALA,Rala
FEM1C,Fem1c
CELF1,Celf1
KAT5,Kat5
PAFAH1B1,Pafah1b1
ASF1A,Asf1a
ATP2B1,Atp2b1
RASL10B,Rasl10b
LHX1,Lhx1
TAGLN3,Tagln3
DHX15,Dhx15
ENC1,Enc1
SEPHS1,Sephs1
LUC7L2,Luc7l2
TLX3,Tlx3
RHOA,Rhoa
CFAP20,Cfap20
CUL3,Cul3
HPCAL4,Hpcal4
RHOG,Rhog
TLK2,Tlk2
EIF3M,Eif3m
EXT1,Ext1
ANAPC10,Anapc10
ELAVL3,Elavl3
DCTN5,Dctn5
PHB1,Phb1
PPM1L,Ppm1l
FUT9,Fut9
FYN,Fyn
STT3A,Stt3a
CAND1,Cand1
GNAT1,Gnat1
HNRNPH3,Hnrnph3
IPO7,Ipo7
MYL9,Myl9
ASIC2,Asic2
PDIK1L,Pdik1l
CAB39,Cab39
SRP54,Srp54a
PRPF19,Prpf19
MOSMO,Mosmo
PTP4A2,Ptp4a2
COPS5,Cops5
CFL2,Cfl2
PHYHIP,Phyhip
CHIC2,Chic2
CNOT1,Cnot1
BUB3,Bub3
KCND3,Kcnd3
RPRD1B,Rprd1b
HDAC2,Hdac2
CTDNEP1,Ctdnep1
POLR3B,Polr3b
AP1S2,Ap1s2
ACTR2,Actr2
SNRPC,Snrpc
ASB7,Asb7
STAG1,Stag1
NUDCD2,Nudcd2
QRICH1,Qrich1
PFDN5,Pfdn5
GRM7,Grm7
DLG4,Dlg4
RBM25,Rbm25
ZBTB14,Zbtb14
DRG1,Drg1
CNOT8,Cnot8
MSI1,Msi1
IGF2BP1,Igf2bp1
CSTF3,Cstf3
MAPK8,Mapk8
POLR2D,Polr2d
CAMK2G,Camk2g
EPHB2,Ephb2
TRA2A,Tra2a
FBXW11,Fbxw11
POU4F1,Pou4f1
ACTR3,Actr3
ARIH1,Arih1
AP1G1,Ap1g1
COPB1,Copb1
U2AF2,U2af2
CPSF4,Cpsf4
PCBP2,Pcbp2
TMEM60,Tmem60
TAFA1,Tafa1
UBA3,Uba3
KCNC1,Kcnc1
PA2G4,Pa2g4
H2AC21,H2ac21
HYPK,Hypk
PFDN6,Pfdn6
TNPO1,Tnpo1
DYRK1A,Dyrk1a
FZD2,Fzd2
KCNJ10,Kcnj10
MIB1,Mib1
ABCF2,Abcf2
LAMTOR2,Lamtor2
SMURF2,Smurf2
TAX1BP3,Tax1bp3
PSMA7,Psma7
NFIX,Nfix
PANK3,Pank3
EPHB1,Ephb1
MKLN1,Mkln1
HSP90AA1,Hsp90aa1
KLHL10,Klhl10
MACO1,Maco1
IPO13,Ipo13
PTBP2,Ptbp2
NAA40,Naa40
UBE2Z,Ube2z
JAKMIP2,Jakmip2
UBL3,Ubl3
WNT7A,Wnt7a
RPLP2,Rplp2
CWC15,Cwc15
GLRA1,Glra1
EFNA5,Efna5
NCKAP1,Nckap1
POU4F3,Pou4f3
HNRNPH2,Hnrnph2
DDX5,Ddx5
RPL35A,Rpl35a
KPNB1,Kpnb1
SEC23A,Sec23a
GRB2,Grb2
EIF3I,Eif3i
CSE1L,Cse1l
RBBP5,Rbbp5
RAB5B,Rab5b
RAB5A,Rab5a
CHMP2B,Chmp2b
ABHD2,Abhd2
KCNJ6,Kcnj6
PABPC1,Pabpc1
EBF2,Ebf2
CUL1,Cul1
POLR2E,Polr2e
SLC32A1,Slc32a1
EIF2S1,Eif2s1
HMBOX1,Hmbox1
UHMK1,Uhmk1
FEM1B,Fem1b
PCBD1,Pcbd1
PSMB3,Psmb3
GRIK3,Grik3
C1QL3,C1ql3
GRIK2,Grik2
LHX5,Lhx5
LMX1B,Lmx1b
NLGN3,Nlgn3
CNOT9,Cnot9
CLK3,Clk3
PSMC3,Psmc3
APPBP2,Appbp2
SSU72,Ssu72
TRRAP,Trrap
NR2E1,Nr2e1
MSL2,Msl2
SEC61B,Sec61b
STRBP,Strbp
PSMD1,Psmd1
NPRL2,Nprl2
RBM18,Rbm18
SIX1,Six1
PKNOX2,Pknox2
NCK1,Nck1
TMEFF2,Tmeff2
CBFB,Cbfb
HECTD1,Hectd1
ONECUT1,Onecut1
SMAD1,Smad1
GLRA3,Glra3
SSR3,Ssr3
HAS2,Has2
EIF3D,Eif3d
METTL14,Mettl14
SPSB1,Spsb1
XPO7,Xpo7
TMEM47,Tmem47
IPO9,Ipo9
GLRA2,Glra2
HOXA9,Hoxa9
TUBG1,Tubg1
MAPK1,Mapk1
PPFIA2,Ppfia2
ANKRD52,Ankrd52
MIR30C1,Mir30c-1
HOMER1,Homer1
PUM1,Pum1
WNT4,Wnt4
TNIK,Tnik
PSMA4,Psma4
ATP2A2,Atp2a2
KPNA4,Kpna4
NSA2,Nsa2
KCTD21,Kctd21
ACVR2A,Acvr2a
OPCML,Opcml
CADM1,Cadm1
IMPDH2,Impdh2
ACTB,Actb
RDH10,Rdh10
DLX1,Dlx1
MTOR,Mtor
PELI1,Peli1
ZFP36L1,Zfp36l1
CLIC4,Clic4
GTF2H4,Gtf2h4
VPS26B,Vps26b
KLHL14,Klhl14
AP3M1,Ap3m1
MTA2,Mta2
TUBA4A,Tuba4a
SV2A,Sv2a
RNF182,Rnf182
MB21D2,Mb21d2
LHX2,Lhx2
SNRPN,Snrpn
RBM17,Rbm17
CACNG2,Cacng2
TRPC1,Trpc1
PAX3,Pax3
BRINP1,Brinp1
DPF1,Dpf1
CNKSR2,Cnksr2
SLC6A8,Slc6a8
CPNE9,Cpne9
CACNG3,Cacng3
RBM24,Rbm24
SSTR1,Sstr1
PRPF38A,Prpf38a
MEIS1,Meis1
STK38,Stk38
METAP1,Metap1
LYPLA2,Lypla2
XPO4,Xpo4
ORMDL1,Ormdl1
ORMDL2,Ormdl2
PIK3CA,Pik3ca
GNAL,Gnal
EPHA4,Epha4
UBTD1,Ubtd1
BTRC,Btrc
TMEM98,Tmem98
TBX15,Tbx15
PRPF8,Prpf8
BRK1,Brk1
NPR2,Npr2
DNAJA2,Dnaja2
EFTUD2,Eftud2
ACTN2,Actn2
GOLPH3,Golph3
INTS3,Ints3
MACROH2A2,Macroh2a2
CDK9,Cdk9
MEF2C,Mef2c
RPL27A,Rpl27a
VWC2L,Vwc2l
LPAR4,Lpar4
ARPC1A,Arpc1a
SMIM15,Smim15
WNT1,Wnt1
C1QL1,C1ql1
POMGNT1,Pomgnt1
CHMP5,Chmp5
ATG101,Atg101
UBE2V2,Ube2v2
TRAPPC1,Trappc1
POU3F4,Pou3f4
CLCN3,Clcn3
RAB5C,Rab5c
NFIB,Nfib
ZFAND5,Zfand5
PPP2R5B,Ppp2r5b
SPTSSA,Sptssa
GTF2H5,Gtf2h5
PLAGL2,Plagl2
EXOC5,Exoc5
GTPBP2,Gtpbp2
GJB1,Gjb1
KDELR2,Kdelr2
GRIN2B,Grin2b
RPL13,Rpl13
ZDHHC17,Zdhhc17
THOC3,Thoc3
TENM2,Tenm2
ERG28,Erg28
NXT1,Nxt1
RPL38,Rpl38
CTCF,Ctcf
VAT1L,Vat1l
ACTR3B,Actr3b
PRPF4,Prpf4
NALCN,Nalcn
HSPA5,Hspa5
TRIB2,Trib2
OLIG3,Olig3
ARGLU1,Arglu1
TMEM203,Tmem203
ITPR1,Itpr1
COPA,Copa
