human gene name,pig gene name,correlation,identical_scores,orthology confidence,combo_score
PPIL1,PPIL1,1.0000018,100.0,1.0,2.0
S100A10,S100A10,1.0000015,100.0,1.0,1.9999994728800845
H2AC12,H2AC12,1.0000015,100.0,1.0,1.9999994728800845
RPS12,RPS12,1.0000012,100.0,1.0,1.999998945760169
CAMK2N2,CAMK2N2,1.000001,100.0,1.0,1.9999985943468919
HPCA,HPCA,1.000001,100.0,1.0,1.9999985943468919
CABP7,CABP7,1.000001,100.0,1.0,1.9999985943468919
PCBD1,PCBD1,1.0000007,100.0,1.0,1.9999980672269766
FAM168B,FAM168B,1.0000005,100.0,1.0,1.9999977158136995
RHOB,RHOB,1.0000005,100.0,1.0,1.9999977158136995
RTCB,RTCB,1.0000005,100.0,1.0,1.9999977158136995
H2AC6,H2AC6,1.0000004,100.0,1.0,1.9999975401070609
CTXN1,CTXN1,1.0000002,100.0,1.0,1.9999971886937837
DLX3,DLX3,1.0000002,100.0,1.0,1.9999971886937837
H2AC21,H2AC21,1.0000001,100.0,1.0,1.9999970129871456
RNF11,RNF11,1.0000001,100.0,1.0,1.9999970129871456
NRAS,NRAS,1.0000001,100.0,1.0,1.9999970129871456
GET3,GET3,0.99999994,100.0,1.0,1.9999967318565237
DNAJA1,DNAJA1,0.99999994,100.0,1.0,1.9999967318565237
H2BC5,H2BC5,0.99999994,100.0,1.0,1.9999967318565237
RPS28,RPS28,0.9999998,100.0,1.0,1.9999964858672297
OTP,OTP,0.99999976,100.0,1.0,1.9999964155845742
SOX21,SOX21,0.99999976,100.0,1.0,1.9999964155845742
SEC61G,SEC61G,0.99999976,100.0,1.0,1.9999964155845742
OST4,OST4,0.9999996,100.0,1.0,1.9999961344539527
EIF1B,EIF1B,0.9999995,100.0,1.0,1.9999959587473142
PHF5A,PHF5A,0.9999995,100.0,1.0,1.9999959587473142
MYL12B,MYL12B,0.99999946,100.0,1.0,1.999995888464659
H3C7,H3C4,0.9999992,100.0,1.0,1.999995431627399
ANAPC13,ANAPC13,0.9999992,100.0,1.0,1.999995431627399
CAMK2N1,CAMK2N1,0.9999991,100.0,1.0,1.9999952559207603
H2AC20,H2AC20,0.9999991,100.0,1.0,1.9999952559207603
MOB1A,MOB1A,0.99999875,100.0,1.0,1.9999946409475258
RAP2B,RAP2B,0.99999875,100.0,1.0,1.9999946409475258
SF3B6,SF3B6,0.99999875,100.0,1.0,1.9999946409475258
RPRM,RPRM,0.9999987,100.0,1.0,1.999994553094206
ID4,ID4,0.9999986,100.0,1.0,1.9999943773875675
DPY30,DPY30,0.9999984,100.0,1.0,1.9999940259742908
NEUROD6,NEUROD6,0.9999979,100.0,1.0,1.999993147441098
SF3B5,SF3B5,0.9999979,100.0,1.0,1.999993147441098
ABI1,ABI1,0.9994184,100.0,1.0,1.9989749274709352
HNRNPH3,HNRNPH3,0.99924934,100.0,1.0,1.998677877827871
LMX1B,LMX1B,0.9992466,100.0,1.0,1.9986730634659757
RPS14,RPS14,0.999154,100.0,1.0,1.9985103591187159
ABHD17B,ABHD17B,0.9989309,100.0,1.0,1.9981183576082011
SHOC2,SHOC2,0.998796,100.0,1.0,1.997881329352852
AP1S2,AP1S2,0.9986456,100.0,1.0,1.9976170665685333
MIB1,MIB1,0.9999453,99.8012,1.0,1.9970396271910171
MB21D2,MB21D2,0.99997586,99.7963,1.0,1.9970228031048598
PELI1,PELI1,0.99828553,100.0,1.0,1.9969843996752519
PRPF38A,PRPF38A,0.99823886,100.0,1.0,1.9969023973870592
H2BC18,H2BC18,0.99811924,100.0,1.0,1.9966922171060744
ANAPC10,ANAPC10,0.9980615,100.0,1.0,1.996590764092999
MFAP1,MFAP1,0.99991053,99.7722,1.0,1.996561170521034
KHDRBS1,KHDRBS1,0.99988914,99.7743,1.0,1.9965538097431503
KCNJ6,KCNJ6,0.9997939,99.7636,1.0,1.9962324740113937
FEM1C,FEM1C,0.9991155,99.8379,1.0,1.996109794174116
ARPP19,ARPP19,0.997641,100.0,1.0,1.9958519176780665
MAB21L2,MAB21L2,0.99990827,99.7215,1.0,1.9958275330675932
CGGBP1,CGGBP1,0.9975483,100.0,1.0,1.9956890376241683
SF3A3,SF3A3,0.9991503,99.8004,1.0,1.9956312459397825
POU4F3,POU4F3,0.99991035,99.7041,1.0,1.9955807696826102
CASTOR2,CASTOR2,0.99994797,99.696,1.0,1.995530296584798
B3GALT1,B3GALT1,0.9999628,99.6933,1.0,1.9955174959008826
NR2F1,NR2F1,0.9983973,99.8818,1.0,1.9954796710415414
FOXB1,FOXB1,0.9999376,99.6923,1.0,1.995458825984124
SP9,SP9,0.999922,99.6905,1.0,1.9954055104295787
CACNG2,CACNG2,0.9998414,99.6904,1.0,1.9952624516945545
SNRNP200,SNRNP200,0.99958557,99.7191,1.0,1.9952259873198726
KLHL9,KLHL9,0.99993163,99.6758,1.0,1.9952108708742093
CACNG3,CACNG3,0.9998574,99.6825,1.0,1.9951768691902676
BUB3,BUB3,0.99724805,100.0,1.0,1.9951614784420433
GNB4,GNB4,0.9971785,100.0,1.0,1.9950392744749597
PGAP4,PGAP4,0.9991533,99.7519,1.0,1.9949385127120067
RPS7,RPS7,0.99698824,100.0,1.0,1.9947049750245311
HOXB5,HOXB5,0.9998348,99.6283,1.0,1.994357121553064
HOXC4,HOXC4,0.9998685,99.6212,1.0,1.9943141525988768
HOXC9,HOXC9,0.9998988,99.6154,1.0,1.9942839190159902
KCTD4,KCTD4,0.99990463,99.6139,1.0,1.9942725749472339
HES1,HES1,0.99961746,99.6429,1.0,1.994185361665199
HOXB9,HOXB9,0.99982065,99.6,1.0,1.9939249698826396
HOXC8,HOXC8,0.99977744,99.5868,1.0,1.9936590747052634
RPS23,RPS23,0.9962751,100.0,1.0,1.993451940702664
H2AZ1,H2AZ1,0.9994499,99.6094,1.0,1.9934088208525953
HNRNPH2,HNRNPH2,0.9998204,99.5546,1.0,1.99327114090506
IGF2BP1,IGF2BP1,0.99900156,99.6534,1.0,1.9932542988390887
RAB33A,RAB33A,0.99961394,99.5781,1.0,1.9932465853097683
ARL5B,ARL5B,0.99839884,99.7222,1.0,1.9931854386446362
RPL37,RPL37,0.9961065,100.0,1.0,1.9931556993101371
