crab_eating_macaque gene name,rhesus_macaque gene name
MIR30C1,mml-mir-30c-1
ZFP36,ZFP36
RNU6-481P,U6
S100A16,S100A16
S100A2,S100A2
S100A3,S100A3
KLF15,KLF15
ATP2B2,ATP2B2
S100A4,S100A4
NCF2,NCF2
S100A5,S100A5
SCARNA3,SCARNA3
RNU7-8P,U7
KIFAP3,KIFAP3
TXNIP,TXNIP
PGLYRP4,PGLYRP4
POLR3GL,POLR3GL
ASB17,ASB17
RGL1,RGL1
COQ8A,COQ8A
RN7SL715P,Metazoa_SRP
S100A8,S100A8
EXO5,EXO5
MIR885,mml-mir-885
S100A12,S100A12
MOB3C,MOB3C
S100A9,S100A9
DENND2D,DENND2D
NTMT2,NTMT2
NECTIN3,NECTIN3
SPRR3,SPRR3
SLC33A1,SLC33A1
ASTN1,ASTN1
NCK1,NCK1
OR6N2,OR6N2
ZNF496,ZNF496
COLGALT2,COLGALT2
ROPN1B,ROPN1B
RNU1-30P,U1
OR6N1,OR6N1
PRRX1,PRRX1
ACADM,ACADM
PRR9,PRR9
CLDN18,CLDN18
U3,U3
MIR488,mml-mir-488
ALG6,ALG6
SMCP,SMCP
C3orf85,C2H3orf85
KCNAB1,KCNAB1
C1orf21,C1H1orf21
IGSF3,IGSF3
HRH1,HRH1
SPMIP3,SPMIP3
TSHB,TSHB
SNORD45B,SNORD45B
SNORD45A,SNORD45A
SNORD45C,SNORD45C
RNF2,RNF2
SSR3,SSR3
LCE5A,LCE5A
ZBTB18,ZBTB18
TIPARP,TIPARP
TOMM40L,TOMM40L
AKT3,AKT3
MIR205,mml-mir-205
MYOCOS,MYOCOS
MIR29B2,mml-mir-29b-2
5S_rRNA,5S_rRNA
HPCAL4,HPCAL4
VAMP4,VAMP4
NT5C1A,NT5C1A
SLC6A17,SLC6A17
PABPC4,PABPC4
RAD54L,RAD54L
SNORA55,SNORA55
CLEC20A,CLEC20A
CPLANE2,CPLANE2
CDC20,CDC20
CAP1,CAP1
AMPD1,AMPD1
WNT3A,WNT3A
MPL,MPL
PTX3,PTX3
B4GALT3,B4GALT3
MIR569,mml-mir-569
NFIA,NFIA
MIR214,mml-mir-214
MIR199A2,mml-mir-199a-1
UFC1,UFC1
C1orf105,C1H1orf105
BCAS2,BCAS2
RALGPS2,RALGPS2
FAM20B,FAM20B
HSD11B1,HSD11B1
PIGC,PIGC
PPARG,PPARG
PFDN2,PFDN2
MIR4677,MIR4677
SCAMP3,SCAMP3
EBNA1BP2,EBNA1BP2
ANGPTL1,ANGPTL1
TNNI3K,FPGT
FASLG,FASLG
IFT57,IFT57
IRF6,IRF6
MIR29C,MIR29C
TNFSF18,TNFSF18
USF1,USF1
RHBDL2,RHBDL2
SEC22B,SEC22B
SMYD3,SMYD3
COPB2,COPB2
LXN,LXN
MTX1,MTX1
MKRN2,MKRN2
CD47,CD47
HSPB7,HSPB7
HOOK1,HOOK1
SVBP,SVBP
TRIM11,TRIM11
SERTAD4,SERTAD4
TNFSF10,TNFSF10
ANKRD45,ANKRD45
TEX50,TEX50
LRRC3B,LRRC3B
PLA2G4A,PLA2G4A
EPS8L3,EPS8L3
P3H1,P3H1
CENPL,CENPL
ODR4,ODR4
CLSTN2,CLSTN2
MIR186,mml-mir-186
C1orf210,C1H1orf210
TRIM42,TRIM42
SLC25A34,SLC25A34
TRIM17,TRIM17
COA7,COA7
KMO,KMO
TOP2B,TOP2B
DDR2,DDR2
DCLRE1B,DCLRE1B
H2BC26,H2BC26
CLDN19,CLDN19
BCL2L15,BCL2L15
U4,U4
PLEKHM2,PLEKHM2
RARB,RARB
BRINP3,BRINP3
SNORA58,SNORA58
PXYLP1,PXYLP1
PPIH,PPIH
SNORD79,SNORD79
SOAT1,SOAT1
IFT80,IFT80
RGS18,RGS18
SNORD24,SNORD24
MTF1,MTF1
RGS21,RGS21
IL12A,IL12A
RGS7,RGS7
VANGL2,VANGL2
AHCYL1,AHCYL1
SNORD36,SNORD36
RNF7,RNF7
NLGN1,NLGN1
RGS2,RGS2
TRAF5,TRAF5
ALCAM,ALCAM
RIMKLA,RIMKLA
LRRC71,LRRC71
ROPN1,ROPN1
RD3,RD3
RPL15,RPL15
GNAT2,GNAT2
MIR15B,mml-mir-15b
GREM2,GREM2
GNAI3,GNAI3
UHMK1,UHMK1
ZMYND12,ZMYND12
SCARNA18B,SCARNA18B
AMIGO1,AMIGO1
FAM163A,FAM163A
SYPL2,SYPL2
TOR1AIP2,TOR1AIP2
UBE2E2,UBE2E2
PRKAA2,PRKAA2
FOXJ3,FOXJ3
CYB561D1,CYB561D1
FH,FH
SLC50A1,SLC50A1
MIR16-2,mml-mir-16-2
CDC73,CDC73
GUCA2B,GUCA2B
ATXN7L2,ATXN7L2
PPM1L,PPM1L
AKR1A1,AKR1A1
PSMA5,PSMA5
B3GALT2,B3GALT2
METTL25B,METTL25B
EDN2,EDN2
SNORA72,SNORA72
SNORA70,SNORA70
TMEM51,TMEM51
PRPF38A,PRPF38A
RPE65,RPE65
DIRAS3,DIRAS3
SNORA16B,SNORA16B
MIR200A,mml-mir-200a
PACC1,PACC1
MRPL24,MRPL24
KCNT2,KCNT2
NASP,NASP
MIR197,MIR197
KCNMB2,KCNMB2
PLS1,PLS1
ZMAT3,ZMAT3
WNT7A,WNT7A
CRABP2,CRABP2
OTOL1,OTOL1
CAPZA1,CAPZA1
PCOLCE2,PCOLCE2
BTF3L4,BTF3L4
MOV10,MOV10
KCNJ10,KCNJ10
DCST1,DCST1
PRDX1,PRDX1
RAB3B,RAB3B
SLITRK3,SLITRK3
TAGLN2,TAGLN2
TATDN3,TATDN3
TESK2,TESK2
SATB1,SATB1
F13B,F13B
MEF2D,MEF2D
VASH2,VASH2
XPR1,XPR1
SHC1,SHC1
SEC22A,SEC22A
ANGEL2,ANGEL2
EFNA3,EFNA3
STX6,STX6
MIR761,mml-mir-761
TSACC,TSACC
ST7L,ST7L
MIER1,MIER1
SRPRB,SRPRB
LMNA,LMNA
PROX1,PROX1
RAB6B,RAB6B
SMYD2,SMYD2
SERPINI1,SERPINI1
KCNK2,KCNK2
KPNA1,KPNA1
RNU2-20P,U2
ANAPC13,ANAPC13
MIX23,MIX23
ZBTB41,ZBTB41
PDE4B,PDE4B
KIF2C,KIF2C
CSTA,CSTA
CDKN2C,CDKN2C
FAF1,FAF1
KY,KY
EPHB1,EPHB1
ELAVL4,ELAVL4
MIR190B,mml-mir-190b
DNAJC6,DNAJC6
SNORD38B,SNORD38B
SNORD38A,SNORD38A
DHX9,DHX9
MIR181A1,mml-mir-181a-1
C1orf53,C1H1orf53
U5,U5
ATP6V1G3,ATP6V1G3
IQCB1,IQCB1
RNF220,RNF220
ESRRG,ESRRG
PGD,PGD
DMAP1,DMAP1
GTF2E1,GTF2E1
RABL3,RABL3
EEIG2,EEIG2
MIR181B1,mml-mir-181b-1
CLDN1,CLDN1
ACTN2,ACTN2
CAMSAP2,CAMSAP2
ZIC1,ZIC1
LGALS8,LGALS8
GYG1,GYG1
EDARADD,EDARADD
INSL5,INSL5
KRTAP11-1,KRTAP11-1
HCRTR1,HCRTR1
TGFB2,TGFB2
KRTAP13-4,KRTAP13-4
OSTN,OSTN
CLDN16,CLDN16
MIR944,mml-mir-944
CACNA1S,CACNA1S
PKNOX1,PKNOX1
POC1A,POC1A
TM4SF18,TM4SF18
TFG,TFG
TP63,TP63
LNP1,LNP1
PDPN,PDPN
WDR82,WDR82
TBCCD1,TBCCD1
MIRLET7G,MIRLET7G
DNAJB11,DNAJB11
QRICH1,QRICH1
SNORA36B,SNORA36B
MIR135A1,mml-mir-135a-1
BPNT1,BPNT1
ZNF736,ZNF736
LZIC,LZIC
MIR28,mml-mir-28
SST,SST
RTP4,RTP4
OLFM3,OLFM3
SERP1,SERP1
CSRP1,CSRP1
BAP1,BAP1
GPX1,GPX1
AADACL3,AADACL3
MAP3K7CL,MAP3K7CL
DHRS3,DHRS3
PHF7,PHF7
KLHDC8B,KLHDC8B
RTP1,RTP1
DPH5,DPH5
DUSP10,DUSP10
