Gene name,Mouse Lemur gene name
MT-ND1,ND1
MT-ND2,ND2
MT-CO1,COX1
MT-CO2,COX2
MT-ATP8,ATP8
MT-ATP6,ATP6
MT-CO3,COX3
MT-ND3,ND3
MT-ND4L,ND4L
MT-ND4,ND4
MT-ND5,ND5
MT-ND6,ND6
MT-CYB,CYTB
TMSB4Y,TMSB4X
TMPRSS15,TMPRSS15
CXADR,CXADR
URB1,URB1
JAM2,JAM2
SCAF4,SCAF4
NCAM2,NCAM2
MIPEP,MIPEP
HUNK,HUNK
C21orf91,C21orf91
KPNA3,KPNA3
MORC3,MORC3
CRYL1,CRYL1
PAXBP1,PAXBP1
CAB39L,CAB39L
DNAJC15,DNAJC15
GPR12,GPR12
COLEC12,COLEC12
WASF3,WASF3
EPCIP,C21orf62
POSTN,POSTN
CHODL,CHODL
RAB31,RAB31
BACH1,BACH1
YES1,YES1
ETS2,ETS2
NDUFV2,NDUFV2
KCNJ15,KCNJ15
CELF4,CELF4
FNDC3A,FNDC3A
N6AMT1,N6AMT1
LHFPL6,LHFP
AKAP11,AKAP11
ADAMTS5,ADAMTS5
PROSER1,PROSER1
AKAIN1,AKAIN1
SLC14A2,SLC14A2
RN7SKP147,7SK
RNU1-139P,U1
SNORA80A,SNORA80A
C2CD2,C2CD2
RALBP1,RALBP1
PIBF1,PIBF1
SS18,SS18
ZBTB21,ZBTB21
MIR802,MIR802
BORA,BORA
CBR3,CBR3
EVA1C,EVA1C
KLHL1,KLHL1
SCEL,SCEL
ANKRD12,ANKRD12
FREM2,FREM2
BTG3,BTG3
ARK2N,C19H18orf25
TBC1D4,TBC1D4
SUMO3,SUMO3
SKA1,SKA1
SAMSN1,SAMSN1
SPRY2,SPRY2
RPRD1A,RPRD1A
UFM1,UFM1
KLF5,KLF5
RIT2,RIT2
SIM2,SIM2
CBY2,CBY2
RIPPLY3,RIPPLY3
HRH4,HRH4
UBAC2,UBAC2
RRP1B,RRP1B
MAPK4,MAPK4
RFC3,RFC3
PDXK,PDXK
ARK2C,ARK2C
POU4F1,POU4F1
SPATA13,SPATA13
ST8SIA3,ST8SIA3
CCDC68,CCDC68
SMAD2,SMAD2
RRP1,RRP1
MED15,MED15
NHLRC3,NHLRC3
AGPAT3,AGPAT3
OLFM4,OLFM4
IPO5,IPO5
RAB27B,RAB27B
TXNL1,TXNL1
TRAPPC10,TRAPPC10
CTIF,CTIF
GAREM1,GAREM1
PWP2,PWP2
OSM,OSM
ZBTB7C,ZBTB7C
DIAPH3,DIAPH3
NCF4,NCF4
DYRK1A,DYRK1A
CACNA1I,CACNA1I
FBXO15,FBXO15
CDH7,CDH7
PCDH17,PCDH17
SERTM1,SERTM1
SLC7A1,SLC7A1
PRDM15,PRDM15
TPGS2,TPGS2
SLC15A1,SLC15A1
ISX,ISX
ENTHD1,ENTHD1
LIF,LIF
CBX7,CBX7
FOXO1,FOXO1
PNPLA3,PNPLA3
COG3,COG3
MC4R,MC4R
TMX3,TMX3
EFCAB6,EFCAB6
ADRA1D,ADRA1D
RSPO4,RSPO4
LRCH1,LRCH1
DEFB129,DEFB129
ANGPT4,ANGPT4
SHLD1,C18H20orf196
CDH20,CDH20
SLX4IP,SLX4IP
PKNOX1,PKNOX1
TBC1D22A,TBC1D22A
BMP2,BMP2
CDADC1,CDADC1
PTPN2,PTPN2
INSM1,INSM1
DIS3,DIS3
DEFB128,DEFB128
CBS,CBS
PCSK2,PCSK2
ZNF343,ZNF343
PHLPP1,PHLPP1
ZMYM5,ZMYM5
CDH19,CDH19
ISM1,ISM1
RPL3,RPL3
SOX1,SOX1
MYO16,MYO16
SYNDIG1,SYNDIG1
XRN2,XRN2
C18orf21,C18orf21
KCTD1,KCTD1
SNRPB2,SNRPB2
IRS2,IRS2
SPACA7,SPACA7
CST7,CST7
STOML3,STOML3
SLC39A6,SLC39A6
GTSE1,GTSE1
APMAP,APMAP
ANKRD10,ANKRD10
BFSP1,BFSP1
ZBTB14,ZBTB14
SETD4,SETD4
NALF1,FAM155A
SAMM50,SAMM50
GALR1,GALR1
ZNF521,ZNF521
IMPACT,IMPACT
DSTN,DSTN
TTC38,TTC38
STK35,STK35
SCRT2,SCRT2
CBLN2,CBLN2
NCOA6,NCOA6
TUBGCP3,TUBGCP3
TRIOBP,TRIOBP
SLC19A1,SLC19A1
MBP,MBP
COL18A1,COL18A1
DEFB127,DEFB127
SPTLC3,SPTLC3
PIM3,PIM3
SLC23A2,SLC23A2
GRK1,GRK1
DENND6B,DENND6B
OBI1,RNF219
UBL3,UBL3
MLNR,MLNR
FLT3,FLT3
CERK,CERK
TASP1,TASP1
FAM216B,FAM216B
PPP6R2,PPP6R2
WFDC9,WFDC9
TMEM241,TMEM241
RNU5A-4P,U5
SNORD116,SNORD116
MTCL2,SOGA1
RNY3P2,Y_RNA
RNY3P5,Y_RNA
RNU4-10P,U4
RNY3P10,Y_RNA
RN7SL571P,Metazoa_SRP
RNY3P3,Y_RNA
RNU6-38P,U6
WFDC10A,WFDC10A
PPP1R16B,PPP1R16B
ITM2B,ITM2B
FAM3B,FAM3B
DHX35,DHX35
KCNRG,KCNRG
MIR15A,MIR15A
ADAMTS1,ADAMTS1
ELP2,ELP2
FAM124A,FAM124A
ZAR1L,ZAR1L
N4BP2L1,N4BP2L1
RTL6,RTL6
PVALB,PVALB
MIS18A,MIS18A
TOX2,TOX2
SYNGR1,SYNGR1
WDR4,WDR4
RFXAP,RFXAP
TRPC4,TRPC4
PDGFB,PDGFB
WFDC11,WFDC11
RIPOR3,RIPOR3
MPPED1,MPPED1
FAM83D,FAM83D
SLC2A10,SLC2A10
KCNB1,KCNB1
PKDREJ,PKDREJ
NDUFV3,NDUFV3
ANKRD54,ANKRD54
CDH22,CDH22
GABPA,GABPA
NCOA3,NCOA3
CLIC6,CLIC6
TSPO,TSPO
CPB2,CPB2
CD226,CD226
SHISAL1,SHISAL1
LCP1,LCP1
ZNRF3,ZNRF3
PIGN,PIGN
SNORD83A,SNORD83A
SNORD83B,SNORD83B
SYNJ1,SYNJ1
SIAH3,SIAH3
NALCN,NALCN
PREX1,PREX1
YWHAH,YWHAH
ASPHD2,ASPHD2
SRRD,SRRD
TFIP11,TFIP11
PTGIS,PTGIS
CCDC168,CCDC168
TEX30,TEX30
RBM11,RBM11
HSPA13,HSPA13
CBLN4,CBLN4
PSMG1,PSMG1
ATP9A,ATP9A
CRYBB1,CRYBB1
CRYBA4,CRYBA4
GAS6,GAS6
C1QTNF6,C1QTNF6
RALY,RALY
BRWD1,BRWD1
PPP2R3B,PPP2R3B
TMPRSS6,TMPRSS6
NUDT15,NUDT15
MED4,MED4
PRKX,PRKX
SGCG,SGCG
CFAP61,CFAP61
RBM26,RBM26
IL3RA,IL3RA
P2RY8,P2RY8
DGKH,DGKH
SLC25A6,SLC25A6
AMELX,AMELX
SPECC1L,SPECC1L
SHROOM2,SHROOM2
SLC17A9,SLC17A9
ANOS1,ANOS1
PSMA7,PSMA7
ADORA2A,ADORA2A
ASMTL,ASMTL
SUCLA2,SUCLA2
RBBP8NL,RBBP8NL
UPB1,UPB1
CST3,CST3
SNRPD3,SNRPD3
GID8,GID8
HCCS,HCCS
PMEPA1,PMEPA1
LRRC75B,LRRC75B
PCP4,PCP4
RN7SKP9,7SK
DSCAM,DSCAM
SNORA31,SNORA31
ABHD13,ABHD13
ESD,ESD
MOCOS,MOCOS
HTR2A,HTR2A
SRPX,SRPX
RNY4P28,Y_RNA
TDRD3,TDRD3
BACE2,BACE2
NETO1,NETO1
SOX18,SOX18
ACSS1,ACSS1
SPART,SPART
GRPR,GRPR
CNDP2,CNDP2
TMEM47,TMEM47
RIPK4,RIPK4
KLHL34,KLHL34
SMPX,SMPX
DOK5,DOK5
CNKSR2,CNKSR2
TFF2,TFF2
STK24,STK24
TFF1,TFF1
B4GALT5,B4GALT5
TMPRSS3,TMPRSS3
TAFA5,TAFA5
SALL4,SALL4
MAPK1,MAPK1
CDH4,CDH4
RCBTB2,RCBTB2
MTMR3,MTMR3
CNDP1,CNDP1
NDRG3,NDRG3
UBASH3A,UBASH3A
SLITRK1,SLITRK1
IFT88,IFT88
TWSG1,TWSG1
TMTC4,TMTC4
DOK6,DOK6
KIAA1328,KIAA1328
RPS21,RPS21
RSPH1,RSPH1
SS18L1,SS18L1
EPSTI1,EPSTI1
NFATC2,NFATC2
SLC37A1,SLC37A1
RN7SKP72,7SK
RN7SL282P,Metazoa_SRP
RN7SL50P,Metazoa_SRP
MYO18B,MYO18B
Y_RNA,Y_RNA
MIR187,MIR187
RNU6-706P,U6
RNU6-116P,U6
RNU4-17P,U4
RNU6-567P,U6
RNU6-1037P,U6
RNU6-39P,U6
Y_RNA,Y_RNA
PIAS2,PIAS2
PDE9A,PDE9A
PEBP4,PEBP4
RAB20,RAB20
CARS2,CARS2
ZFYVE19,ZFYVE19
SYCP2,SYCP2
ADARB2,ADARB2
HDHD2,HDHD2
SYTL5,SYTL5
KLF6,KLF6
SGCZ,SGCZ
