Gene name,Gorilla gene name
MT-ND1,ND1
MT-ND2,ND2
MT-CO1,COX1
MT-CO2,COX2
MT-ATP8,ATP8
MT-ATP6,ATP6
MT-CO3,COX3
MT-ND3,ND3
MT-ND4,ND4
MT-ND5,ND5
MT-ND6,ND6
MT-CYB,CYTB
SDC2,SDC2
C8orf89,C8orf89
FGF23,FGF23
CYP2C9,CYP2C9
ARSK,ARSK
ADRB2,ADRB2
MMP15,MMP15
CFAP65,CFAP65
ZNF700,ZNF700
OPTN,OPTN
TBX6,TBX6
METTL4,METTL4
EPG5,EPG5
5S_rRNA,5S_rRNA
PDSS1,PDSS1
ZMYND15,ZMYND15
RN7SKP154,7SK
U7,U7
FZR1,FZR1
PLEKHG1,PLEKHG1
RN7SL69P,Metazoa_SRP
TMPRSS3,TMPRSS3
NDEL1,NDEL1
HOOK1,HOOK1
HPD,HPD
SLC47A1,SLC47A1
RNU7-147P,U7
5S_rRNA,5S_rRNA
RNU6ATAC19P,RNU6ATAC19P
RN7SKP118,7SK
MIR4276,MIR4276
ZFAT,ZFAT
H2AC14,H2AC14
RARG,RARG
RN7SL228P,Metazoa_SRP
RNU7-79P,U7
RN7SKP219,7SK
RN7SL145P,Metazoa_SRP
RN7SKP292,7SK
RNU7-35P,U7
5S_rRNA,5S_rRNA
RN7SL567P,Metazoa_SRP
ptr-mir-182,ggo-mir-182
RNU7-141P,U7
KRTAP22-1,KRTAP22-1
RNA5SP172,5S_rRNA
RN7SKP58,7SK
MIR4686,MIR4686
RN7SL291P,Metazoa_SRP
5S_rRNA,5S_rRNA
SNORA57,SNORA57
5S_rRNA,5S_rRNA
Metazoa_SRP,Metazoa_SRP
SNORD115,SNORD115
RN7SKP107,7SK
5S_rRNA,5S_rRNA
5S_rRNA,5S_rRNA
RNU6-205P,U6
5S_rRNA,5S_rRNA
ACTL7A,ACTL7A
RN7SKP231,7SK
RNU6-1227P,U6
5S_rRNA,5S_rRNA
RNU6-1110P,U6
SLC5A8,SLC5A8
5S_rRNA,5S_rRNA
RN7SKP73,7SK
Metazoa_SRP,Metazoa_SRP
MIR6865,MIR6865
RNU6-774P,U6
RNU6-379P,U6
OSMR,OSMR
RN7SKP143,7SK
RNU6-589P,U6
RNU6-1195P,U6
RN7SL571P,Metazoa_SRP
TLE1,TLE1
RN7SKP38,7SK
RNU6-726P,U6
RN7SL192P,Metazoa_SRP
RNU6-312P,U6
5S_rRNA,5S_rRNA
MIR4743,MIR4743
RN7SKP299,7SK
RN7SL152P,Metazoa_SRP
PRR9,PRR9
MTCH2,MTCH2
RNU6-1278P,U6
5S_rRNA,5S_rRNA
SNORA12,SNORA12
RN7SKP276,7SK
MIR326,MIR326
RAB31,RAB31
MIR493,MIR493
5S_rRNA,5S_rRNA
RN7SKP236,7SK
RN7SL586P,Metazoa_SRP
MIR33A,ggo-mir-33
5S_rRNA,5S_rRNA
RNU2-10P,U2
SNORA63,SNORA63
RNU6-520P,U6
5S_rRNA,5S_rRNA
RNU2-51P,U2
RNU6-449P,U6
SNORA63D,SNORA63
MIR577,MIR577
MIR6070,MIR6070
RNU6-595P,U6
SNORA63E,SNORA63
SNORD36,SNORD36
U2,U2
RN7SL230P,Metazoa_SRP
SSH2,SSH2
MIR369,MIR369
RNU6-234P,U6
RNU2-54P,U2
SNORA63,SNORA63
5S_rRNA,5S_rRNA
RNU6-908P,U6
SNORA19,SNORA19
RN7SL239P,Metazoa_SRP
SNORA63,SNORA63
5S_rRNA,5S_rRNA
RNU6-957P,U6
SLC30A9,SLC30A9
MIR320D2,MIR320D2
SNORA63,SNORA63
RNU2-62P,U2
RNU6-1043P,U6
RNU6-1299P,U6
RN7SL854P,Metazoa_SRP
5S_rRNA,5S_rRNA
FAM217B,FAM217B
RNU2-15P,U2
SNORA63B,SNORA63
5S_rRNA,5S_rRNA
RNU6-1188P,U6
RNU6-178P,U6
RNU2-64P,U2
5S_rRNA,5S_rRNA
RN7SL447P,Metazoa_SRP
SNORD88C,SNORD88C
RNU6-1207P,U6
RNU6-56P,U6
MIR513A2,MIR513A2
RNU2-29P,U2
SNORA63,SNORA63
FKBP8,FKBP8
RNU6-1084P,U6
5S_rRNA,5S_rRNA
RNU6-946P,U6
RNU2-39P,U2
MIR518E,MIR518E
MRM2,MRM2
RNU6-1154P,U6
RNU6-1264P,U6
MIR216B,MIR216B
RNU2-4P,U2
PPP1R3B,PPP1R3B
RNU6-1174P,U6
PEX2,PEX2
TEKT1,TEKT1
RNU6-1172P,U6
H2BC11,H2BC11
RNU2-8P,U2
5S_rRNA,5S_rRNA
RNU2-5P,U2
RN7SL820P,Metazoa_SRP
RNU6-881P,U6
IFIT5,IFIT5
RNU2-72P,U2
RN7SL351P,Metazoa_SRP
MIR1179,MIR1179
RNU2-7P,U2
RNU6-1297P,U6
SPDEF,SPDEF
RNU6-330P,U6
RNU2-71P,U2
5S_rRNA,5S_rRNA
RN7SL402P,Metazoa_SRP
RNU2-14P,U2
RN7SL97P,Metazoa_SRP
RNU2-56P,U2
5S_rRNA,5S_rRNA
U6,U6
RNU6-106P,U6
ptr-mir-548b,MIR548B
RNU6-1103P,U6
RNU7-2P,U7
Metazoa_SRP,Metazoa_SRP
RNU2-23P,U2
RNU2-20P,U2
TRAV20,TRAV20
RNU6-730P,U6
ptr-mir-519d,MIR519D
RNU7-12P,U7
5S_rRNA,5S_rRNA
RNU2-52P,U2
RNU6-550P,U6
RNU1-39P,U1
RN7SL435P,Metazoa_SRP
MS4A14,MS4A14
RNU7-6P,U7
ARMC2,ARMC2
5S_rRNA,5S_rRNA
RNU2-40P,U2
RNU6-86P,U6
MIR548AG2,MIR548AG2
RNU7-95P,U7
BLCAP,BLCAP
5S_rRNA,5S_rRNA
RNU2-49P,U2
RNU6-1309P,U6
RNU2-21P,U2
MIR7159,MIR7159
MIR23A,ggo-mir-23a
RN7SL799P,Metazoa_SRP
Y_RNA,Y_RNA
SAXO1,SAXO1
U2,U2
RNU2-25P,U2
TNFSF14,TNFSF14
RNU6-778P,U6
MIR494,MIR494
RNU2-70P,U2
U2,U2
5S_rRNA,5S_rRNA
RPP25L,RPP25L
PHLDB3,PHLDB3
RNU2-68P,U2
MIR320E,MIR320E
RN7SL147P,Metazoa_SRP
MIR6832,MIR6832
RNU2-47P,U2
LPAR2,LPAR2
RN7SL380P,Metazoa_SRP
5S_rRNA,5S_rRNA
PPARD,PPARD
MIR195,ggo-mir-195
RNU2-17P,U2
5S_rRNA,5S_rRNA
SNORD123,SNORD123
RN7SL36P,Metazoa_SRP
RNU2-48P,U2
RNU7-90P,U7
5S_rRNA,5S_rRNA
RNU2-43P,U2
HTATSF1,HTATSF1
TRAV38-1,TRAV38-1
MIR1260B,MIR1260B
RN7SL222P,Metazoa_SRP
RNU2-32P,U2
SNORD49B,SNORD49B
ptr-mir-527,MIR1283-2
RNY1P4,Y_RNA
U7,U7
RN7SL502P,Metazoa_SRP
5S_rRNA,5S_rRNA
RNU2-3P,U2
SLC10A3,SLC10A3
CDC42EP3,CDC42EP3
PITPNM1,PITPNM1
Y_RNA,Y_RNA
5S_rRNA,5S_rRNA
RN7SL87P,Metazoa_SRP
SNORD1B,SNORD1B
RNU2-61P,U2
SNORD111,SNORD111
Y_RNA,Y_RNA
5S_rRNA,5S_rRNA
RN7SL242P,Metazoa_SRP
5S_rRNA,5S_rRNA
SNORD111B,SNORD111B
RNU2-6P,U2
MIR524,MIR524
DOCK9,DOCK9
RN7SL369P,Metazoa_SRP
RNU7-48P,U7
Y_RNA,Y_RNA
ILF3,ILF3
GARIN4,GARIN4
C8B,C8B
Y_RNA,Y_RNA
RN7SL321P,Metazoa_SRP
MIR154,ggo-mir-154
U7,U7
5S_rRNA,5S_rRNA
OR1L1,OR1L1
KIF11,KIF11
SNORA29,SNORA29
SERTM1,SERTM1
Y_RNA,Y_RNA
5S_rRNA,5S_rRNA
RN7SL660P,Metazoa_SRP
SNORD48,SNORD48
RN7SL372P,Metazoa_SRP
MIRLET7C,MIRLET7C
Y_RNA,Y_RNA
SNORD104,SNORD104
U7,U7
MIR372,MIR372
UCN3,UCN3
5S_rRNA,5S_rRNA
Y_RNA,Y_RNA
H2BC9,H2BC9
MIR6806,MIR6806
MIR1197,MIR1197
Y_RNA,Y_RNA
RNU6-1289P,U6
U7,U7
MIR548O2,MIR548O2
Y_RNA,Y_RNA
PCBP1,PCBP1
Y_RNA,Y_RNA
Y_RNA,Y_RNA
RNU7-154P,U7
RNU6-61P,U6
5S_rRNA,5S_rRNA
AKR1D1,AKR1D1
RNU6-277P,U6
U7,U7
Y_RNA,Y_RNA
Y_RNA,Y_RNA
5S_rRNA,5S_rRNA
RNU7-82P,U7
MIR4766,MIR4766
RNU6-742P,U6
Y_RNA,Y_RNA
GPR183,GPR183
RNY3P14,Y_RNA
SSTR3,SSTR3
SLC27A6,SLC27A6
RNU6-613P,U6
Y_RNA,Y_RNA
SNORD97,SNORD97
ZNF428,ZNF428
SLC25A31,SLC25A31
U7,U7
