human gene name,pig gene name,correlation
PPIL1,PPIL1,1.0000018
UBE2R2,UBE2R2,1.0000018
H2AC12,H2AC12,1.0000015
S100A10,S100A10,1.0000015
TWIST2,TWIST2,1.0000015
RPS12,RPS12,1.0000012
CABP7,CABP7,1.000001
CAMK2N2,CAMK2N2,1.000001
HPCA,HPCA,1.000001
TIMM10,TIMM10,1.000001
PCBD1,PCBD1,1.0000007
TMSB4X,TMSB4X,1.0000007
FAM168B,FAM168B,1.0000005
RHOB,RHOB,1.0000005
RTCB,RTCB,1.0000005
H2AC6,H2AC6,1.0000004
CTXN1,CTXN1,1.0000002
DLX3,DLX3,1.0000002
H3C13,H3C14,1.0000002
H2AC21,H2AC21,1.0000001
NRAS,NRAS,1.0000001
RNF11,RNF11,1.0000001
LINC00672,LASP1NB,1.0
DNAJA1,DNAJA1,0.99999994
GET3,GET3,0.99999994
H2BC5,H2BC5,0.99999994
RPS28,RPS28,0.9999998
ZNF664,ZNF664,0.9999998
OTP,OTP,0.99999976
SEC61G,SEC61G,0.99999976
SOX21,SOX21,0.99999976
ZNHIT1,ZNHIT1,0.99999976
OST4,OST4,0.9999996
EIF1B,EIF1B,0.9999995
PHF5A,PHF5A,0.9999995
YWHAG,YWHAG,0.9999995
MYL12B,MYL12B,0.99999946
H2AW,H2AC25,0.9999994
RPS4X,RPS4X,0.9999994
TMEM47,TMEM47,0.9999993
UBE2QL1,UBE2QL1,0.9999993
ANAPC13,ANAPC13,0.9999992
H3C1,H3C4,0.9999992
CAMK2N1,CAMK2N1,0.9999991
H2AC20,H2AC20,0.9999991
TMA7,TMA7,0.99999905
TMEM170B,TMEM170B,0.9999989
MOB1A,MOB1A,0.99999875
RAP2B,RAP2B,0.99999875
SF3B6,SF3B6,0.99999875
RPRM,RPRM,0.9999987
ID4,ID4,0.9999986
DPY30,DPY30,0.9999984
NEUROD6,NEUROD6,0.9999979
SF3B5,SF3B5,0.9999979
MB21D2,MB21D2,0.99997586
B3GALT1,B3GALT1,0.9999628
VANGL2,VANGL2,0.99995756
CASTOR2,CASTOR2,0.99994797
MIB1,MIB1,0.9999453
FOXB1,FOXB1,0.9999376
KLHL9,KLHL9,0.99993163
SP9,SP9,0.999922
TFAP2D,TFAP2D,0.9999164
MFAP1,MFAP1,0.99991053
POU4F3,POU4F3,0.99991035
MAB21L2,MAB21L2,0.99990827
ANKRD52,ANKRD52,0.99990535
KCTD4,KCTD4,0.99990463
HOXC9,HOXC9,0.9998988
BTG1,BTG1,0.99989665
ONECUT2,ONECUT2,0.9998949
KHDRBS1,KHDRBS1,0.99988914
TNKS2,TNKS2,0.9998871
HOXC4,HOXC4,0.9998685
ZRANB1,ZRANB1,0.9998674
NEUROD1,NEUROD1,0.9998627
CACNG3,CACNG3,0.9998574
ZMIZ1,ZMIZ1,0.99985677
TMEFF1,TMEFF1,0.99984866
CACNG2,CACNG2,0.9998414
GLRA3,GLRA3,0.99984056
HOXB5,HOXB5,0.9998348
KLHL11,KLHL11,0.99982727
HOXB9,HOXB9,0.99982065
HNRNPH2,HNRNPH2,0.9998204
KCNJ2,KCNJ2,0.9998178
RPL10A,RPL10A,0.99981195
KCNS2,KCNS2,0.9998104
ARHGAP35,ARHGAP35,0.99981034
SPIN1,SPIN1,0.9997946
KCNJ6,KCNJ6,0.9997939
PBX2,PBX2,0.9997923
HAS2,SHAS2,0.9997901
H2BC12,H2BC11,0.9997896
SLITRK1,SLITRK1,0.999789
ARRDC3,ARRDC3,0.999784
HOXC8,HOXC8,0.99977744
POU3F3,POU3F3,0.9997741
ZBTB12,ZBTB12,0.99977106
ABHD13,ABHD13,0.99975866
PIM1,PIM1,0.999741
SOX2,SOX2,0.9997398
NFYB,NFYB,0.99973065
H2AX,H2AX,0.9997303
TADA1,TADA1,0.9997233
RIMS4,RIMS4,0.9997224
TRPC4AP,TRPC4AP,0.9997216
OLIG3,OLIG3,0.9997147
CXXC4,CXXC4,0.9997143
POU4F1,POU4F1,0.9997141
EFNA5,EFNA5,0.999712
WNT7A,WNT7A,0.9997101
SUZ12,SUZ12,0.9997098
MEOX2,MEOX2,0.99970394
UGCG,UGCG,0.99970055
BARHL1,BARHL1,0.9996993
POLE3,POLE3,0.9996946
USP27X,USP27X,0.999686
TAFA1,TAFA1,0.9996802
MAFB,MAFB,0.9996765
GMEB1,GMEB1,0.999675
KCNK12,KCNK12,0.99967295
LRATD1,LRATD1,0.9996716
FUT9,FUT9,0.9996672
TRPC5,TRPC5,0.999665
LINGO2,LINGO2,0.9996649
FOXG1,FOXG1,0.9996607
CHMP5,CHMP5,0.9996573
TIMP3,TIMP3,0.9996548
EIF3A,EIF3A,0.99965286
TRIM71,TRIM71,0.9996479
FZD4,FZD4,0.9996468
LIX1L,LIX1L,0.99964404
ASF1A,ASF1A,0.99964255
POU3F2,POU3F2,0.9996418
PHOX2B,PHOX2B,0.9996376
ITPR3,ITPR3,0.9996361
HOXC5,HOXC5,0.99963427
ZIC2,ZIC2,0.99963427
SLC32A1,SLC32A1,0.99962
HES1,HES1,0.99961746
RAB33A,RAB33A,0.99961394
MEX3A,MEX3A,0.9996124
MTCP1,MTCP1,0.9996121
ZBTB26,ZBTB26,0.99960136
POU3F1,POU3F1,0.9995973
RAB39B,RAB39B,0.9995971
WNT1,WNT1,0.9995968
CBLN4,CBLN4,0.9995947
ZDHHC21,ZDHHC21,0.9995861
SNRNP200,SNRNP200,0.99958557
FGF18,FGF18,0.99958175
GRIK1,GRIK1,0.99958163
MED18,MED18,0.9995813
COL2A1,COL2A1,0.9995801
RGP1,RGP1,0.9995799
ATXN7L3B,ATXN7L3B,0.9995777
TMEM178B,TMEM178B,0.9995684
KCND3,KCND3,0.9995664
LHX5,LHX5,0.9995558
PABIR1,PABIR1,0.99955076
ZNF503,ZNF503,0.9995477
KSR2,KSR2,0.99954724
NEUROD2,NEUROD2,0.9995436
H2BU1,H2BC26,0.9995429
