human gene name,mice gene name,correlation,identical_scores,orthology confidence,combo_score
UBE2R2,Ube2r2,1.0000018,100.0,1.0,1.9999982647841026
TWIST2,Twist2,1.0000017,100.0,1.0,1.999998107037203
TIMM10,Timm10,1.000001,100.0,1.0,1.9999970028089042
CABP7,Cabp7,1.000001,100.0,1.0,1.9999970028089042
MAB21L1,Mab21l1,1.0000007,100.0,1.0,1.9999965295682052
GNG11,Gng11,1.0000005,100.0,1.0,1.9999962140744056
RHOB,Rhob,1.0000005,100.0,1.0,1.9999962140744056
RPS26,Rps26,1.0000004,100.0,1.0,1.999996056327506
TUBB4B,Tubb4b,1.0000002,100.0,1.0,1.9999957408337061
H3C14,H3c13,1.0000002,100.0,1.0,1.9999957408337061
ISL1,Isl1,1.0000001,100.0,1.0,1.9999955830868066
RRAGA,Rraga,1.0,100.0,1.0,1.9999954253399068
TUBB2A,Tubb2a,1.0,100.0,1.0,1.9999954253399068
ENHO,Enho,0.9999999,100.0,1.0,1.999995267593007
ZNF664,Zfp664,0.9999998,100.0,1.0,1.999995109846107
OTP,Otp,0.99999976,100.0,1.0,1.9999950467473473
RAB10,Rab10,0.99999964,100.0,1.0,1.9999948574510675
RPL39,Rpl39,0.99999964,100.0,1.0,1.9999948574510675
OST4,Ost4,0.9999996,100.0,1.0,1.9999947943523078
PHF5A,Phf5a,0.9999995,100.0,1.0,1.999994636605408
YWHAG,Ywhag,0.9999995,100.0,1.0,1.999994636605408
EMC6,Emc6,0.9999995,100.0,1.0,1.999994636605408
NRARP,Nrarp,0.9999995,100.0,1.0,1.999994636605408
MYL12B,Myl12b,0.99999946,100.0,1.0,1.999994573506648
SMU1,Smu1,0.9999994,100.0,1.0,1.999994478858508
H2AC19,H2ac19,0.9999994,100.0,1.0,1.999994478858508
GNG3,Gng3,0.9999994,100.0,1.0,1.999994478858508
H2AC18,H2ac18,0.9999994,100.0,1.0,1.999994478858508
POLR2L,Polr2l,0.9999994,100.0,1.0,1.999994478858508
H2AC20,H2ac20,0.9999991,100.0,1.0,1.999994005617809
LSM3,Lsm3,0.99999887,100.0,1.0,1.9999936427999394
LSM6,Lsm6,0.9999988,100.0,1.0,1.9999935323771094
RAP2B,Rap2b,0.99999875,100.0,1.0,1.9999934535036599
TUBB2B,Tubb2b,0.99999845,100.0,1.0,1.9999929802629604
PCBP1,Pcbp1,0.9999984,100.0,1.0,1.9999929013895104
ARF1,Arf1,0.99999815,100.0,1.0,1.9999925070222608
FAM78B,Fam78b,0.9998394,100.0,1.0,1.9997420838188784
SMC3,Smc3,0.999987,99.9178,1.0,1.9991529182429368
RAC1,Rac1,0.99938136,100.0,1.0,1.999019539919178
POLR2A,Polr2a,0.99999803,99.8985,1.0,1.9989773177259815
SNX12,Snx12,0.99901044,100.0,1.0,1.9984344251185564
AGO1,Ago1,0.9987681,100.0,1.0,1.998052141281657
MFSD14A,Mfsd14a,0.99992776,99.7959,1.0,1.997840468979514
STAT3,Stat3,0.9994463,99.8701,1.0,1.9978229807558878
POU3F2,Pou3f2,0.99993384,99.7753,1.0,1.99764405999102
YPEL2,Ypel2,0.99849796,100.0,1.0,1.997626003806622
GNB2,Gnb2,0.9984898,100.0,1.0,1.9976131316596009
RPS7,Rps7,0.9984274,100.0,1.0,1.9975146975941453
PELI1,Peli1,0.9997453,99.7608,1.0,1.997201643986196
MAB21L2,Mab21l2,0.99990827,99.7215,1.0,1.997065724108749
H2BC18,H2bc18,0.99811924,100.0,1.0,1.997028584747818
ZMYND19,Zmynd19,0.9980605,100.0,1.0,1.9969359242188944
FOXB1,Foxb1,0.9999293,99.6923,1.0,1.9968068982817706
MAP1LC3A,Map1lc3a,0.9979301,100.0,1.0,1.9967302222615961
PSMC4,Psmc4,0.99934554,99.7608,1.0,1.9965710349796812
EIF1B,Eif1b,0.9977507,100.0,1.0,1.9964472243234108
CDK5,Cdk5,0.9998474,99.6575,1.0,1.9963297035708598
TLX3,Tlx3,0.99978924,99.6564,1.0,1.9962269579739544
RAB1A,Rab1a,0.9976084,100.0,1.0,1.99622275048504
SOX21,Sox21,0.9998302,99.6377,1.0,1.9961045711040994
SNRNP200,Snrnp200,0.9995543,99.6723,1.0,1.996015347407638
SNRPN,Snrpn,0.99733573,100.0,1.0,1.995792622013441
SP9,Sp9,0.9999153,99.5868,1.0,1.9957298137158026
PRRX1,Prrx1,0.9998238,99.5918,1.0,1.9956354753025145
PGAM1,Pgam1,0.99971664,99.6063,1.0,1.9956114337247224
HOXC8,Hoxc8,0.99977744,99.5868,1.0,1.9955123438397817
EIF5A,Eif5a,0.99705356,100.0,1.0,1.9953475075863638
CHMP4B,Chmp4b,0.99980724,99.5536,1.0,1.9952273524159128
TFAP2D,Tfap2d,0.9997575,99.5575,1.0,1.9951878891079677
MFAP1,Mfap1b,0.9997596,99.5444,1.0,1.995060201792863
RAB39B,Rab39b,0.9998167,99.5305,1.0,1.9950112752726308
HOXC5,Hoxc5,0.99963427,99.5496,1.0,1.994914497603383
FEM1C,Fem1c,0.99983865,99.5138,1.0,1.9948789007171304
U2AF1,U2af1,0.998053,99.79165,1.0,1.9948405932014115
FGF16,Fgf16,0.9997613,99.5169,1.0,1.994787883490159
LMO4,Lmo4,0.99668765,100.0,1.0,1.9947702959054205
RPL31,Rpl31,0.9966328,100.0,1.0,1.9946837717308976
STMN2,Stmn2,0.9966143,100.0,1.0,1.99465458855444
EBF1,Ebf1,0.996993,99.91555,1.0,1.9944074760638641
EIF1AX,Eif1ax,0.99643695,100.0,1.0,1.9943748244277004
GID8,Gid8,0.99920756,99.5614,1.0,1.99435937580738
SOX1,Sox1,0.9996297,99.4885,1.0,1.9942962885700632
RPS28,Rps28,0.9962393,100.0,1.0,1.9940630376803081
WNT7A,Wnt7a,0.99980253,99.4269,1.0,1.9939529225369337
FUT9,Fut9,0.99967474,99.4429,1.0,1.993911337773719
CACNG7,Cacng7,0.9960672,100.0,1.0,1.993791555265806
ZC4H2,Zc4h2,0.99601126,100.0,1.0,1.9937033116500755
RTCB,Rtcb,0.9997298,99.4059,1.0,1.993628193216732
KCND3,Kcnd3,0.9998218,99.3893,1.0,1.9936073203645188
DR1,Dr1,0.999537,99.4318,1.0,1.9935830571939779
