Gene name	Pig gene name	Pig homology type	%id. target Pig gene identical to query gene	%id. query gene identical to target Pig gene	Pig Gene-order conservation score	Pig Whole-genome alignment coverage	Pig orthology confidence [0 low, 1 high]
MT-TF							
MT-RNR1							
MT-TV							
MT-RNR2							
MT-TL1							
MT-ND1	ND1	ortholog_one2one	76.1006	76.1006	50	100.00	1
MT-TI							
MT-TQ							
MT-TM							
MT-ND2	ND2	ortholog_one2one	61.9597	61.9597	75	100.00	1
MT-TW							
MT-TA							
MT-TN							
MT-TC							
MT-TY							
MT-CO1	COX1	ortholog_one2one	92.0078	91.8288	100	100.00	1
MT-TS1							
MT-TD							
MT-CO2	COX2	ortholog_one2one	72.2467	71.6157	100	100.00	1
MT-TK							
MT-ATP8	ATP8	ortholog_one2one	44.1176	44.7761	100	100.00	0
MT-ATP6		ortholog_one2many	30.531	79.3103	0	0.00	0
MT-ATP6	ATP6	ortholog_one2many	78.7611	78.7611	100	100.00	1
MT-ATP6		ortholog_one2many	30.0885	78.1609	0	0.00	0
MT-ATP6		ortholog_one2many	30.531	79.3103	0	0.00	0
MT-CO3	COX3	ortholog_one2one	86.9732	86.9732	100	100.00	1
MT-TG							
MT-ND3	ND3	ortholog_one2one	71.3043	71.3043	100	100.00	1
MT-TR							
MT-ND4L	ND4L	ortholog_one2many	76.5306	76.5306	100	100.00	1
MT-ND4L		ortholog_one2many	70.4082	70.4082	0	0.00	0
MT-ND4L		ortholog_one2many	67.3469	67.3469	0	0.00	0
MT-ND4	ND4	ortholog_one2one	73.2026	73.2026	100	100.00	1
MT-TH							
MT-TS2							
MT-TL2							
MT-ND5	ND5	ortholog_one2one	69.8176	69.4719	100	100.00	1
MT-ND6	ND6	ortholog_one2one	58.046	57.7143	75	100.00	1
MT-TE							
MT-CYB	CYTB	ortholog_one2one	78.1579	78.3641	50	100.00	1
MT-TT							
MT-TP							
							
							
5S_rRNA							
		ortholog_one2many	9.22619	17.5141	0	10.25	0
							
							
							
							
							
							
							
							
							
							
							
5_8S_rRNA	5_8S_rRNA	ortholog_one2many	90.7895	90.1961		100.00	1
RNA5-8SN5	5_8S_rRNA	ortholog_one2many	100	100		100.00	1
							
							
5_8S_rRNA	5_8S_rRNA	ortholog_one2one	100	100		0.00	0
							
		ortholog_one2many	85	85	25	100.00	1
							
							
							
							
							
							
							
							
U6							
							
							
							
							
		ortholog_one2many	79.0909	88.7755	25	100.00	1
		ortholog_one2many	24.2424	26.8041	0	0.00	0
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
Y_RNA							
							
							
							
							
							
							
							
							
							
U6							
							
							
							
							
							
							
U1							
							
							
							
U2	U2	ortholog_one2many	50.4425	54.2857		0.00	0
							
							
							
							
							
							
							
U1							
							
							
U1							
							
							
							
							
							
							
							
							
							
							
							
							
		ortholog_one2many	23.5431	26.0309	0	0.00	0
							
							
U2	U2	ortholog_one2many	50.4425	54.2857		0.00	0
							
							
							
							
							
		ortholog_one2many	64.7059	38.8235	0	99.44	0
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
MAFIP		ortholog_one2many	68.2171	19.6868	0	93.27	0
							
							
							
RNA5-8SN4							
5_8S_rRNA	5_8S_rRNA	ortholog_one2many	100	100		100.00	1
							
							
							
							
							
							
							
							
							
							
Y_RNA							
							
							
							
							
							
							
		ortholog_many2many	77.551	35.8491	0	0.00	0
		ortholog_many2many	77.551	77.551	0	0.00	0
		ortholog_many2many	75.5102	39.3617	0	0.00	0
		ortholog_many2many	76.5306	66.3717	0	0.00	0
		ortholog_many2many	75.5102	61.157	0	0.00	0
		ortholog_many2many	76.5306	44.3787	0	0.00	0
		ortholog_many2many	56.1224	27.5	0	0.00	0
		ortholog_many2many	76.5306	44.3787	0	0.00	0
		ortholog_many2many	76.5306	39.8936	0	0.00	0
		ortholog_many2many	74.4898	38.4211	0	0.00	0
		ortholog_many2many	74.4898	58.4	0	0.00	0
		ortholog_many2many	72.449	51.8248	0	0.00	0
		ortholog_many2many	74.4898	38.6243	0	0.00	0
		ortholog_many2many	73.4694	45	0	0.00	0
		ortholog_many2many	74.4898	41.2429	0	0.00	0
		ortholog_many2many	68.3673	42.6752	0	0.00	0
		ortholog_many2many	76.5306	43.6047	0	0.00	0
		ortholog_many2many	75.5102	39.3617	0	0.00	0
		ortholog_many2many	75.5102	66.0714	0	0.00	0
		ortholog_many2many	73.4694	45	0	98.26	0
		ortholog_many2many	31.6327	46.2687	0	0.00	0
		ortholog_many2many	70.4082	39.6552	0	0.00	0
		ortholog_many2many	74.4898	53.6765	0	0.00	0
							
							
							
							
							
							
							
							
							
							
	SLC6A8	ortholog_one2many	93.8583	93.8583	0	100.00	1
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
