A	B	source
CFAP144	CFAP144P1	only_in_union
RPL26	RPL21	only_in_union
TMX1	TMX1	only_in_union
OR51A4	OR51A7	only_in_union
NOP2	NOP2	only_in_union
TRIM72	TRIM72	only_in_union
TNNC2	WFDC3	only_in_union
RPL19	RPS6	only_in_union
FXYD6	FXYD6	only_in_union
COX6C	UQCR11	only_in_union
ALLC	COLEC11	only_in_union
GNG5	GNG10	only_in_union
RPL35A	RPL35A	only_in_union
PTBP1	PTBP1	only_in_union
CLDN25	CLDN34	only_in_union
LAPTM4B	LAPTM4B	only_in_union
GMPR2	GMPR2	only_in_union
NCOA4	NCOA4	only_in_union
POLR1D	POLR1D	only_in_union
GGN	GGN	only_in_union
SCD	FADS6	only_in_union
RPP14	ACOT13	only_in_union
DMAC1	DMAC1	only_in_union
TRBV29-1	TRBV30	only_in_union
ARPC5L	ARPC5	only_in_union
TULP3	TEAD4	only_in_union
DNAH3	DNAH12	only_in_union
ACOT13	CCND1	only_in_union
OR1S1	OR1L3	only_in_union
SRP72	SS18L2	only_in_union
H2BC15	H2BC3	only_in_union
NME1	NME1	only_in_union
OMP	MTFP1	only_in_union
RAC1	RAC1	only_in_union
CALM3	CALM2	only_in_union
SEMG2	MARCOL	only_in_union
PNMA8A	PNMA8B	only_in_union
NOP16	NOP16	only_in_union
STMP1	STMP1	only_in_union
PDGFRA	FIP1L1	only_in_union
ALDH3B1	ALDH3B1	only_in_union
KLF7	KLF7	only_in_union
LGALSL	ABHD17C	only_in_union
SCARF2	KLHL22	only_in_union
PLAAT3	PLAAT3	only_in_union
ATG9A	ATG9A	only_in_union
NDUFV2	NDUFV2	only_in_union
APOBEC3A	APOBEC3A	only_in_union
RPS29	RPS29	only_in_union
BTNL8	BTNL9	only_in_union
RNF11	RNF11	only_in_union
CCL25	CCL25	only_in_union
PCDHB2	PCDHB11	only_in_union
H2AC8	H2AC25	only_in_union
FUNDC2	FUNDC2	only_in_union
CYP2C18	CYP2C18	only_in_union
PRMT1	PRMT1	only_in_union
KRBOX4	KRBOX1	only_in_union
BRI3	BRI3	only_in_union
SUSD6	SUSD6	only_in_union
SRPK2	SRPK2	only_in_union
IGHV3-15	IGHV6-1	only_in_union
NONO	NONO	only_in_union
AKAIN1	AKAIN1	only_in_union
NLRP12	RNH1	only_in_union
KRTAP15-1	KRTAP20-1	only_in_union
C10H20orf141	C6orf47	only_in_union
ZNF415	ZNF347	only_in_union
SPICE1	CFAP44	only_in_union
ZNF772	ZNF772	only_in_union
PCDHAC2	PCDHA9	only_in_union
KLRB1	KLRC2	only_in_union
SEC11A	SEC11A	only_in_union
OR2M4	OR2T11	only_in_union
RPS27A	HSPA8	only_in_union
MTCL3	MTCL3	only_in_union
RPS9	RPS9	only_in_union
ZNF749	ZNF547	only_in_union
TRGV10	TRAV24	only_in_union
EXOSC1	EXOSC1	only_in_union
PPCS	PPCS	only_in_union
RETNLB	RETN	only_in_union
CFB	C2	only_in_union
GBP7	GBP4	only_in_union
TK2	CMTM4	only_in_union
OR12D2	OR10J1	only_in_union
GNG12	IGIP	only_in_union
RPL31	SRP19	only_in_union
NXPE1	NXPE1	only_in_union
ADAP2	ADAP1	only_in_union
DNAJB6	DNAJB8	only_in_union
TMEM217	TMEM217B	only_in_union
UBE2Q2	UBE2Q2	only_in_union
ANKRD18B	RNF8	only_in_union
CEP19	CEP19	only_in_union
RAB5A	RAB5A	only_in_union
PRR36	MAGEL2	only_in_union
HSPA1L	HSPA6	only_in_union
TNNT1	TNNI3	only_in_union
LYRM2	LYRM9	only_in_union
NXPE3	NXPE3	only_in_union
ZSCAN5A	ZSCAN5B	only_in_union
MAGOHB	MAGOH	only_in_union
DLST	DLST	only_in_union
NDUFS6	CISD3	only_in_union
KLK10	KLK10	only_in_union
TICAM2	TICAM2	only_in_union
OR1F1	OR1N1	only_in_union
ZNF273	ZNF273	only_in_union
TRIOBP	PWWP4	only_in_union
OR6C2	OR6C3	only_in_union
OR5D3P	OR5D18	only_in_union
ATP5ME	PET117	only_in_union
CELA2B	CTRL	only_in_union
FGA	FGA	only_in_union
TMA7	TMA7	only_in_union
CAPS	VMAC	only_in_union
TTN	TTN	only_in_union
OR10K2	OR10K1	only_in_union
GLT6D1	GGTA1	only_in_union
SLC66A1L	IQCJ	only_in_union
UBE2E2	UBE2E1	only_in_union
IGKV6D-41	IGKV5-2	only_in_union
TMEM184A	TMEM184B	only_in_union
NUDT17	NUDT17	only_in_union
TICAM1	MYO15B	only_in_union
ZNRF2	ZNRF2	only_in_union
MEGF8	PLXNB3	only_in_union
RNASEH2B	RNASEH2B	only_in_union
PIP5K1A	PIP5K1A	only_in_union
TIGD2	TIGD4	only_in_union
OR2B3	OR2B6	only_in_union
SLC25A32	SLC25A16	only_in_union
NPAP1	POM121L2	only_in_union
ARB2A	ARB2A	only_in_union
B3GNTL1	B3GNTL1	only_in_union
OR1K1	OR1N2	only_in_union
SMIM19	SMIM19	only_in_union
OR52B2	OR52H1	only_in_union
ADAM30	ADAM32	only_in_union
YBX1	YBX1	only_in_union
TRAC	TRAC	only_in_union
TAC3	TAC4	only_in_union
ADGRE2	ADGRE3	only_in_union
TNFRSF6B	TNFRSF4	only_in_union
TDRD12	NUDT19	only_in_union
IGKV1-9	IGKV4-1	only_in_union
ATP6AP1L	CALML4	only_in_union
OR1E1	OR1J2	only_in_union
CLDN6	CLDN9	only_in_union
TPRG1L	TPRG1	only_in_union
POLD3	POLD3	only_in_union
KRTAP10-10	KRTAP10-10	only_in_union
ANAPC11	ANAPC11	only_in_union
FBP2	FBP2	only_in_union
DMKN	DMKN	only_in_union
TRAV38-1	TRAV38-2DV8	only_in_union
TIMM8B	TIMM13	only_in_union
TTLL3	ARPC4	only_in_union
ZNF853	ZNF628	only_in_union
ZNF208	ZNF415	only_in_union
GNG11	GNGT2	only_in_union
TXNDC12	TXNDC12	only_in_union
YY2	MBTPS2	only_in_union
ZNF345	ZNF780B	only_in_union
ZNF92	ZNF681	only_in_union
DCAF8L1	DCAF8L1	only_in_union
STMN1	STMN1	only_in_union
SLITRK4	SLITRK1	only_in_union
CRISP3	CRISP2	only_in_union
COX2	OR4C13	only_in_union
NRBF2	NRBF2	only_in_union
KRTAP4-2	SCYGR6	only_in_union
USF2	PHLDA1	only_in_union
TUBG1	TUBG2	only_in_union
TMED3	TMED7	only_in_union
GNG2	SMIM10L1	only_in_union
DCAF12L2	DDB2	only_in_union
SVIP	SELENOS	only_in_union
MRGPRX3	MRGPRX2	only_in_union
HBE1	HBG2_1	only_in_union
CITED2	CITED1	only_in_union
ATP5MC2	ATP5MC2	only_in_union
CCL26	CCL24	only_in_union
KRT85	KRT83	only_in_union
DEFA1B	DEFA4	only_in_union
C12H2orf80	CDRT4	only_in_union
LILRA3	LILRA4	only_in_union
H1-2	H1-2	only_in_union
ORMDL1	ORMDL3	only_in_union
UFC1	UBE2V1	only_in_union
OR11L1	OR11G2	only_in_union
VENTX	SEBOX	only_in_union
MAMU-DMB	HLA-DMA	only_in_union
CSNKA2IP	SPEM3	only_in_union
CCND1	CCND2	only_in_union
RETSAT	RETSAT	only_in_union
KIFBP	KIFBP	only_in_union
DAXX	DAXX	only_in_union
TFDP1	TFDP1	only_in_union
NDUFA9	NDUFA9	only_in_union
PPP1R7	PPP1R7	only_in_union
OOSP4B	OOSP2	only_in_union
B9D1	B9D1	only_in_union
TRBV6-1	TRBV10-2	only_in_union
SLURP2	LYNX1	only_in_union
MAGEB10	MAGEB10	only_in_union
GNG3	GNG2	only_in_union
PCNP	NUPR1	only_in_union
DAPK3	DAPK3	only_in_union
CT83	SMIM3	only_in_union
NAA20	NAA20	only_in_union
GBP3	GBP5	only_in_union
HMGA2	HMGA2	only_in_union
SIGLEC9	SIGLEC5	only_in_union
PRC1	VPS33B	only_in_union
PPP1R14A	CUEDC2	only_in_union
MAMU-DRB1	HLA-DPB1	only_in_union
OR8G5	OR5T2	only_in_union
TOP6BL	TOP6BL	only_in_union
TBC1D31	TBC1D31	only_in_union
SIGLEC6	SIGLEC14	only_in_union
NRDE2	NRDE2	only_in_union
TRGV9	TRDV2	only_in_union
PYCR2	PYCR3	only_in_union
TPM1	TPM1	only_in_union
MAGEB6B	MAGEB4	only_in_union
AKR7A3	AKR7L	only_in_union
ENO1	ENO1	only_in_union
BPNT2	IMPAD1	only_in_union
DEFB119	DEFB119	only_in_union
C1H1orf35	C1orf35	only_in_union
C15orf48	UQCC3	only_in_union
FAM133B	FAM133B	only_in_union
MRPL20	MRPL20	only_in_union
CCDC13	HHATL	only_in_union
OR11A1	OR6T1	only_in_union
PPIL3	PPIL3	only_in_union
ATP1A2	ATP1A2	only_in_union
ENTPD1	CC2D2B	only_in_union
POLN	HAUS3	only_in_union
GLIPR1L1	GLIPR1	only_in_union
ECSCR	ECSCR	only_in_union
ND4L	ATP6V0C	only_in_union
RPS27L	RPL36A	only_in_union
YPEL	YPEL1	only_in_union
OR10G8	OR10S1	only_in_union
PKD2L2	MYOT	only_in_union
NUDT16	NUDT16	only_in_union
CKS2	CKS2	only_in_union
PRRG4	PRRG1	only_in_union
ZDHHC7	ZDHHC7	only_in_union
WIPF2	CDC6	only_in_union
CEACAM7	CEACAM7	only_in_union
IGLV3-9	IGLV3-1	only_in_union
SNCA	SNCG	only_in_union
TEX22	TCAP	only_in_union
TMEM240	TMEM240	only_in_union
MRPL33	MRPL33	only_in_union
SRP14	SRP14	only_in_union
MYZAP	POLR2M	only_in_union
KRT71	KRT72	only_in_union
OR5M3	OR5M8	only_in_union
CCL11	CCL2	only_in_union
PIM2	PIM1	only_in_union
CPNE1	CPNE1	only_in_union
FBXO40	POLQ	only_in_union
NIPSNAP3B	NIPSNAP3A	only_in_union
CSNK1A1	CSNK1A1	only_in_union
PXMP2	MPV17L	only_in_union
GPER1	GPER1	only_in_union
BST1	FAM200B	only_in_union
BHLHE23	TAL1	only_in_union
OR5AP2	OR5T3	only_in_union
AOC2	AOC3	only_in_union
OR10D3	OR10G3	only_in_union
ZCCHC17	ZCCHC17	only_in_union
C4BPA	C4BPA	only_in_union
ANP32B	ANP32B	only_in_union
PTCRA	PVRIG	only_in_union
TRIM75	TRIM61	only_in_union
RPS26	RPS26	only_in_union
COX5A	NDUFAB1	only_in_union
PABPC4L	PABPC5	only_in_union
RPL24	RPL24	only_in_union
MCOLN3	PKD2L2	only_in_union
SMCP	LELP1	only_in_union
MAGEA8	MAGEB16	only_in_union
OR4A47	OR4C12	only_in_union
PRDX1	PRDX1	only_in_union
RPLP2	RPLP0	only_in_union
ZNF679	ZNF479	only_in_union
PLSCR2	PLSCR1	only_in_union
CELF5	CELF5	only_in_union
TRBV11-1	TRBV11-1	only_in_union
RPS12	RPS12	only_in_union
TAF15	TAF15	only_in_union
KBTBD7	KBTBD6	only_in_union
SCGB1C1	SCGB2A2	only_in_union
JADE3	JADE3	only_in_union
PRELID2	GRXCR2	only_in_union
VCF2	VCF2	only_in_union
MCRIP2	MCRIP2	only_in_union
PTPN11	PTPN11	only_in_union
PINX1	SOX7	only_in_union
LAMTOR1	ANAPC15	only_in_union
CMC1	CMC4	only_in_union
ZNF805	ZNF805	only_in_union
COL15A1	COL15A1	only_in_union
TMEM155	SMIM10L3	only_in_union
TMIE	TMIE	only_in_union
HSPA8	HSPA2	only_in_union
NGB	HBZ	only_in_union
TRAPPC4	TRAPPC2L	only_in_union
PCDHGB5	PCDHGA4	only_in_union
OR6C75	OR6C70	only_in_union
KCNQ2	KCNQ2	only_in_union
RNF103	CHMP3	only_in_union
KCNMB3	KCNMB4	only_in_union
GSTM5	GSTM2	only_in_union
MANSC1	MANSC4	only_in_union
FAM161B	ENTPD5	only_in_union
BEND2	SAGE1	only_in_union
AEBP1	AEBP1	only_in_union
RNASE10	RNASE12	only_in_union
CPHXL	ARGFX	only_in_union
OR9G4	OR9K2	only_in_union
GPBP1L1	GPBP1L1	only_in_union
OXCT1	OXCT1	only_in_union
GLYATL1B	GLYATL2	only_in_union
PCDHB1	PCDHB14	only_in_union
SPATA12	PSORS1C1	only_in_union
OR7C1	OR7G3	only_in_union
GPX1	Gpx-1	only_in_union
ENC1	KLHL23	only_in_union
NLRP9	NLRP9	only_in_union
TENT5B	TENT5B	only_in_union
RFC2	RFC2	only_in_union
RPS8	RPS8	only_in_union
RPL3	RPL3	only_in_union
GCHFR	GCHFR	only_in_union
RPS7	EIF2S3	only_in_union
TTLL8	TTLL3	only_in_union
DNAJA1	DNAJA1	only_in_union
LRRN1	LRRN3	only_in_union
CYTB	SEC61A2	only_in_union
APOC2	APOC3	only_in_union
GPR132	GPR132	only_in_union
RPL35	RPL35	only_in_union
MTARC2	MTARC1	only_in_union
CBX3	CBX3	only_in_union
