human gene name,chimpanzees gene name,correlation
RS1,RS1,1.0000036
PRSS58,PRSS58,1.000003
STOML3,STOML3,1.0000026
MARCHF5,MARCHF5,1.0000025
RASD2,RASD2,1.0000025
ID2,ID2,1.0000023
MARVELD1,MARVELD1,1.0000023
PLEKHF2,PLEKHF2,1.0000023
BMP5,BMP5,1.0000021
DEXI,DEXI,1.0000021
MT1H,MT1H,1.0000021
DUSP14,DUSP14,1.000002
RIMS3,RIMS3,1.000002
TMEM163,TMEM163,1.000002
CLDN20,CLDN20,1.0000019
DEPTOR,DEPTOR,1.0000019
MRFAP1L1,MRFAP1L1,1.0000019
NFIL3,NFIL3,1.0000019
NUCKS1,NUCKS1,1.0000019
C1orf115,C1H1orf115,1.0000018
KCNJ9,KCNJ9,1.0000018
MCTS1,MCTS1,1.0000018
PPIL1,PPIL1,1.0000018
RHO,RHO,1.0000018
SMIM10L2A,SMIM10L2A,1.0000018
UBE2R2,UBE2R2,1.0000018
CRKL,CRKL,1.0000017
FOXB1,FOXB1,1.0000017
H1-0,H1-0,1.0000017
MTRNR2L5,MTRNR2L5,1.0000017
SIT1,SIT1,1.0000017
SMIM38,SMIM38,1.0000017
ASF1A,ASF1A,1.0000015
GAST,GAST,1.0000015
H2AC12,H2AC12,1.0000015
PEBP1,PEBP1,1.0000015
S100A10,S100A10,1.0000015
XK,XK,1.0000015
CLIC1,CLIC1,1.0000014
CLIC4,CLIC4,1.0000014
G0S2,G0S2,1.0000014
GNAZ,GNAZ,1.0000014
PFDN2,PFDN2,1.0000014
PSMG3,PSMG3,1.0000014
RDH12,RDH12,1.0000014
SPTSSA,SPTSSA,1.0000014
TMEM158,TMEM158,1.0000014
TSPAN6,TSPAN6,1.0000014
ATP5PD,ATP5PD,1.0000013
DUSP1,DUSP1,1.0000013
ERAS,ERAS,1.0000013
FERD3L,FERD3L,1.0000013
HBE1,HBE1,1.0000013
KRTAP19-5,KRTAP19-5,1.0000013
MARCKSL1,MARCKSL1,1.0000013
MED30,MED30,1.0000013
MGAT5,MGAT5,1.0000013
PLGRKT,PLGRKT,1.0000013
PROK1,PROK1,1.0000013
RPS6KA6,RPS6KA6,1.0000013
SMIM32,SMIM32,1.0000013
STUM,STUM,1.0000013
TMEM229B,TMEM229B,1.0000013
TUBA3D,TUBA3C,1.0000013
VANGL2,VANGL2,1.0000013
ZNF32,ZNF32,1.0000013
C17orf98,SPMAP1,1.0000012
FTSJ1,FTSJ1,1.0000012
NRTN,NRTN,1.0000012
PGAM1,PGAM1,1.0000012
RPS12,RPS12,1.0000012
WASL,WASL,1.0000012
BARHL1,BARHL1,1.0000011
CTXND1,CTXND1,1.0000011
GJB1,GJB1,1.0000011
H2BC1,H2BC1,1.0000011
H4-16,H4C1,1.0000011
KRBOX1,KRBOX1,1.0000011
LHFPL2,LHFPL2,1.0000011
LRATD1,LRATD1,1.0000011
MAPRE1,MAPRE1,1.0000011
MUL1,MUL1,1.0000011
PATE4,PATE4,1.0000011
PCNA,PCNA,1.0000011
PTDSS1,PTDSS1,1.0000011
RND2,RND2,1.0000011
SCAMP3,SCAMP3,1.0000011
SGCZ,SGCZ,1.0000011
TEX43,SPMIP10,1.0000011
ANKRD39,ANKRD39,1.000001
CABP7,CABP7,1.000001
CAMK2N2,CAMK2N2,1.000001
CDH10,CDH10,1.000001
CDO1,CDO1,1.000001
FEM1C,FEM1C,1.000001
FGF16,FGF16,1.000001
GJD2,GJD2,1.000001
HPCA,HPCA,1.000001
LIX1L,LIX1L,1.000001
MED18,MED18,1.000001
MLANA,MLANA,1.000001
MRPL41,MRPL41,1.000001
NDUFA8,NDUFA8,1.000001
OTOR,OTOR,1.000001
PSMB1,PSMB1,1.000001
RNF144B,RNF144B,1.000001
TCF23,TCF23,1.000001
TIMM10,TIMM10,1.000001
TRPC5OS,TRPC5OS,1.000001
UBE2D1,UBE2D1,1.000001
AP3S1,AP3S1,1.0000008
CLDN2,CLDN2,1.0000008
CYB5R4,CYB5R4,1.0000008
DHH,DHH,1.0000008
DR1,DR1,1.0000008
GPR26,GPR26,1.0000008
HOXB13,HOXB13,1.0000008
HSPB3,HSPB3,1.0000008
LHX5,LHX5,1.0000008
MED10,MED10,1.0000008
MYF6,MYF6,1.0000008
PET117,PET117,1.0000008
S100A3,S100A3,1.0000008
SPACA4,SPACA4,1.0000008
SRPRA,SRPRA,1.0000008
TMEM14A,TMEM14A,1.0000008
TMEM167A,TMEM167A,1.0000008
TOMM20,TOMM20,1.0000008
TTC9B,TTC9B,1.0000008
UBTD1,UBTD1,1.0000008
C1orf210,C1H1orf210,1.0000007
C6orf62,C6H6orf62,1.0000007
CDC26,CDC26,1.0000007
CHAC2,CHAC2,1.0000007
CWC15,CWC15,1.0000007
CYBB,CYBB,1.0000007
ERG28,ERG28,1.0000007
FAM167B,FAM167B,1.0000007
GBX1,GBX1,1.0000007
INHBA,INHBA,1.0000007
KCNJ2,KCNJ2,1.0000007
KHDRBS1,KHDRBS1,1.0000007
LMO1,LMO1,1.0000007
MAB21L1,MAB21L1,1.0000007
MEX3A,MEX3A,1.0000007
MRPS26,MRPS26,1.0000007
NENF,NENF,1.0000007
PCBD1,PCBD1,1.0000007
PLCXD3,PLCXD3,1.0000007
RHOV,RHOV,1.0000007
SCGB1D4,SCGB1D4,1.0000007
SHB,SHB,1.0000007
SLC25A4,SLC25A4,1.0000007
SPRR2E,SPRR2E,1.0000007
SYNJ2BP,SYNJ2BP,1.0000007
