chimpanzee gene name,gorilla gene name,correlation,identical_scores,orthology confidence,combo_score
OPCML,OPCML,1.0000038,100.0,1.0,2.0
ZDHHC23,ZDHHC23,1.0000027,100.0,1.0,1.9999978103116804
RASD2,RASD2,1.0000025,100.0,1.0,1.9999974121865312
MARCHF5,MARCHF5,1.0000025,100.0,1.0,1.9999974121865312
FAM81A,FAM81A,1.0000025,100.0,1.0,1.9999974121865312
CA12,CA12,1.0000025,100.0,1.0,1.9999974121865312
RPL18A,RPL18A,1.0000025,100.0,1.0,1.9999974121865312
PSMA1,PSMA1,1.0000024,100.0,1.0,1.9999972131239567
HIBADH,HIBADH,1.0000024,100.0,1.0,1.9999972131239567
PRKAB1,PRKAB1,1.0000023,100.0,1.0,1.9999970140613823
DRAM1,DRAM1,1.0000023,100.0,1.0,1.9999970140613823
LINGO1,LINGO1,1.0000023,100.0,1.0,1.9999970140613823
PLEKHF2,PLEKHF2,1.0000021,100.0,1.0,1.999996615936233
OR51E2,OR51E2,1.0000021,100.0,1.0,1.999996615936233
MARVELD1,MARVELD1,1.0000021,100.0,1.0,1.999996615936233
TGFB1,TGFB1,1.0000021,100.0,1.0,1.999996615936233
MTURN,MTURN,1.0000021,100.0,1.0,1.999996615936233
FABP4,FABP4,1.0000021,100.0,1.0,1.999996615936233
DYNLL1,DYNLL1,1.0000021,100.0,1.0,1.999996615936233
SF3B3,SF3B3,1.000002,100.0,1.0,1.9999964168736586
TRIM23,TRIM23,1.000002,100.0,1.0,1.9999964168736586
UFSP2,UFSP2,1.000002,100.0,1.0,1.9999964168736586
KLHL29,KLHL29,1.000002,100.0,1.0,1.9999964168736586
DEPTOR,DEPTOR,1.000002,100.0,1.0,1.9999964168736586
TIMM8A,TIMM8A,1.000002,100.0,1.0,1.9999964168736586
ARL6IP5,ARL6IP5,1.000002,100.0,1.0,1.9999964168736586
NBDY,NBDY,1.0000019,100.0,1.0,1.9999962178110842
MRFAP1L1,MRFAP1L1,1.0000019,100.0,1.0,1.9999962178110842
SMIM10L2B,SMIM10L2B,1.0000019,100.0,1.0,1.9999962178110842
POLR2D,POLR2D,1.0000019,100.0,1.0,1.9999962178110842
RIMS3,RIMS3,1.0000019,100.0,1.0,1.9999962178110842
RAD21,RAD21,1.0000019,100.0,1.0,1.9999962178110842
INSL4,INSL4,1.0000019,100.0,1.0,1.9999962178110842
PPIL1,PPIL1,1.0000018,100.0,1.0,1.9999960187485093
CSK,CSK,1.0000018,100.0,1.0,1.9999960187485093
