human gene name,mice gene name,pig gene name
C17orf49,0610010K14Rik,C17orf49
NCBP2AS2,0610012G03Rik,NCBP2AS2
C2orf68,0610030E20Rik,C2orf68
C4orf19,0610040J01Rik,C4orf19
C4orf54,1110002E22Rik,C4orf54
C11orf58,1110004F10Rik,C11orf58
C9orf24,1110017D15Rik,SPMIP6
C3orf80,1110032F04Rik,C3orf80
C11orf49,1110051M20Rik,CSTPP1
KRTAP19-2,1110057P08Rik,KRTAP22-1
KIAA1143,1110059G10Rik,KIAA1143
C1orf122,1110065P20Rik,C1orf122
C16orf74,1190005I06Rik,C16orf74
C12orf73,1190007I07Rik,UQCC6
C12orf75,1500009L16Rik,C12orf75
SMIM9,1500011B03Rik,C12orf76
C6orf120,1600012H06Rik,C6orf120
C19orf12,1600014C10Rik,C19orf12
GUCA1ANB,1700001C19Rik,CIMIP3
C5orf49,1700001L19Rik,CFAP90
C2orf81,1700003E16Rik,C2orf81
C9orf116,1700007K13Rik,PIERCE1
C19orf81,1700008O03Rik,C19orf81
C6orf118,1700010I14Rik,C20orf96
C4orf51,1700011L22Rik,C4orf51
C11orf97,1700012B09Rik,C11orf97
C1orf158,1700012P22Rik,CFAP107
C19orf73,1700014B07Rik,RPL36AL
C1orf100,1700016C15Rik,SPMIP3
C4orf36,1700016H13Rik,C5orf52
C15orf39,1700017B05Rik,C15orf39
C12orf50,1700017N19Rik,C12orf50
C2orf88,1700019D03Rik,C2orf88
C20orf141,1700020A23Rik,C20orf141
C20orf85,1700021F07Rik,CIMIP1
C10orf53,1700024G13Rik,C10orf53
C1orf146,1700028K03Rik,C1orf146
C13orf46,1700029H14Rik,C13orf46
C12orf76,1700029I15Rik,HILPDA
C4orf47,1700029J07Rik,CFAP96
C19orf44,1700030K09Rik,C19orf44
FUNDC2,1700034I23Rik,FUNDC2
C16orf90,1700037C18Rik,C16orf90
SMIM33,1700066B19Rik,SMIM33
C2orf69,1700066M21Rik,C2orf69
C19orf67,1700067K01Rik,C19orf67
EIF2D,1700088E04Rik,C22orf23
TEX54,1700092M07Rik,TEX54
C2orf74,1700093K21Rik,C2orf74
C1orf189,1700094D03Rik,CFAP141
C3orf62,1700102P08Rik,C3orf62
C14orf119,1700123O20Rik,C14orf119
CCDC197,1700125H20Rik,C17orf78
DCAF16,1700129C05Rik,POMP
C17orf58,1810010H24Rik,C17orf58
C16orf72,1810013L24Rik,HAPSTR1
CFAP92,1810020O05Rik,CFAP92
CXorf38,1810030O07Rik,CXorf38
C4orf3,1810037I17Rik,C4orf3
C11orf53,1810046K07Rik,POU2AF2
STMP1,1810058I24Rik,STMP1
C11orf86,2010003K11Rik,C11orf86
C19orf33,2200002D01Rik,FAM133A
C9orf64,2210016F16Rik,QNG1
LCE6A,2210017I01Rik,LCE7A
C6orf15,2300002M23Rik,C6orf15
C15orf61,2300009A05Rik,C15orf61
C19orf25,2310011J03Rik,C19orf25
C19orf47,2310022A10Rik,C19orf47
C1orf198,2310022B05Rik,C1orf198
C11orf52,2310030G06Rik,C11orf52
C1orf35,2310033P09Rik,C1orf35
C1orf68,2310050C09Rik,KPLCE
C1orf52,2410004B18Rik,C1orf52
KIAA2013,2510039O18Rik,KIAA2013
SMIM30,2610001J05Rik,SMIM30
CFAP418,2610301B20Rik,CFAP418
KIAA0100,2610507B11Rik,BLTP2
C10orf99,2610528A11Rik,GPR15LG
C1orf210,2610528J11Rik,C1orf210
KIAA0586,2700049A03Rik,KIAA0586
C1orf131,2810004N23Rik,C1orf131
C2orf72,2810459M11Rik,C2orf72
KIAA1671,2900026A02Rik,CRACDL
C2orf76,3110009E18Rik,C2orf76
C15orf40,3110040N11Rik,C15orf40
C7orf50,3110082I17Rik,C7orf50
C10orf71,3425401B19Rik,C10orf71
C3orf14,3830406C13Rik,CEP15
KIAA1191,4833439L19Rik,KIAA1191
ZC2HC1C,4921517D22Rik,CT83
C1orf141,4921539E11Rik,C1orf141
C19orf71,4930404N11Rik,TEKTIP1
TCHHL1,4930407I10Rik,SPATA31G1
C8orf89,4930444P10Rik,C8orf89
C14orf39,4930447C04Rik,C14orf39
VWF,4930451I11Rik,C16orf92
C3orf38,4930453N24Rik,C3orf38
C18orf54,4930503L19Rik,C18orf54
C1orf185,4930522H14Rik,C1orf185
KIAA0040,4930523C07Rik,KIAA0040
C5orf47,4930524B15Rik,C5orf47
C17orf107,4930544D05Rik,C17orf107
CTXND2,4930558C23Rik,CTXND2
C8orf74,4930578I06Rik,C8orf74
C4orf17,4930579F01Rik,C4orf17
C4orf46,4930579G24Rik,C4orf46
C11orf54,4931406C07Rik,C11orf54
KIAA0895L,4931428F04Rik,MATCAP1
KIAA1109,4932438A13Rik,BLTP1
C21orf62,4932438H23Rik,EPCIP
C16orf78,4933402J07Rik,C16orf78
C10orf120,4933402N03Rik,C14H10orf120
C1orf43,4933434E20Rik,C1orf43
KIAA0930,5031439G07Rik,KIAA0930
ZNF99,5430403G16Rik,ZNF883
C1orf216,5730409E04Rik,C1orf216
