human gene name,chimpanzee gene name,correlation,identical_scores,orthology confidence,combo_score
RS1,RS1,1.0000036,100.0,1.0,2.0
PRSS58,PRSS58,1.000003,100.0,1.0,1.9999989495622508
STOML3,STOML3,1.0000026,100.0,1.0,1.9999982492704182
MARCHF5,MARCHF5,1.0000025,100.0,1.0,1.99999807419746
RASD2,RASD2,1.0000025,100.0,1.0,1.99999807419746
PLEKHF2,PLEKHF2,1.0000023,100.0,1.0,1.9999977240515439
MARVELD1,MARVELD1,1.0000023,100.0,1.0,1.9999977240515439
ID2,ID2,1.0000023,100.0,1.0,1.9999977240515439
BMP5,BMP5,1.0000021,100.0,1.0,1.9999973739056274
DEXI,DEXI,1.0000021,100.0,1.0,1.9999973739056274
RIMS3,RIMS3,1.000002,100.0,1.0,1.9999971988326695
TMEM163,TMEM163,1.000002,100.0,1.0,1.9999971988326695
DUSP14,DUSP14,1.000002,100.0,1.0,1.9999971988326695
CLDN20,CLDN20,1.0000019,100.0,1.0,1.9999970237597111
MRFAP1L1,MRFAP1L1,1.0000019,100.0,1.0,1.9999970237597111
NFIL3,NFIL3,1.0000019,100.0,1.0,1.9999970237597111
DEPTOR,DEPTOR,1.0000019,100.0,1.0,1.9999970237597111
NUCKS1,NUCKS1,1.0000019,100.0,1.0,1.9999970237597111
UBE2R2,UBE2R2,1.0000018,100.0,1.0,1.999996848686753
SMIM10L2A,SMIM10L2B,1.0000018,100.0,1.0,1.999996848686753
C1orf115,C1H1orf115,1.0000018,100.0,1.0,1.999996848686753
PPIL1,PPIL1,1.0000018,100.0,1.0,1.999996848686753
RHO,RHO,1.0000018,100.0,1.0,1.999996848686753
KCNJ9,KCNJ9,1.0000018,100.0,1.0,1.999996848686753
FOXB1,FOXB1,1.0000017,100.0,1.0,1.999996673613795
CRKL,CRKL,1.0000017,100.0,1.0,1.999996673613795
H1-0,H1-0,1.0000017,100.0,1.0,1.999996673613795
SIT1,SIT1,1.0000017,100.0,1.0,1.999996673613795
SMIM38,SMIM38,1.0000017,100.0,1.0,1.999996673613795
XK,XK,1.0000015,100.0,1.0,1.9999963234678786
ASF1A,ASF1A,1.0000015,100.0,1.0,1.9999963234678786
H2AC12,H2AC12,1.0000015,100.0,1.0,1.9999963234678786
S100A10,S100A10,1.0000015,100.0,1.0,1.9999963234678786
GAST,GAST,1.0000015,100.0,1.0,1.9999963234678786
PEBP1,PEBP1,1.0000015,100.0,1.0,1.9999963234678786
SPTSSA,SPTSSA,1.0000014,100.0,1.0,1.9999961483949202
TMEM158,TMEM158,1.0000014,100.0,1.0,1.9999961483949202
GNAZ,GNAZ,1.0000014,100.0,1.0,1.9999961483949202
RDH12,RDH12,1.0000014,100.0,1.0,1.9999961483949202
PFDN2,PFDN2,1.0000014,100.0,1.0,1.9999961483949202
CLIC1,CLIC1,1.0000014,100.0,1.0,1.9999961483949202
TSPAN6,TSPAN6,1.0000014,100.0,1.0,1.9999961483949202
PSMG3,PSMG3,1.0000014,100.0,1.0,1.9999961483949202
G0S2,G0S2,1.0000014,100.0,1.0,1.9999961483949202
CLIC4,CLIC4,1.0000014,100.0,1.0,1.9999961483949202
KRTAP19-5,KRTAP19-5,1.0000013,100.0,1.0,1.9999959733219623
MED30,MED30,1.0000013,100.0,1.0,1.9999959733219623
HBE1,HBE1,1.0000013,100.0,1.0,1.9999959733219623
MGAT5,MGAT5,1.0000013,100.0,1.0,1.9999959733219623
ZNF32,ZNF32,1.0000013,100.0,1.0,1.9999959733219623
ERAS,ERAS,1.0000013,100.0,1.0,1.9999959733219623
FERD3L,FERD3L,1.0000013,100.0,1.0,1.9999959733219623
PLGRKT,PLGRKT,1.0000013,100.0,1.0,1.9999959733219623
PROK1,PROK1,1.0000013,100.0,1.0,1.9999959733219623
ATP5PD,ATP5PD,1.0000013,100.0,1.0,1.9999959733219623
DUSP1,DUSP1,1.0000013,100.0,1.0,1.9999959733219623
TMEM229B,TMEM229B,1.0000013,100.0,1.0,1.9999959733219623
MARCKSL1,MARCKSL1,1.0000013,100.0,1.0,1.9999959733219623
SMIM32,SMIM32,1.0000013,100.0,1.0,1.9999959733219623
STUM,STUM,1.0000013,100.0,1.0,1.9999959733219623
VANGL2,VANGL2,1.0000013,100.0,1.0,1.9999959733219623
FTSJ1,FTSJ1,1.0000012,100.0,1.0,1.9999957982490042
WASL,WASL,1.0000012,100.0,1.0,1.9999957982490042
NRTN,NRTN,1.0000012,100.0,1.0,1.9999957982490042
PGAM1,PGAM1,1.0000012,100.0,1.0,1.9999957982490042
SGCZ,SGCZ,1.0000011,100.0,1.0,1.999995623176046
