mice gene name,pig gene name
Rps23,RPS23
U2af1,U2AF1
H2ac19,H2AC19
Zfp706,ZNF706
Eif2s1,EIF2S1
Erh,ERH
C1ql3,C1QL3
Rps25,RPS25
Phf5a,PHF5A
Smarcb1,SMARCB1
Snrpd1,SNRPD1
Etf1,ETF1
Tmsb4x,TMSB4X
Mir9-3,ssc-mir-9-3
Rab30,RAB30
Atad1,ATAD1
Tma7,TMA7
Kpna3,KPNA3
Cfap20,CFAP20
Rps17,RPS17
Serp1,SERP1
Gnai1,GNAI1
Rbx1,RBX1
Ap2m1,AP2M1
Ssr3,SSR3
Rpl27,RPL27
Smu1,SMU1
Ube2r2,UBE2R2
Rps27l,RPS27L
Zfp664,ZNF664
Sf3b6,SF3B6
Rhob,RHOB
Polr2f,POLR2F
Lsm5,LSM5
Twist2,TWIST2
Ncs1,NCS1
Rab11a,RAB11A
Rap1a,RAP1A
Mob1a,MOB1A
Mir196b,ssc-mir-196b-1
Ahcyl1,AHCYL1
Supt4a,SUPT4H1
Hoxc5,HOXC5
Hoxc9,HOXC9
Hoxc8,HOXC8
Mosmo,MOSMO
Tubb5,TUBB
Mab21l2,MAB21L2
Gabarap,GABARAP
Gtf2a2,GTF2A2
Rap1b,RAP1B
Pdcd10,PDCD10
Tra2b,TRA2B
Ube2e3,UBE2E3
Psma5,PSMA5
Fam78b,FAM78B
Ncald,NCALD
Rpl23,RPL23
Cacng7,CACNG7
Ube2b,UBE2B
H2az2,H2AZ2
Hpca,HPCA
Cbx1,CBX1
Timm10,TIMM10
Rpl36,RPL36
Kdelr1,KDELR1
Cabp7,CABP7
Spop,SPOP
Usp46,USP46
Dynll1,DYNLL1
Snap25,SNAP25
Nxph1,NXPH1
Bud31,BUD31
Gnb2,GNB2
H2ac25,H2AC25
Pafah1b1,PAFAH1B1
Eif1b,EIF1B
Rbm8a,RBM8A
Rab40c,RAB40C
Sumo2,SUMO2
Rps20,RPS20
Psmc5,PSMC5
Polr2i,POLR2I
Rps11,RPS11
Srsf3,SRSF3
Car10,CA10
Rap2b,RAP2B
Cks1b,CKS1B
Otp,OTP
Rac3,RAC3
Ube2h,UBE2H
Kdelr2,KDELR2
Ppp4c,PPP4C
Ost4,OST4
Rpl22,RPL22
Arl4a,ARL4A
Tmem258,TMEM258
Myl12b,MYL12B
Snrpf,SNRPF
Psmc1,PSMC1
Ufm1,UFM1
Fgf18,FGF18
Ostc,OSTC
H3f3a,H3-3A
H2bc18,H2BC18
Calm2,CALM2
Rpl37,RPL37
H2ac20,H2AC20
Isl1,ISL1
Mob4,MOBKL3
Ube2d3,UBE2D3
Ppp2cb,PPP2CB
Rraga,RRAGA
Snx3,SNX3
Rps6ka3,RPS6KA3
Sec61a1,SEC61A1
Ssbp3,SSBP3
Arf6,ARF6
Gm25064,U6
