A	B	source
zgc:162944	XB5871767	only_in_union
oclna	ocel1.2	only_in_union
isca2	isca2	only_in_union
rab6a	rab41	only_in_union
josd2	josd2	only_in_union
psen2	psen2	only_in_union
tac1	tac1	only_in_union
camk2a	camk2a	only_in_union
rps6ka4	rps6ka1	only_in_union
mcrip1	mcrip1	only_in_union
mcm7	mcm7	only_in_union
cox6a2	cox6a2	only_in_union
fam221a	fam221a	only_in_union
rpp40	rpp40	only_in_union
polr2k	polr2k	only_in_union
pgrmc2	pgrmc2	only_in_union
tmprss15	tmprss15	only_in_union
snrpf	snrpf	only_in_union
ak7b	ak7	only_in_union
eml3	eml3	only_in_union
tmed7	tmed7	only_in_union
vcanb	vcan	only_in_union
epn2	epn2	only_in_union
hs3st2	hs3st2	only_in_union
banf1	banf2	only_in_union
prmt7	prmt7	only_in_union
lcp1	lcp1	only_in_union
wdr89	wdr89	only_in_union
tnfsf13	lta	only_in_union
kdsr	kdsr	only_in_union
f13a1a.1	tgm3l.8	only_in_union
klhl26	klhl26	only_in_union
cst3	cst3	only_in_union
tollip	tollip	only_in_union
c1qtnf1	c1qtnf1	only_in_union
si:ch211-93g23.2	XB5885669	only_in_union
mmd	mmd	only_in_union
angptl7	angptl7	only_in_union
chst3a	chst3	only_in_union
cacng1a	cacng1	only_in_union
si:ch73-264p11.1	sh2d1b	only_in_union
kcnh1a	kcnh1	only_in_union
ercc1	ercc1	only_in_union
kctd6b	kctd6	only_in_union
scaf1	SCAF1	only_in_union
pttg1ipa	pttg1ip2	only_in_union
mcm3ap	nup214	only_in_union
phc1	phc3	only_in_union
serpinc1	serpinc1	only_in_union
myadml2	myadml2	only_in_union
znf292b	znf654	only_in_union
tpp1	tpp1	only_in_union
necab1	necab1	only_in_union
sc5d	sc5d	only_in_union
crp6	crp	only_in_union
zmynd8	zmynd8	only_in_union
neurod6a	neurod6	only_in_union
traf3	traf3	only_in_union
si:rp71-1g18.1	znf205	only_in_union
kif2c	kif2c	only_in_union
olfcg3	or2g3	only_in_union
med11	med11	only_in_union
si:ch211-189a15.5	XB5732280	only_in_union
hey1	hey1	only_in_union
galnt16	galnt16	only_in_union
ppm1kb	ppm1k	only_in_union
mansc1	OTOG	only_in_union
deaf1	deaf1	only_in_union
soul5	XB5894820	only_in_union
elac2	elac2	only_in_union
rnpepl1	rnpepl1	only_in_union
puf60b	puf60	only_in_union
vkorc1	vkorc1l1	only_in_union
aco2	aco2	only_in_union
rcor3	rcor3	only_in_union
rchy1	rchy1	only_in_union
tomm40l	tomm40	only_in_union
sys1	sys1	only_in_union
wdr44	wdr44	only_in_union
ilk	ilk	only_in_union
fbxo40.1	fbxo40	only_in_union
dll4	dll4	only_in_union
chmp7	chmp7	only_in_union
actc1a	acta2	only_in_union
pcmtd1	PCMTD1	only_in_union
si:dkey-21e2.16	gzmh	only_in_union
h1-0	h1-0	only_in_union
utp15	utp15	only_in_union
per2	per2	only_in_union
sumf2	sumf2	only_in_union
crygm4	cryga.1	only_in_union
cplx3b	lman1l	only_in_union
saxo4	saxo4	only_in_union
kctd15a	kcnrg	only_in_union
ptk2bb	shc1	only_in_union
lrrc58a	lrr1	only_in_union
psmb11a	psmb11	only_in_union
pigh	pigh	only_in_union
abce1	abce1	only_in_union
khdrbs2	khdrbs2	only_in_union
bphl	bphl	only_in_union
ambn	ambn	only_in_union
C5H2orf42	c3h2orf42	only_in_union
thyn1	thyn1	only_in_union
C17H14orf132	C14orf132	only_in_union
acod1	acod1	only_in_union
aste1a	aste1	only_in_union
tspan33a	tspan33	only_in_union
xrn1	xrn1	only_in_union
pnn	pnn	only_in_union
fgf13b	fgf13	only_in_union
otud3	otud1	only_in_union
crabp1a	crabp1	only_in_union
afg3l2	afg3l2	only_in_union
hoxc13a	HOXC13	only_in_union
chm	chm	only_in_union
znf770	znf770	only_in_union
rxrbb	rxrb	only_in_union
ptch2	ptch2	only_in_union
sult1st4	sult1a1	only_in_union
tbc1d20	tbc1d20	only_in_union
fzr1b	fzr1	only_in_union
col1a1a	col1a1	only_in_union
rps8b	rps8	only_in_union
ednrba	ednrb2	only_in_union
dnpep	dnpep	only_in_union
senp3a	senp5	only_in_union
ighmbp2	ighmbp2	only_in_union
galm	galm	only_in_union
abcc5	abcc5	only_in_union
golim4a	golim4	only_in_union
kiaa1549la	podxl2	only_in_union
trmt10b	trmt10b	only_in_union
bcl7bb	bcl7b	only_in_union
cryl1	cryl1	only_in_union
romo1	romo1	only_in_union
rab33a	rab33a	only_in_union
prps1b	prps1	only_in_union
actr6	actr6	only_in_union
tmc5	tmc7	only_in_union
pdcd6ip	pdcd6ip	only_in_union
uba52	uba52	only_in_union
asgr1a	clec10a	only_in_union
arid3a	arid3a	only_in_union
taok1a	taok1	only_in_union
rabgap1	rabgap1	only_in_union
zgc:123297	btnl2	only_in_union
otud6b	otud6b	only_in_union
ctsk	ctsk	only_in_union
naprt	naprt	only_in_union
znf1005	znf665	only_in_union
tac3b	tac3	only_in_union
nme6	nme6	only_in_union
pias4a	pias4	only_in_union
selp	SELE	only_in_union
kcnk9	kcnk9	only_in_union
usp37	usp37	only_in_union
