Gene name	Macaque gene name	Macaque homology type	%id. target Macaque gene identical to query gene	%id. query gene identical to target Macaque gene	Macaque Gene-order conservation score	Macaque Whole-genome alignment coverage	Macaque orthology confidence [0 low, 1 high]
							
							
							
							
							
							
		ortholog_one2one	97.7778	97.7778	100	100.00	1
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
PGBD2	PGBD2	ortholog_one2many	100	100	0	0.00	0
PGBD2	PGBD2	ortholog_one2many	100	100	50	79.25	1
							
Y_RNA	Y_RNA	ortholog_one2one	100	100		100.00	1
		ortholog_one2one	100	100		100.00	1
TCEANC2	TCEANC2	ortholog_one2one	99.5192	99.5192	100	100.00	1
MEX3A	MEX3A	ortholog_one2one	99.7942	93.2692	100	100.00	1
U6	U6	ortholog_one2one	99.0654	99.0654		100.00	1
U1	U1	ortholog_one2one	99.3789	99.3789		100.00	1
RAB25	RAB25	ortholog_one2one	87.3362	93.8967	100	100.00	1
U6	U6	ortholog_one2one	100	100		100.00	1
U1	U1	ortholog_one2one	100	100		100.00	1
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	100	100		100.00	1
							
	RPL34	ortholog_one2one	100	100	0	0.00	0
		ortholog_one2one	100	100		100.00	1
LAMC1	LAMC1	ortholog_one2one	99.8131	99.6269	100	100.00	1
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	100	100		100.00	1
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	100	100		100.00	1
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	99.3243	99.3243		100.00	1
ACTRT3	ACTRT3	ortholog_one2one	100	85.5172	75	100.00	1
RNU6-723P	U6	ortholog_one2one	99.0654	99.0654		100.00	1
AK4	AK4	ortholog_one2one	100	100	100	100.00	1
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	100	100		100.00	1
	SLC39A1	ortholog_one2one	100	100	75	100.00	1
Metazoa_SRP	Metazoa_SRP	ortholog_one2one	100	100		100.00	1
GJA8	GJA8	ortholog_one2one	99.7701	99.7701	100	100.00	1
RNU6-1205P	U6	ortholog_one2one	100	100		100.00	1
							
MIR30C1	mml-mir-30c-1	ortholog_one2one	100	100		100.00	1
							
KLF17	KLF17	ortholog_one2one	99.4832	99.4832	100	100.00	1
							
U8	U8	ortholog_one2one	99.2647	99.2647		100.00	1
Metazoa_SRP							
							
CTTNBP2NL	CTTNBP2NL	ortholog_one2one	100	100	100	100.00	1
NEXN	NEXN	ortholog_one2one	99.4083	99.5556	100	100.00	1
ABHD10	ABHD10	ortholog_one2one	99.3464	99.3464	100	100.00	1
PPP2R3A	PPP2R3A	ortholog_one2one	97.3913	100	100	100.00	1
							
MIR101-1	mml-mir-101-1	ortholog_one2one	100	100		100.00	1
ZNF692	ZNF692	ortholog_one2one	100	99.8073	75	100.00	1
RN7SL479P	Metazoa_SRP	ortholog_one2one	100	100		100.00	1
							
RCC2	RCC2	ortholog_one2one	76.7754	65.7895	100	100.00	1
							
RNU6-1176P	U6	ortholog_one2one	100	100		100.00	1
MYNN	MYNN	ortholog_one2one	99.7001	99.7001	100	100.00	1
							
GJA5	GJA5	ortholog_one2one	100	100	100	100.00	1
							
