A	B	source
CFAP54	CFAP54	only_in_union
RAET1G	RAET1G	only_in_union
PRY	SPATA8	only_in_union
C11orf1	CFAP68	only_in_union
CENPS	LINC02914	only_in_union
RBMX	RBMX	only_in_union
FCGR2B	FCGR2A	only_in_union
HTR3D	HTR3D	only_in_union
CCZ1	CCZ1B	only_in_union
KIR2DP1	KIR2DL6	only_in_union
MT1M	MT1M	only_in_union
DAPL1	DAPL1	only_in_union
MTRNR2L5	MTRNR2L5	only_in_union
NOP2	NOP2	only_in_union
H2BW2	H2BW2	only_in_union
UFM1	UFM1	only_in_union
FUBP1	FUBP1	only_in_union
KXD1	KXD1	only_in_union
SNHG32	C12H12orf75	only_in_union
HSPE1	HSPE1	only_in_union
CHMP1B	CHMP1A	only_in_union
PLEKHG7	C12H12orf74	only_in_union
DDT	DDT	only_in_union
TMEM234	TMEM234	only_in_union
FXYD5	FXYD5	only_in_union
RPS3A	RPS3A	only_in_union
RPL35A	RPL35A	only_in_union
PABPC4L	PABPC1L	only_in_union
TRAPPC2L	TRAPPC2L	only_in_union
C11orf45	EIF4EBP1	only_in_union
FGA	FGA	only_in_union
BORCS8-MEF2B	BORCS8	only_in_union
DEFB4A	DEFB4A	only_in_union
MSANTD3	TMEFF1	only_in_union
FTL	FTL	only_in_union
CAPZA1	CAPZA1	only_in_union
MTRNR2L10	MTRNR2L10	only_in_union
UBE2V1	UBE2V1	only_in_union
C2	C2	only_in_union
ZNF431	ZNF431	only_in_union
C12orf76	C12H12orf76	only_in_union
HMGA2	HMGA2	only_in_union
PSME2	PSME2	only_in_union
ANKRD30BL	ANKRD19P	only_in_union
C1QTNF9B	C1QTNF9B	only_in_union
MTRNR2L4	MTRNR2L4	only_in_union
RTN3	RTN3	only_in_union
KIAA2013	KIAA2013	only_in_union
ATXN3L	PIPSL	only_in_union
WIPF1	WIPF1	only_in_union
H2BC21	H2BC21	only_in_union
FAM174C	ATP6V0E2	only_in_union
ZNF544	ZNF544	only_in_union
LSM3	LSM3	only_in_union
RPS4X	RPS4X	only_in_union
PPP1R32	SAXO4	only_in_union
LILRB2	LILRB2	only_in_union
CENPS-CORT	CENPS	only_in_union
THEG	SPMAP2	only_in_union
C11orf80	TOP6BL	only_in_union
HSP90AB1	HSP90AA1	only_in_union
TBC1D3F	TBC1D3B	only_in_union
COL9A3	COL9A3	only_in_union
GNAO1	GNAO1	only_in_union
SIGLEC14	SIGLEC13	only_in_union
OR1I1	OR7D1	only_in_union
PPP1CA	PPP1CC	only_in_union
ANKRD36B	ANKRD18B	only_in_union
TSTD3	TSTD3	only_in_union
PRM1	PRM2	only_in_union
NME1	NME1	only_in_union
SMC5	SMC5	only_in_union
KRTAP5-11	KRTAP5-11	only_in_union
COMMD6	COMMD6	only_in_union
POLR3G	POLR3G	only_in_union
POTEB	POTEA	only_in_union
ARPIN-AP3S2	ARPIN	only_in_union
NCS1	NCS1	only_in_union
PSG9	PSG9	only_in_union
ST20	ST20	only_in_union
RGL4	RGL4	only_in_union
FAM86B2	IFI27L1	only_in_union
KIR2DS4	KIR2DL3	only_in_union
STON1-GTF2A1L	STON1	only_in_union
H2BC10	H2BC4	only_in_union
DEFB119	DEFB119	only_in_union
CSNK2B	CSNK2B	only_in_union
CDKN2A	CDKN2A	only_in_union
RPLP1	RPLP1	only_in_union
RPS24	RPS24	only_in_union
TRIM6	TRIM6	only_in_union
ZNF430	ZNF430	only_in_union
HMGA1	HMGA1	only_in_union
COL21A1	COL21A1	only_in_union
TPM4	TPM4	only_in_union
H4-16	H4C1	only_in_union
SPANXN5	SPANXN5	only_in_union
MIX23	MIX23	only_in_union
HMGB3	HMGB3	only_in_union
VNN3	VNN3	only_in_union
ELOC	ELOC	only_in_union
MT1H	MT1H	only_in_union
CTSD	CYMP	only_in_union
RPS14	RPS14	only_in_union
TM4SF19-DYNLT2B	TM4SF19	only_in_union
MICB	MICB	only_in_union
RPS20	RPS20	only_in_union
TRAC	TRAC	only_in_union
ZNF675	ZNF675	only_in_union
LSM14A	LSM14A	only_in_union
RPS6	RPS6	only_in_union
RPS16	RPS16	only_in_union
LYRM4	LYRM4	only_in_union
SLC35A3	MFSD14A	only_in_union
NDUFV2	NDUFV2	only_in_union
TLCD4-RWDD3	SLC66A1L	only_in_union
BIVM-ERCC5	ERCC5	only_in_union
NUDT16	NUDT16	only_in_union
PCDHB2	C14H14orf178	only_in_union
PRSS45P	PRSS45	only_in_union
RPS29	RPS29	only_in_union
LILRB3	LILRB3	only_in_union
SNRPF	SNRPF	only_in_union
C20orf203	LINC03042	only_in_union
ZNF723	ZNF730	only_in_union
RPL29	RPL29	only_in_union
LY6E	LY6E	only_in_union
ST20-MTHFS	MTHFS	only_in_union
PTGES3	PTGES3	only_in_union
RPS8	RPS8	only_in_union
PTMS	PTMS	only_in_union
RPL3	RPL3	only_in_union
KIR2DS3	KIR3DX1	only_in_union
POLD3	POLD3	only_in_union
DYNLT3	DYNLT3	only_in_union
GIMAP1-GIMAP5	GIMAP1	only_in_union
MTRNR2L12	MTRNR2L14	only_in_union
DHRS4L2	DHRS4L1	only_in_union
NANOGP8	NANOG	only_in_union
FGF13	FGF13	only_in_union
SIGLEC11	SIGLEC11	only_in_union
SPANXN1	SPANXN1	only_in_union
KIR3DS1	KIR3DL1	only_in_union
JPT1	JPT1	only_in_union
SPATA24	SPATA24	only_in_union
RPL22L1	RPL22L1	only_in_union
LILRB1	LILRB1	only_in_union
RPL35	RPL35	only_in_union
USP12	USP12	only_in_union
CCDC28B	CCDC28A	only_in_union
ALG1L2	ALG1L	only_in_union
MUC5B	FCGBP	only_in_union
LFNG	LFNG	only_in_union
CST4	CST1	only_in_union
OSTC	OSTC	only_in_union
CBX3	CBX3	only_in_union
ZNF99	ZNF99	only_in_union
RPL37	RPL37	only_in_union
PEX26	TUBA8	only_in_union
RAB7A	RAB7A	only_in_union
HSPB11	IFT25	only_in_union
BBC3	BBC3	only_in_union
SUMF2	SUMF2	only_in_union
C5orf63	C5H5orf63	only_in_union
CCKBR	CCKBR	only_in_union
BCCIP	BCCIP	only_in_union
VAMP8	VAMP8	only_in_union
FUNDC1	FUNDC1	only_in_union
DUS1L	DUS1L	only_in_union
BBIP1	BBIP1	only_in_union
RAB11B	RAB11B	only_in_union
TIAF1	SFTA3	only_in_union
COX5A	COX5A	only_in_union
CADPS	CADPS	only_in_union
HSPA1B	HSPA8	only_in_union
OPN1MW3	OPN1LW	only_in_union
TP53TG3E	MIR1915HG	only_in_union
DDX19B	DDX19B	only_in_union
H3-5	H3-3A	only_in_union
TMPO	TMPO	only_in_union
PBOV1	C11H11orf40	only_in_union
NR2F6	NR2F6	only_in_union
CXCL3	CXCL3	only_in_union
LYPLA1	LYPLA1	only_in_union
H3C1	H3C10	only_in_union
KIR2DL1	KIR2DL1	only_in_union
RPS27L	RPS27	only_in_union
RPS17	RPS17	only_in_union
PDCD5	PDCD5	only_in_union
RPL32	RPL32	only_in_union
SIGLEC5	SIGLEC5	only_in_union
RPS7	RPS7	only_in_union
FAM71F1	GARIN1B	only_in_union
ZNF772	ZNF772	only_in_union
S100B	S100B	only_in_union
UBE2L3	UBE2L3	only_in_union
ZNF517	ZNF517	only_in_union
SERF1A	SERF2	only_in_union
CENPX	CENPX	only_in_union
IGLJ3	TCTA	only_in_union
SNRNP27	SNRNP27	only_in_union
DEFB106B	DEFB106A	only_in_union
ZNF275	ZNF275	only_in_union
AMY1C	AMY1C	only_in_union
TMEM269	TMEM269	only_in_union
LILRA3	LILRA3	only_in_union
SNW1	SNW1	only_in_union
C9orf153	C9H9orf153	only_in_union
VN1R4	VN1R4	only_in_union
RPS23	RPS23	only_in_union
PFDN5	PFDN5	only_in_union
AOAH	AOAH	only_in_union
ODAPH	ODAPH	only_in_union
FAM25A	FAM25A	only_in_union
CHCHD3	CHCHD3	only_in_union
ATP5MC2	ATP5MC2	only_in_union
YPEL2	YPEL2	only_in_union
SSU72	SSU72	only_in_union
RPL14	RPL14	only_in_union
ZNF141	ZNF141	only_in_union
TCEAL2	TCEAL4	only_in_union
ZNF680	ZNF680	only_in_union
H2AC4	H2AC8	only_in_union
PGK1	PGK1	only_in_union
APOC4-APOC2	APOC4	only_in_union
BCL2L2-PABPN1	BCL2L2	only_in_union
MTRNR2L3	MTRNR2L3	only_in_union
RPS26	RPS26	only_in_union
CNGB1	CNGB1	only_in_union
SLC22A18AS	TMEM105	only_in_union
KCTD1	KCTD1	only_in_union
CYP3A7	CYP3A7	only_in_union
RPL12	RPL12	only_in_union
KIF16B	KIF16B	only_in_union
TP53TG3C	LINC02693	only_in_union
COL6A2	COL6A2	only_in_union
CFHR3	CFHR4	only_in_union
RMDN2	RMDN2	only_in_union
C21orf62	EPCIP	only_in_union
MSRB1	MSRB1	only_in_union
TOMM5	TOMM5	only_in_union
MTRNR2L7	MTRNR2L7	only_in_union
COL27A1	COL27A1	only_in_union
RAN	RAN	only_in_union
TPM3	TPM3	only_in_union
PTMA	PTMA	only_in_union
TOMM20	TOMM20	only_in_union
ERCC6L2	ERCC6L2	only_in_union
UQCRB	UQCRB	only_in_union
SYNGR3	SYNGR3	only_in_union
PRYP3	LMO7DN	only_in_union
RPS12	RPS12	only_in_union
NSA2	NSA2	only_in_union
KRTAP5-3	KRTAP5-3	only_in_union
S100A7L2	S100A7L2	only_in_union
MINDY2	MINDY2	only_in_union
BEND7	BEND7	only_in_union
MAVS	MAVS	only_in_union
CHMP4A	TM9SF1	only_in_union
NPIPB11	FLG	only_in_union
LINC01556	LINC03043	only_in_union
WFDC10B	WFDC10B	only_in_union
ACTBL2	ACTBL2	only_in_union
RPL26	RPL26	only_in_union
WDR97	WDR97	only_in_union
MEMO1	MEMO1	only_in_union
NXF2	NXF5	only_in_union
C1D	C1D	only_in_union
SPMAP2	SPMAP2	only_in_single
GIMAP5	GIMAP1	only_in_single
PRM2	PRM2	only_in_single
FLG	FLG	only_in_single
STON1	STON1	only_in_single
CFB	C2	only_in_single
CCDC28A	CCDC28A	only_in_single
PLEKHG7	PLEKHG7	only_in_single
UBA52	KXD1	only_in_single
DEFB106A	DEFB106A	only_in_single
PPP1CA	PPP1CA	only_in_single
TCEAL4	TCEAL4	only_in_single
APOC4	APOC4	only_in_single
TMEFF1	TMEFF1	only_in_single
SIGLEC14	SIGLEC5	only_in_single
AMY1B	AMY1C	only_in_single
LY6G5B	CSNK2B	only_in_single
ULBP2	RAET1G	only_in_single
H3-5	H3-3B	only_in_single
FCGR2A	FCGR2A	only_in_single
LILRB1	LILRA3	only_in_single
IFT25	IFT25	only_in_single
CCDC28B	CCDC28B	only_in_single
SIGLEC16	SIGLEC11	only_in_single
NANOG	NANOG	only_in_single
MICA	MICB	only_in_single
ZNF430	ZNF680	only_in_single
SIGLEC5	SIGLEC14	only_in_single
CTSD	IFITM10	only_in_single
CFHR4	CFHR4	only_in_single
SPANXN5	SPANXN1	only_in_single
SAXO4	SAXO4	only_in_single
GARIN1B	GARIN1B	only_in_single
TM9SF1	TM9SF1	only_in_single
ZNF253	ZNF675	only_in_single
OPN1MW	OPN1LW	only_in_single
TBC1D3I	TBC1D3B	only_in_single
H2BW2	H2BW1	only_in_single
FCGBP	FCGBP	only_in_single
EPCIP	EPCIP	only_in_single
DEFB4B	DEFB4A	only_in_single
CCZ1B	CCZ1B	only_in_single
PABPC4L	PABPC4L	only_in_single
CST2	CST1	only_in_single
FAM174C	FAM174C	only_in_single
ATP6V0E2	ATP6V0E2	only_in_single
MFSD14A	MFSD14A	only_in_single
ZNF675	ZNF723	only_in_single
PABPC1L	PABPC1L	only_in_single
CFAP68	CFAP68	only_in_single
MTHFS	MTHFS	only_in_single
TOP6BL	TOP6BL	only_in_single
ERCC5	ERCC5	only_in_single
TM4SF19	TM4SF19	only_in_single
KIR3DL1	KIR3DL1	only_in_single
BORCS8	BORCS8	only_in_single
CENPS	CENPS	only_in_single
TRIM34	TRIM6	only_in_single
POTEA	POTEA	only_in_single
ELOC	TCEB1	only_in_single
ARPIN	ARPIN	only_in_single
