Gene name	White-tufted-ear marmoset gene name	White-tufted-ear marmoset homology type	%id. target White-tufted-ear marmoset gene identical to query gene	%id. query gene identical to target White-tufted-ear marmoset gene	White-tufted-ear marmoset Gene-order conservation score	White-tufted-ear marmoset Whole-genome alignment coverage	White-tufted-ear marmoset orthology confidence [0 low, 1 high]
PGBD2	PGBD2	ortholog_one2many	96.2838	96.2838	25	84.77	1
U6	U6	ortholog_one2many	84.466	82.0755		100.00	1
ZNF692	ZNF692	ortholog_one2one	93.4489	92.7342	75	0.00	1
ZNF672							
SH3BP5L	SH3BP5L	ortholog_one2one	60.4027	68.7023	75	44.06	1
							
LYPD8	LYPD8	ortholog_one2one	75.6302	72	75	41.22	1
		ortholog_one2one	47.2325	59.2593	50	0.00	0
							
OR2T27	OR2T27	ortholog_one2one	91.7981	91.7981	50	0.00	0
	OR2T2	ortholog_one2many	88.5802	88.5802	25	0.00	0
							
Y_RNA	Y_RNA	ortholog_one2one	84.6154	77.8761		0.00	0
OR2T10	OR2T10	ortholog_one2one	91.0256	91.0256	50	0.00	0
							
							
OR14I1							
							
OR9G1	OR9G1	ortholog_one2one	92.459	92.1569	0	0.00	0
	OR2T4	ortholog_one2one	86.9841	85.625	50	0.00	0
	OR2T2	ortholog_one2many	89.1975	89.1975	50	0.00	0
OR2T1	OR2T1	ortholog_one2one	90.2439	90.2439	50	0.00	0
OR2T6	OR2T6	ortholog_one2one	89.2857	89.5765	50	0.00	0
							
OR2M4							
							
							
OR2L13		ortholog_many2many	88.4615	88.4615	0	0.00	0
OR2L13		ortholog_many2many	88.4615	72.4409	100	0.00	1
							
							
Y_RNA							
OR2L2							
Y_RNA							
OR2L5							
							
Y_RNA							
		ortholog_many2many	90.3846	90.3846	0	0.00	0
		ortholog_many2many	90.3846	74.0157	100	0.00	1
							
Y_RNA							
							
							
OR2W3							
TRIM58	TRIM58	ortholog_one2one	88.4774	87.7551	75	0.00	1
OR11L1							
							
OR9H1P							
OR1C1							
OR14K1							
OR14A2							
OR6F1	OR6F1	ortholog_one2one	92.2078	92.2078	50	0.00	0
OR13G1	OR13G1	ortholog_one2one	91.8567	91.8567	100	0.00	1
							
GCSAML	GCSAML	ortholog_one2one	72.5926	79.0323	100	0.00	1
OR2C3							
							
OR2B11	OR2B11	ortholog_one2one	93.0818	93.0818	100	0.00	1
NLRP3	NLRP3	ortholog_one2one	93.3333	93.4236	100	0.00	1
							
ZNF496	ZNF496	ortholog_one2one	94.5486	88.6581	100	0.00	1
Y_RNA	Y_RNA	ortholog_one2many	83.4862	85.0467		0.00	0
Y_RNA	Y_RNA	ortholog_one2many	87.156	87.156		0.00	0
							
							
		ortholog_one2one	71.934	83.5616	75	0.00	1
ZNF124	ZNF124	ortholog_one2one	85.1211	70.6897	50	0.00	0
		ortholog_one2many	58.7302	8.42825	0	0.00	0
ZNF669	ZNF669	ortholog_one2many	79.79	72.209	25	0.00	0
ZNF670	ZNF670	ortholog_one2one	90.7455	90.7455	25	0.00	0
		ortholog_many2many	44.7368	30.2491	0	0.00	0
		ortholog_many2many	44.4737	29.5455	0	0.00	0
		ortholog_many2many	43.1579	34.4538	0	0.00	0
		ortholog_many2many	44.7368	30.2491	0	0.00	0
		ortholog_many2many	44.4737	29.5972	0	0.00	0
		ortholog_many2many	44.4737	29.5455	0	0.00	0
		ortholog_many2many	45.5263	30.2977	0	0.00	0
		ortholog_many2many	45.5263	31.6271	0	0.00	0
		ortholog_many2many	18.4211	19.6629	0	0.00	0
		ortholog_many2many	45.2632	30.1226	0	0.00	0
		ortholog_many2many	43.9474	39.2941	0	0.00	0
		ortholog_many2many	19.2105	19.6765	0	0.00	0
		ortholog_many2many	19.7368	20.4918	0	0.00	0
		ortholog_many2many	19.2105	20	0	0.00	0
		ortholog_many2many	45	37.013	0	0.00	0
		ortholog_many2many	30	26.2069	0	0.00	0
		ortholog_many2many	32.6316	27.8652	0	0.00	0
		ortholog_many2many	37.1053	30.064	0	0.00	0
		ortholog_many2many	26.5789	34.0067	0	0.00	0
		ortholog_many2many	29.4737	25.7471	0	0.00	0
		ortholog_many2many	45	30.427	0	0.00	0
		ortholog_many2many	25.7895	23.2227	0	0.00	0
		ortholog_many2many	42.1053	39.5062	0	0.00	0
		ortholog_many2many	27.1053	24.0654	0	0.00	0
		ortholog_many2many	27.3684	30.9524	0	0.00	0
		ortholog_many2many	45.2632	38.914	0	0.00	0
		ortholog_many2many	33.1579	28.3146	0	0.00	0
		ortholog_many2many	31.8421	33.7047	0	0.00	0
		ortholog_many2many	45.2632	37.2294	0	0.00	0
		ortholog_many2many	44.7368	36.7965	0	0.00	0
		ortholog_many2many	32.1053	27.4775	0	0.00	0
		ortholog_many2many	44.4737	29.5455	0	0.00	0
		ortholog_many2many	45.2632	30.605	0	0.00	0
		ortholog_many2many	45	35.9244	0	0.00	0
		ortholog_many2many	39.7368	34.9537	0	0.00	0
							
Metazoa_SRP							
