crab_eating_macaque gene name,rhesus_macaque gene name,correlation
RS1,RS1,1.0000036
MAFK,MAFK,1.0000031
CYP7B1,CYP7B1,1.000003
FLRT1,FLRT1,1.000003
DUSP14,DUSP14,1.0000029
MSTN,MSTN,1.0000029
ADORA2B,ADORA2B,1.0000026
ANXA10,ANXA10,1.0000026
KCNS3,KCNS3,1.0000026
NRM,NRM,1.0000026
TAT,TAT,1.0000025
PNMA1,PNMA1,1.0000023
STEAP3,STEAP3,1.0000023
TAS2R10,TAS2R10,1.0000023
TIPARP,TIPARP,1.0000023
ZBTB14,ZBTB14,1.0000023
CDK12,CDK12,1.0000021
DYNLL1,DYNLL1,1.0000021
PADI1,PADI1,1.0000021
C11orf86,C14H11orf86,1.000002
CARMIL3,CARMIL3,1.000002
CLDN24,CLDN24,1.000002
CREB5,CREB5,1.000002
MCCD1,MCCD1,1.000002
OR51G2,OR51G2,1.000002
RANBP1,RANBP1,1.000002
GALR2,GALR2,1.0000019
MED7,MED7,1.0000019
MRFAP1L1,MRFAP1L1,1.0000019
NFKBIA,NFKBIA,1.0000019
PLEKHB1,PLEKHB1,1.0000019
PROX1,PROX1,1.0000019
SDF2,SDF2,1.0000019
TAS2R7,TAS2R7,1.0000019
TMEM186,TMEM186,1.0000019
TRAF6,TRAF6,1.0000019
TRMT112,TRMT112,1.0000019
TRMT6,TRMT6,1.0000019
TSPAN19,TSPAN19,1.0000019
VLDLR,VLDLR,1.0000019
AWAT1,AWAT1,1.0000018
CCDC160,CCDC160,1.0000018
CDIP1,CDIP1,1.0000018
FOXB1,FOXB1,1.0000018
FZD2,FZD2,1.0000018
HOXB6,HOXB6,1.0000018
MPC2,MPC2,1.0000018
NKAPD1,NKAPD1,1.0000018
NMUR1,NMUR1,1.0000018
PPIL1,PPIL1,1.0000018
SEC61B,SEC61B,1.0000018
SLC39A2,SLC39A2,1.0000018
ANKRD45,ANKRD45,1.0000017
ARL5B,ARL5B,1.0000017
CLDN4,CLDN4,1.0000017
ENTPD7,ENTPD7,1.0000017
LSM2,LSM2,1.0000017
MRPL16,MRPL16,1.0000017
NKAP,NKAP,1.0000017
PRKACG,PRKACG,1.0000017
RPL10L,RPL10L,1.0000017
TBC1D30,TBC1D30,1.0000017
ARL6IP5,ARL6IP5,1.0000015
H2AC12,H2AC12,1.0000015
MED10,MED10,1.0000015
OR5AP2,OR5AP2,1.0000015
ORMDL2,ORMDL2,1.0000015
S100A2,S100A2,1.0000015
SMCP,SMCP,1.0000015
SPRY2,SPRY2,1.0000015
SYCE3,SYCE3,1.0000015
TM2D2,TM2D2,1.0000015
ASF1A,ASF1A,1.0000014
C1orf53,C1H1orf53,1.0000014
CEBPE,CEBPE,1.0000014
DUSP1,DUSP1,1.0000014
FAM32A,FAM32A,1.0000014
GNAZ,GNAZ,1.0000014
GPR55,GPR55,1.0000014
GSX2,GSX2,1.0000014
HS3ST5,HS3ST5,1.0000014
KIAA1958,KIAA1958,1.0000014
KRT86,KRT86,1.0000014
NDUFA1,NDUFA1,1.0000014
NDUFA2,NDUFA2,1.0000014
NDUFAF2,NDUFAF2,1.0000014
OR2AP1,OR2AP1,1.0000014
PFDN2,PFDN2,1.0000014
PPAT,PPAT,1.0000014
RND1,RND1,1.0000014
S100A3,S100A3,1.0000014
SCAND3,SCAND3,1.0000014
SLC31A1,SLC31A1,1.0000014
SLITRK3,SLITRK3,1.0000014
TLE7,TLE7,1.0000014
TP53TG5,TP53TG5,1.0000014
UPK2,UPK2,1.0000014
WFIKKN2,WFIKKN2,1.0000014
ZNF878,ZNF878,1.0000014
ARMC1,ARMC1,1.0000013
C20orf141,C10H20orf141,1.0000013
C2orf69,C12H2orf69,1.0000013
CBFB,CBFB,1.0000013
CCR5,CCR5,1.0000013
CRABP2,CRABP2,1.0000013
EDDM13,EDDM13,1.0000013
GJB5,GJB5,1.0000013
GPR45,GPR45,1.0000013
HK3,HK3,1.0000013
HOXC6,HOXC6,1.0000013
KLK9,KLK9,1.0000013
KRCC1,KRCC1,1.0000013
LPAR3,LPAR3,1.0000013
MAGEB18,MAGEB18,1.0000013
OR5B21,OR5B21,1.0000013
OTOR,OTOR,1.0000013
PACSIN3,PACSIN3,1.0000013
PDIK1L,PDIK1L,1.0000013
PMCH,PMCH,1.0000013
