A	B	source
IGLC3	IGHE	only_in_union
PTCH2	SCAP	only_in_union
ZNF324B	ZNF324	only_in_union
NOP2	NOP2	only_in_union
SERINC2	SERINC2	only_in_union
CTSK	CTSS	only_in_union
FXYD6	FXYD6	only_in_union
CPT1A	CPT1A	only_in_union
H2BC21	H2BC4	only_in_union
IGLV1-51	IGLV3-9	only_in_union
NXPE1	NXPE2	only_in_union
MRGPRX2	MRGPRX3	only_in_union
ZNF732	ZNF273	only_in_union
CCL3L3	CCL4L1	only_in_union
POLR1D	POLR1D	only_in_union
GGN	GGN	only_in_union
IMPDH	IMPDH1	only_in_union
NOM1	NOM1	only_in_union
ARL5C	ARL5B	only_in_union
GNAO1	GNAO1	only_in_union
HINT1	HINT1	only_in_union
TUBG2	TUBG1	only_in_union
MAP2K4	MAP2K4	only_in_union
PTEN	PTEN	only_in_union
NME1	NME1	only_in_union
HLA-G	MAMU-A	only_in_union
RPL4	RPL4	only_in_union
ERICH4	C10H20orf202	only_in_union
RAC1	RAC1	only_in_union
PPAN	MRPL23	only_in_union
OR11G2	OR11L1	only_in_union
ZNF90	ZNF737	only_in_union
PITPNC1	PITPNC1	only_in_union
NDST1	NDST1	only_in_union
CDC14B	CDC14B	only_in_union
IGHV1-3	IGHV7-4-1	only_in_union
FAM209A	TEX46	only_in_union
ALDH3B1	ALDH3B1	only_in_union
H3C1	H3C1	only_in_union
SNX24	SNX2	only_in_union
ZNF580	ZNF575	only_in_union
COA5	CHCHD5	only_in_union
BRD4	BRD4	only_in_union
H2BC3	H2BC15	only_in_union
PLAAT3	PLAAT3	only_in_union
ATG9A	ATG9A	only_in_union
CBFB	CBFB	only_in_union
NDUFV2	NDUFV2	only_in_union
HNRNPA1L2	HNRNPA1	only_in_union
SOX14	SRY	only_in_union
TNNC2	CALML5	only_in_union
RPL6	RPL6	only_in_union
ZNF729	ZNF208	only_in_union
RNF11	RNF11	only_in_union
KRTAP2-1	KRTAP10-10	only_in_union
TRAPPC6A	NKPD1	only_in_union
RPL13	RPL13	only_in_union
CCL25	CCL25	only_in_union
GALP	NPW	only_in_union
FUNDC2	FUNDC2	only_in_union
USP12	USP12	only_in_union
SPANXN3	SPANXN2	only_in_union
ZNF85	ZNF681	only_in_union
KRTAP13-2	KRTAP13-4	only_in_union
ASMTL	ASMT	only_in_union
SLFN11	SLFN13	only_in_union
OR8H1	OR8H3	only_in_union
FUNDC1	FUNDC1	only_in_union
TM2D3	TM2D2	only_in_union
HEPN1	CMC4	only_in_union
AKR1C4	AKR1C2	only_in_union
OR8D2	OR8D1	only_in_union
IRF2BP1	SAMD11	only_in_union
JMJD7	JMJD8	only_in_union
SNRPF	SNRPG	only_in_union
ODF2L	ODF2L	only_in_union
OR52D1	OR52B2	only_in_union
CHRFAM7A	CHRNA7	only_in_union
RPS7	RPS7	only_in_union
HNRNPC	HNRNPC	only_in_union
CLEC4M	CD209	only_in_union
SPIC	SPIC	only_in_union
HBG1	HBE1	only_in_union
DDB2	WDR25	only_in_union
RPS23	RPS23	only_in_union
CD200R1	CD200R1	only_in_union
EXOSC1	EXOSC1	only_in_union
OR2H2	OR2H2	only_in_union
COPZ1	COPZ1	only_in_union
SAR1A	SAR1A	only_in_union
ACYP2	RPS19	only_in_union
RNASE2	RNASE11	only_in_union
G3BP1	G3BP1	only_in_union
UBE2Q2	UBE2Q2	only_in_union
VMAC	CAPS	only_in_union
CCL23	CCL23	only_in_union
OR3A3	OR3A2	only_in_union
OR1J2	OR1J4	only_in_union
RPL11	RPL10	only_in_union
MKRN1	MKRN1	only_in_union
RXFP4	RXFP4	only_in_union
C9orf57	CD177	only_in_union
PSAT1	PSAT1	only_in_union
SIGLEC12	SIGLEC9	only_in_union
SMIM6	SMIM27	only_in_union
DYNLL1	DYNLL1	only_in_union
ADAM32	ADAM1	only_in_union
CFHR4	CR1	only_in_union
RPL26	RPL26	only_in_union
ZDHHC11B	ZDHHC1	only_in_union
RPL27A	RPL27A	only_in_union
TICAM2	TICAM2	only_in_union
ITGB1BP1	ITGB1BP1	only_in_union
LCNL1	LCN8	only_in_union
OR1L3	OR1S1	only_in_union
PA2G4	ERBB3	only_in_union
TRAV4	TRAV26-2	only_in_union
PPP4R2	PPP4R2	only_in_union
EIF4E1B	EIF4E	only_in_union
RCN1	RCN1	only_in_union
FXYD5	FXYD5	only_in_union
AMACR	AMACR	only_in_union
